Methods called,Number of times,Number of times (Normalized)
"public com.zaxxer.hikari.HikariDataSource com.zaxxer.hikari.SerializedObjectSupporter.deserializeObjectHikariDataSource16() throws java.io.IOException",288,0.13351877607788595
"public volatile long com.zaxxer.hikari.HikariConfig.idleTimeout",57,0.02642559109874826
"public volatile long com.zaxxer.hikari.HikariConfig.idleTimeout",38,0.01761706073249884
"public void com.zaxxer.hikari.HikariConfig.setMaxLifetime(long)",299,0.13861845155308297
"public void com.zaxxer.hikari.HikariConfig.setConnectionCustomizerClassName(java.lang.String)",96,0.04450625869262865
"public long com.zaxxer.hikari.HikariConfig.getConnectionTimeout()",103,0.04775150672229949
"public static final long com.zaxxer.hikari.HikariConfig.CONNECTION_TIMEOUT",1,4.636068613815484E-4
"public com.zaxxer.hikari.HikariDataSource com.zaxxer.hikari.SerializedObjectSupporter.deserializeObjectHikariDataSource11() throws java.io.IOException",92,0.04265183124710246
"public boolean com.zaxxer.hikari.HikariConfig.getisAutoCommit()",52,0.02410755679184052
"public com.zaxxer.hikari.HikariDataSource com.zaxxer.hikari.SerializedObjectSupporter.deserializeObjectHikariDataSource10() throws java.io.IOException",124,0.05748725081131201
"public void com.zaxxer.hikari.HikariConfig.copyState(com.zaxxer.hikari.HikariConfig)",320,0.1483541956420955
"public com.zaxxer.hikari.HikariDataSource com.zaxxer.hikari.SerializedObjectSupporter.deserializeObjectHikariDataSource13() throws java.io.IOException",69,0.031988873435326845
"public com.zaxxer.hikari.HikariDataSource com.zaxxer.hikari.SerializedObjectSupporter.deserializeObjectHikariDataSource12() throws java.io.IOException",2864,1.3277700509967547
"public volatile long com.zaxxer.hikari.HikariConfig.leakDetectionThreshold",141,0.06536856745479833
"public volatile long com.zaxxer.hikari.HikariConfig.leakDetectionThreshold",85,0.039406583217431616
"public com.zaxxer.hikari.IConnectionCustomizer com.zaxxer.hikari.HikariConfig.getConnectionCustomizer()",84,0.03894297635605007
"public com.zaxxer.hikari.HikariDataSource com.zaxxer.hikari.SerializedObjectSupporter.deserializeObjectHikariDataSource15() throws java.io.IOException",163,0.07556791840519239
"public com.zaxxer.hikari.HikariDataSource com.zaxxer.hikari.SerializedObjectSupporter.deserializeObjectHikariDataSource14() throws java.io.IOException",94,0.04357904496986555
"public com.zaxxer.hikari.HikariDataSource com.zaxxer.hikari.SerializedObjectSupporter.deserializeObjectHikariDataSource17() throws java.io.IOException",177,0.08205841446453407
"public int com.zaxxer.hikari.HikariConfig.getmaxPoolSize()",79,0.03662494204914233
