Methods called,Number of times,Number of times (Normalized)
"public com.zaxxer.hikari.HikariDataSource com.zaxxer.hikari.SerializedObjectSupporter.deserializeObjectHikariConfig16() throws java.io.IOException",861,0.4317953861584754
"public com.zaxxer.hikari.HikariDataSource com.zaxxer.hikari.SerializedObjectSupporter.deserializeObjectHikariConfig1() throws java.io.IOException",211,0.10581745235707121
"public com.zaxxer.hikari.HikariDataSource com.zaxxer.hikari.SerializedObjectSupporter.deserializeObjectHikariConfig13() throws java.io.IOException",191,0.09578736208625878
"public com.zaxxer.hikari.HikariDataSource com.zaxxer.hikari.SerializedObjectSupporter.deserializeObjectHikariConfig14() throws java.io.IOException",1106,0.5546639919759278
"public com.zaxxer.hikari.HikariDataSource com.zaxxer.hikari.SerializedObjectSupporter.deserializeObjectHikariConfig2() throws java.io.IOException",469,0.23520561685055166
"public com.zaxxer.hikari.HikariDataSource com.zaxxer.hikari.SerializedObjectSupporter.deserializeObjectHikariConfig5() throws java.io.IOException",346,0.17352056168505517
"public com.zaxxer.hikari.HikariDataSource com.zaxxer.hikari.SerializedObjectSupporter.deserializeObjectHikariConfig17() throws java.io.IOException",195,0.09779338014042126
"public com.zaxxer.hikari.HikariDataSource com.zaxxer.hikari.SerializedObjectSupporter.deserializeObjectHikariConfig3() throws java.io.IOException",345,0.17301905717151456
"public com.zaxxer.hikari.util.ConcurrentBag com.zaxxer.hikari.SerializedObjectSupporter.deserializeObjectConcurrentBag14() throws java.io.IOException",368,0.18455366098294884
"public com.zaxxer.hikari.HikariDataSource com.zaxxer.hikari.SerializedObjectSupporter.deserializeObjectHikariConfig15() throws java.io.IOException",406,0.20361083249749248
"public com.zaxxer.hikari.HikariDataSource com.zaxxer.hikari.SerializedObjectSupporter.deserializeObjectHikariConfig6() throws java.io.IOException",285,0.14292878635907724
"public com.zaxxer.hikari.HikariDataSource com.zaxxer.hikari.SerializedObjectSupporter.deserializeObjectHikariConfig9() throws java.io.IOException",332,0.16649949849548645
