Methods called,Number of times,Number of times (Normalized)
"rx.concurrency.TestScheduler()",31332,0.9999680847668592
"public rx.Subscription rx.Scheduler.schedulePeriodically(rx.util.functions.Action0,long,long,java.util.concurrent.TimeUnit)",6098,0.1946190916924648
"public void rx.concurrency.TestScheduler.triggerActions()",59374,1.8949350525005586
"public void rx.concurrency.TestScheduler.advanceTimeBy(long,java.util.concurrent.TimeUnit)",5974,0.19066160278300834
"public void rx.concurrency.TestScheduler.advanceTimeTo(long,java.util.concurrent.TimeUnit)",5979,0.19082117894871223
"public long rx.concurrency.TestScheduler.now()",175831,5.611687358376153
"java.lang.Object()",1,3.1915233140778095E-5
"public final native java.lang.Class java.lang.Object.getClass()",3809,0.12156512303322375
"public rx.Subscription rx.Scheduler.schedule(rx.util.functions.Action0)",150615,4.806912839498293
"public rx.Subscription rx.Scheduler.schedule(rx.util.functions.Action0,long,java.util.concurrent.TimeUnit)",5804,0.18523601314907606
