Methods called,Number of times,Number of times (Normalized)
"public java.util.Set com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.getPropertySet(java.lang.String)",5,0.02857142857142857
"public com.amazonaws.services.simpleemail.AmazonSimpleEmailServiceClient com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.sesClient",29,0.1657142857142857
"public com.netflix.simianarmy.MonkeyCalendar com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext.calendar()",4,0.022857142857142857
"public com.amazonaws.services.simpleemail.AmazonSimpleEmailServiceClient com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.sesClient",1,0.005714285714285714
"public com.amazonaws.services.simpleemail.model.GetIdentityDkimAttributesResult com.amazonaws.services.simpleemail.AmazonSimpleEmailServiceClient.getIdentityDkimAttributes(com.amazonaws.services.simpleemail.model.GetIdentityDkimAttributesRequest)",2,0.011428571428571429
"public com.amazonaws.services.simpleemail.model.SetIdentityDkimEnabledResult com.amazonaws.services.simpleemail.AmazonSimpleEmailServiceClient.setIdentityDkimEnabled(com.amazonaws.services.simpleemail.model.SetIdentityDkimEnabledRequest)",3,0.017142857142857144
"public final void com.amazonaws.AmazonWebServiceClient.setSignerRegionOverride(java.lang.String)",16,0.09142857142857143
"public java.lang.String com.netflix.simianarmy.basic.BasicSimianArmyContext.getEventReport()",3,0.017142857142857144
"public java.lang.String com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.monkeyRegion",9,0.05142857142857143
"public java.lang.String com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.monkeyRegion",1,0.005714285714285714
"public int com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.daysBeforeTermination",86,0.49142857142857144
"public java.util.List com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.janitors()",7,0.04
"public com.netflix.simianarmy.janitor.JanitorResourceTracker com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.janitorResourceTracker",114,0.6514285714285715
"public com.netflix.simianarmy.janitor.JanitorResourceTracker com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.janitorResourceTracker",9,0.05142857142857143
"public java.lang.String com.amazonaws.AmazonWebServiceClient.getServiceName()",12,0.06857142857142857
"public java.lang.String[] com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.ccEmails",24,0.13714285714285715
"public void com.amazonaws.AmazonWebServiceClient.addRequestHandler(com.amazonaws.handlers.RequestHandler2)",7,0.04
"public void com.amazonaws.AmazonWebServiceClient.addRequestHandler(com.amazonaws.handlers.RequestHandler)",1,0.005714285714285714
"public com.netflix.simianarmy.MonkeyCalendar com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext.calendar",3,0.017142857142857144
"com.amazonaws.services.simpleemail.AmazonSimpleEmailServiceClient(com.amazonaws.auth.AWSCredentialsProvider, com.amazonaws.ClientConfiguration, com.amazonaws.metrics.RequestMetricCollector)",1,0.005714285714285714
"com.amazonaws.services.simpleemail.AmazonSimpleEmailServiceClient()",28,0.16
"com.amazonaws.services.simpleemail.AmazonSimpleEmailServiceClient(com.amazonaws.auth.AWSCredentials, com.amazonaws.ClientConfiguration)",1,0.005714285714285714
"com.amazonaws.services.simpleemail.AmazonSimpleEmailServiceClient(com.amazonaws.auth.AWSCredentialsProvider, com.amazonaws.ClientConfiguration)",1,0.005714285714285714
"com.amazonaws.services.simpleemail.AmazonSimpleEmailServiceClient(com.amazonaws.auth.AWSCredentials)",23,0.13142857142857142
"com.amazonaws.services.simpleemail.AmazonSimpleEmailServiceClient(com.amazonaws.ClientConfiguration)",1,0.005714285714285714
"com.amazonaws.services.simpleemail.AmazonSimpleEmailServiceClient(com.amazonaws.auth.AWSCredentialsProvider)",4,0.022857142857142857
"public com.netflix.simianarmy.MonkeyConfiguration com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext.config",1,0.005714285714285714
"public java.lang.String com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.ownerEmailDomain",8,0.045714285714285714
"public java.lang.String com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.ownerEmailDomain",6,0.03428571428571429
"public void com.netflix.simianarmy.basic.BasicSimianArmyContext.exportCredentials(java.lang.String,java.lang.String)",5,0.02857142857142857
"public java.lang.String com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.sourceEmail",1,0.005714285714285714
"public static final boolean com.amazonaws.AmazonWebServiceClient.LOGGING_AWS_REQUEST_METRIC",1,0.005714285714285714
"public com.netflix.simianarmy.janitor.JanitorResourceTracker com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext.resourceTracker",2,0.011428571428571429
"public com.amazonaws.ResponseMetadata com.amazonaws.services.simpleemail.AmazonSimpleEmailServiceClient.getCachedResponseMetadata(com.amazonaws.AmazonWebServiceRequest)",10,0.05714285714285714
"public java.util.Collection com.netflix.simianarmy.janitor.AbstractJanitor.getFailedToCleanResources()",1,0.005714285714285714
"public final java.lang.String com.amazonaws.AmazonWebServiceClient.getSignerRegionOverride()",1,0.005714285714285714
"public static org.slf4j.Logger com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.LOGGER",1,0.005714285714285714
"public com.amazonaws.auth.Signer com.amazonaws.AmazonWebServiceClient.getSignerByURI(java.net.URI)",3,0.017142857142857144
"public com.netflix.simianarmy.MonkeyScheduler com.netflix.simianarmy.basic.BasicSimianArmyContext.scheduler()",6,0.03428571428571429
"public com.amazonaws.services.simpleemail.model.GetSendStatisticsResult com.amazonaws.services.simpleemail.AmazonSimpleEmailServiceClient.getSendStatistics() throws com.amazonaws.AmazonServiceException,com.amazonaws.AmazonClientException",3,0.017142857142857144
"public com.amazonaws.services.simpleemail.model.GetSendStatisticsResult com.amazonaws.services.simpleemail.AmazonSimpleEmailServiceClient.getSendStatistics(com.amazonaws.services.simpleemail.model.GetSendStatisticsRequest)",4,0.022857142857142857
"com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext()",23,0.13142857142857142
