Methods called,Number of times,Number of times (Normalized)
"public com.amazonaws.AmazonWebServiceClient com.amazonaws.AmazonWebServiceClient.withRegion(com.amazonaws.regions.Regions)",2,0.00909090909090909
"public com.amazonaws.AmazonWebServiceClient com.amazonaws.AmazonWebServiceClient.withRegion(com.amazonaws.regions.Region)",2,0.00909090909090909
"public java.lang.String com.netflix.simianarmy.AbstractEmailBuilder.buildEmailBody(java.lang.String)",2,0.00909090909090909
"public com.amazonaws.services.simpleemail.AmazonSimpleEmailServiceClient com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.sesClient",8,0.03636363636363636
"public com.netflix.simianarmy.MonkeyCalendar com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext.calendar()",1,0.004545454545454545
"public com.amazonaws.services.simpleemail.AmazonSimpleEmailServiceClient com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.sesClient",8,0.03636363636363636
"public com.amazonaws.services.simpleemail.model.GetIdentityDkimAttributesResult com.amazonaws.services.simpleemail.AmazonSimpleEmailServiceClient.getIdentityDkimAttributes(com.amazonaws.services.simpleemail.model.GetIdentityDkimAttributesRequest)",3,0.013636363636363636
"public final void com.amazonaws.AmazonWebServiceClient.setSignerRegionOverride(java.lang.String)",1,0.004545454545454545
"public final void com.amazonaws.AmazonWebServiceClient.configureRegion(com.amazonaws.regions.Regions)",5,0.022727272727272728
"public java.lang.String com.netflix.simianarmy.basic.BasicSimianArmyContext.getEventReport()",3,0.013636363636363636
"public java.lang.String com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.monkeyRegion",58,0.2636363636363636
"public java.lang.String com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.monkeyRegion",39,0.17727272727272728
"public int com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.daysBeforeTermination",4,0.01818181818181818
"public java.util.List com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.janitors()",11,0.05
"public com.netflix.simianarmy.janitor.JanitorResourceTracker com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.janitorResourceTracker",6,0.02727272727272727
"public com.netflix.simianarmy.janitor.JanitorResourceTracker com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.janitorResourceTracker",2,0.00909090909090909
"public java.util.Set com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.getEnabledResourceSet()",2,0.00909090909090909
"public java.lang.String com.amazonaws.AmazonWebServiceClient.getServiceName()",12,0.05454545454545454
"public com.netflix.simianarmy.janitor.JanitorCrawler com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext.janitorCrawler()",3,0.013636363636363636
"public java.lang.String[] com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.ccEmails",50,0.22727272727272727
"public java.lang.String[] com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.ccEmails",1,0.004545454545454545
"public void com.amazonaws.AmazonWebServiceClient.addRequestHandler(com.amazonaws.handlers.RequestHandler2)",15,0.06818181818181818
"public java.lang.String com.netflix.simianarmy.basic.BasicSimianArmyContext.region()",3,0.013636363636363636
"public void com.amazonaws.AmazonWebServiceClient.addRequestHandler(com.amazonaws.handlers.RequestHandler)",1,0.004545454545454545
"public com.amazonaws.services.simpleemail.model.GetIdentityPoliciesResult com.amazonaws.services.simpleemail.AmazonSimpleEmailServiceClient.getIdentityPolicies(com.amazonaws.services.simpleemail.model.GetIdentityPoliciesRequest)",1,0.004545454545454545
"public com.netflix.simianarmy.MonkeyCalendar com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext$BasicJanitorContext.calendar",13,0.05909090909090909
