Methods called,Number of times,Number of times (Normalized)
"public long org.activiti.engine.impl.persistence.entity.DeploymentEntityManager.findDeploymentCountByNativeQuery(java.util.Map)",3462,0.06644403500690926
"public org.activiti.engine.impl.persistence.entity.DeploymentEntity org.activiti.engine.impl.persistence.entity.DeploymentEntityManager.findLatestDeploymentByName(java.lang.String)",4755,0.09125978811607555
"public void org.activiti.engine.impl.persistence.entity.DeploymentEntityManager.insertDeployment(org.activiti.engine.impl.persistence.entity.DeploymentEntity)",3534,0.06782588668816214
"public java.util.List org.activiti.engine.impl.persistence.entity.DeploymentEntityManager.getDeploymentResourceNames(java.lang.String)",4661,0.08945570397666205
"public java.util.List org.activiti.engine.impl.persistence.entity.DeploymentEntityManager.findDeploymentsByNativeQuery(java.util.Map,int,int)",7018,0.134692154153232
"org.activiti.engine.impl.persistence.entity.DeploymentEntityManager()",52103,0.9999808076155382
"public void org.activiti.engine.impl.persistence.AbstractManager.delete(org.activiti.engine.impl.db.PersistentObject)",3529,0.0677299247658529
"public void org.activiti.engine.impl.persistence.AbstractManager.insert(org.activiti.engine.impl.db.PersistentObject)",3538,0.06790265622600952
"public void org.activiti.engine.impl.persistence.entity.DeploymentEntityManager.deleteDeployment(java.lang.String,boolean)",5615,0.1077652387532627
"public long org.activiti.engine.impl.persistence.entity.DeploymentEntityManager.findDeploymentCountByQueryCriteria(org.activiti.engine.impl.DeploymentQueryImpl)",3557,0.06826731153078458
"public java.util.List org.activiti.engine.impl.persistence.entity.DeploymentEntityManager.findDeploymentsByQueryCriteria(org.activiti.engine.impl.DeploymentQueryImpl,org.activiti.engine.impl.Page)",3537,0.06788346384154767
"public org.activiti.engine.impl.persistence.entity.DeploymentEntity org.activiti.engine.impl.persistence.entity.DeploymentEntityManager.findDeploymentById(java.lang.String)",4677,0.08976278212805158
"public final native java.lang.Class java.lang.Object.getClass()",3585,0.06880469829571625
"java.lang.Object()",1,1.919238446184554E-5
"public void org.activiti.engine.impl.persistence.entity.DeploymentEntityManager.flush()",392236,7.527944111776447
"public void org.activiti.engine.impl.persistence.entity.DeploymentEntityManager.close()",316322,6.070973437739905
