Methods called,Number of times,Number of times (Normalized)
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.removeEventSubscription(org.activiti.engine.impl.persistence.entity.EventSubscriptionEntity)",220,0.022410104920036672
"org.activiti.engine.impl.pvm.PvmTransition[0]",67,0.006824895589283895
"public boolean org.activiti.engine.impl.persistence.entity.VariableScopeImpl.hasVariableLocal(java.lang.String)",122,0.012427421819293063
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.setProcessDefinitionId(java.lang.String)",363,0.03697667311806051
"public boolean org.activiti.engine.impl.persistence.entity.ExecutionEntity.isConcurrent()",1366,0.13914637873077315
"public org.activiti.engine.impl.pvm.PvmProcessElement org.activiti.engine.impl.persistence.entity.ExecutionEntity.getEventSource()",1252,0.12753386981766324
"public void org.activiti.engine.impl.persistence.entity.VariableScopeImpl.removeVariableLocal(java.lang.String)",107,0.010899460120199654
"public java.lang.String org.activiti.engine.impl.persistence.entity.ExecutionEntity.updateProcessBusinessKey(java.lang.String)",119,0.012121829479474381
"public boolean org.activiti.engine.impl.persistence.entity.ExecutionEntity.isSuspended()",3663,0.3731282469186106
"public org.activiti.engine.impl.persistence.entity.ExecutionEntity org.activiti.engine.impl.persistence.entity.ExecutionEntity.getSuperExecution()",1335,0.13598859121931345
"public org.activiti.engine.impl.pvm.runtime.StartingExecution org.activiti.engine.impl.persistence.entity.ExecutionEntity.getStartingExecution()",2657,0.2706529489660793
"org.activiti.engine.impl.bpmn.behavior.UserTaskActivityBehavior(org.activiti.engine.impl.task.TaskDefinition)",351,0.03575430375878578
"public java.lang.Integer org.activiti.engine.impl.persistence.entity.ExecutionEntity.getExecutionListenerIndex()",5,5.093205663644698E-4
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.setSuperExecution(org.activiti.engine.impl.persistence.entity.ExecutionEntity)",2816,0.2868493429764694
"public java.util.List org.activiti.engine.impl.persistence.entity.ExecutionEntity.getTasks()",109,0.011103188346745441
"public void org.activiti.engine.impl.persistence.entity.VariableScopeImpl.deleteVariablesInstanceForLeavingScope()",108,0.011001324233472548
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.removeJob(org.activiti.engine.impl.persistence.entity.JobEntity)",139,0.01415911174493226
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.setTransition(org.activiti.engine.impl.pvm.process.TransitionImpl)",695,0.0707955587246613
"public void org.activiti.engine.impl.bpmn.behavior.AbstractBpmnActivityBehavior.setMultiInstanceActivityBehavior(org.activiti.engine.impl.bpmn.behavior.MultiInstanceActivityBehavior)",642,0.06539676072119792
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.remove()",81,0.00825099317510441
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.destroyScope(java.lang.String)",119,0.012121829479474381
"public void org.activiti.engine.impl.persistence.entity.VariableScopeImpl.setVariables(java.util.Map)",232,0.023632474279311397
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.inactivate()",1092,0.1112356116940002
"public void org.activiti.engine.impl.persistence.entity.ExecutionEntity.setEventSource(org.activiti.engine.impl.pvm.PvmProcessElement)",620,0.06315575022919426
"public java.lang.String org.activiti.engine.impl.persistence.entity.ExecutionEntity.getId()",597,0.06081287562391769
"public void org.activiti.engine.impl.persistence.entity.VariableScopeImpl.setVariablesLocal(java.util.Map)",187,0.01904858918203117
"public void org.activiti.engine.impl.bpmn.behavior.UserTaskActivityBehavior.execute(org.activiti.engine.impl.pvm.delegate.ActivityExecution) throws java.lang.Exception",122,0.012427421819293063
"public java.lang.String org.activiti.engine.impl.persistence.entity.ExecutionEntity.getProcessDefinitionId()",504,0.051339513089538553
"public java.lang.String org.activiti.engine.impl.persistence.entity.ExecutionEntity.getEventName()",509,0.05184883365590302
"public void org.activiti.engine.impl.persistence.entity.VariableScopeImpl.setVariable(java.lang.String,java.lang.Object)",65,0.006621167362738108
"public int org.activiti.engine.impl.persistence.entity.ExecutionEntity.getRevisionNext()",980,0.09982683100743608
"public boolean org.activiti.engine.impl.persistence.entity.VariableScopeImpl.hasVariable(java.lang.String)",116,0.011816237139655699
"public java.lang.String org.activiti.engine.impl.persistence.entity.ExecutionEntity.getActivityId()",584,0.05948864215137007
"public java.util.Map org.activiti.engine.impl.persistence.entity.VariableScopeImpl.getVariablesLocal()",119,0.012121829479474381
