Methods called,Number of times,Number of times (Normalized)
"public static org.apache.log4j.Logger org.apache.log4j.Category.exists(java.lang.String)",1226,0.06985754985754986
"public void org.apache.log4j.Category.setPriority(org.apache.log4j.Priority)",1958,0.11156695156695157
"public final org.apache.log4j.Level org.apache.log4j.Category.getPriority()",2999,0.17088319088319087
"public static org.apache.log4j.Category org.apache.log4j.Category.getInstance(java.lang.Class)",5643,0.32153846153846155
"public static org.apache.log4j.Category org.apache.log4j.Category.getInstance(java.lang.String)",2037,0.11606837606837607
"public org.apache.log4j.Level org.apache.log4j.Category.getEffectiveLevel()",16243,0.9255270655270655
"public boolean org.apache.log4j.Category.isAttached(org.apache.log4j.Appender)",4309,0.24552706552706552
"public static org.apache.log4j.spi.LoggerRepository org.apache.log4j.Category.getDefaultHierarchy()",4,2.279202279202279E-4
"public final org.apache.log4j.Level org.apache.log4j.Category.getLevel()",3081,0.17555555555555555
"public boolean org.apache.log4j.Category.getAdditivity()",2354,0.13413105413105414
"public void org.apache.log4j.Category.l7dlog(org.apache.log4j.Priority,java.lang.String,java.lang.Throwable)",2704,0.15407407407407409
"public java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes()",22270,1.268945868945869
"public void org.apache.log4j.Category.l7dlog(org.apache.log4j.Priority,java.lang.String,java.lang.Object[],java.lang.Throwable)",1687,0.09612535612535612
"public void org.apache.log4j.Category.callAppenders(org.apache.log4j.spi.LoggingEvent)",2611,0.1487749287749288
"public void io.cloudslang.lang.api.SlangImpl.unSubscribeOnEvents(io.cloudslang.score.events.ScoreEventListener)",884,0.05037037037037037
"public boolean org.apache.log4j.Category.isDebugEnabled()",15967,0.9098005698005698
"public void org.apache.log4j.Category.debug(java.lang.Object)",12116,0.6903703703703704
"public void org.apache.log4j.Category.debug(java.lang.Object,java.lang.Throwable)",2593,0.14774928774928775
"public synchronized void org.apache.log4j.Category.removeAllAppenders()",7166,0.4083190883190883
"java.lang.Object[3]",81,0.004615384615384616
"public java.util.ResourceBundle org.apache.log4j.Category.getResourceBundle()",2422,0.138005698005698
"java.lang.Object[2]",16,9.116809116809116E-4
"public void org.apache.log4j.Logger.trace(java.lang.Object)",3384,0.19282051282051282
"public void org.apache.log4j.Logger.trace(java.lang.Object,java.lang.Throwable)",3124,0.17800569800569802
"public void org.apache.log4j.Category.info(java.lang.Object,java.lang.Throwable)",2191,0.12484330484330484
