Methods called,Number of times,Number of times (Normalized)
"public static java.lang.String com.metamx.druid.client.DataSegment.makeDataSegmentIdentifier(java.lang.String,org.joda.time.DateTime,org.joda.time.DateTime,java.lang.String,com.metamx.druid.shard.ShardSpec)",9,8.371314296344527E-4
"java.lang.String[2]",7,6.511022230490187E-4
"java.lang.String[1]",1224,0.11384987443028556
"java.lang.String[3]",30146,2.8040182308622454
"public com.metamx.druid.client.DataSegment$Builder com.metamx.druid.client.DataSegment$Builder.loadSpec(java.util.Map)",10510,0.9775834806064552
"java.util.ArrayList()",31377,2.91851920751558
"public com.metamx.druid.client.DataSegment$Builder com.metamx.druid.client.DataSegment$Builder.shardSpec(com.metamx.druid.shard.ShardSpec)",20503,1.9070784113105756
"public final native java.lang.Class java.lang.Object.getClass()",1878,0.17468142498372244
"public static com.metamx.druid.client.DataSegment$Builder com.metamx.druid.client.DataSegment.builder()",44308,4.121291042693703
"public static com.metamx.druid.client.DataSegment$Builder com.metamx.druid.client.DataSegment.builder(com.metamx.druid.client.DataSegment)",1,9.301460329271696E-5
"public com.metamx.druid.client.DataSegment$Builder com.metamx.druid.client.DataSegment$Builder.version(java.lang.String)",14057,1.3075062784857223
"com.metamx.druid.client.DataSegment(java.lang.String, org.joda.time.Interval, java.lang.String, java.util.Map, java.util.List, java.util.List, com.metamx.druid.shard.ShardSpec, java.lang.Integer, long)",272,0.025299972095619013
"public static boolean java.util.Collections.addAll(java.util.Collection,java.lang.Object[])",31377,2.91851920751558
"com.metamx.druid.client.DataSegment$Builder(com.metamx.druid.client.DataSegment)",1,9.301460329271696E-5
"com.metamx.druid.client.DataSegment$Builder()",352,0.03274114035903637
"public com.metamx.druid.client.DataSegment$Builder com.metamx.druid.client.DataSegment$Builder.binaryVersion(java.lang.Integer)",13914,1.2942051902148637
"public com.metamx.druid.client.DataSegment$Builder com.metamx.druid.client.DataSegment$Builder.interval(org.joda.time.Interval)",15860,1.4752116082224909
"public com.metamx.druid.client.DataSegment$Builder com.metamx.druid.client.DataSegment$Builder.metrics(java.util.List)",54066,5.028927541624035
"public com.metamx.druid.client.DataSegment com.metamx.druid.loading.S3SegmentPusher.push(java.io.File,com.metamx.druid.client.DataSegment) throws java.io.IOException",1,9.301460329271696E-5
"public static java.util.Comparator com.metamx.druid.client.DataSegment.bucketMonthComparator()",1,9.301460329271696E-5
"public com.metamx.druid.client.DataSegment$Builder com.metamx.druid.client.DataSegment$Builder.dimensions(java.util.List)",50752,4.720677146311971
"public com.metamx.druid.client.DataSegment$Builder com.metamx.druid.client.DataSegment$Builder.dataSource(java.lang.String)",11006,1.0237187238396428
"public com.metamx.druid.client.DataSegment com.metamx.druid.client.DataSegment$Builder.build()",1934,0.1798902427681146
"public static java.lang.String com.metamx.druid.client.DataSegment.delimiter",1,9.301460329271696E-5
"public static java.lang.String com.metamx.druid.client.DataSegment.delimiter",3,2.7904380987815085E-4
"com.metamx.druid.loading.S3SegmentPusher(org.jets3t.service.impl.rest.httpclient.RestS3Service, com.metamx.druid.loading.S3SegmentPusherConfig, org.codehaus.jackson.map.ObjectMapper)",2,1.8602920658543392E-4
"public com.metamx.druid.client.DataSegment$Builder com.metamx.druid.client.DataSegment$Builder.size(long)",12984,1.207701609152637
