Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class java.lang.Float,2,2,0.012738853503184714,0.012738853503184714
class [C,2,2,0.012738853503184714,0.012738853503184714
class java.util.stream.ReferencePipeline$Head,4,4,0.025477707006369428,0.025477707006369428
class java.lang.Long,148,4,0.9426751592356688,0.025477707006369428
class [Ljava.lang.Number;,71,71,0.45222929936305734,0.45222929936305734
class [Ljava.lang.CharSequence;,1,1,0.006369426751592357,0.006369426751592357
class [Ljava.lang.String;,1,1,0.006369426751592357,0.006369426751592357
class java.util.LinkedHashMap$LinkedEntrySet,27,1,0.17197452229299362,0.006369426751592357
class java.lang.Boolean,65,2,0.4140127388535032,0.012738853503184714
class java.lang.Integer,26,7,0.16560509554140126,0.044585987261146494
class java.lang.Class,1,1,0.006369426751592357,0.006369426751592357
class java.util.concurrent.atomic.AtomicLong,158,8,1.0063694267515924,0.050955414012738856
class com.mongodb.Mongo,58,58,0.36942675159235666,0.36942675159235666
class java.util.LinkedHashMap$LinkedKeySet,2,1,0.012738853503184714,0.006369426751592357
class java.lang.String,33,29,0.21019108280254778,0.18471337579617833
class java.lang.Short,2,2,0.012738853503184714,0.012738853503184714
class com.mongodb.DBCollectionImpl,14,14,0.08917197452229299,0.08917197452229299
class org.elasticsearch.common.unit.TimeValue,1,1,0.006369426751592357,0.006369426751592357
class com.mongodb.DBApiLayer,33,33,0.21019108280254778,0.21019108280254778
class org.elasticsearch.common.collect.SingletonImmutableList,2,2,0.012738853503184714,0.012738853503184714
class org.elasticsearch.common.collect.RegularImmutableList,110,92,0.7006369426751592,0.5859872611464968
class java.util.ArrayList,3,1,0.01910828025477707,0.006369426751592357
class com.mongodb.ReadPreference$PrimaryReadPreference,7,1,0.044585987261146494,0.006369426751592357
class com.mongodb.BasicDBObject,154,27,0.9808917197452229,0.17197452229299362
class org.bson.types.ObjectId,3,3,0.01910828025477707,0.01910828025477707
class org.elasticsearch.common.collect.ImmutableList$ReverseImmutableList,1,1,0.006369426751592357,0.006369426751592357
class org.elasticsearch.common.unit.ByteSizeValue,1,1,0.006369426751592357,0.006369426751592357
class [Lcom.mongodb.ServerAddress;,3,1,0.01910828025477707,0.006369426751592357
class org.elasticsearch.common.collect.Iterators$11,7,2,0.044585987261146494,0.012738853503184714
