Methods called,Number of times,Number of times (Normalized)
"public org.elasticsearch.script.ExecutableScript org.elasticsearch.script.ScriptService$DocScoreNativeScriptFactory.newScript(java.util.Map)",250,0.024723101265822785
"public static final int org.elasticsearch.river.mongodb.MongoDBRiverDefinition.DEFAULT_DB_PORT",1,9.889240506329114E-5
"public static final java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.BULK_FIELD",1,9.889240506329114E-5
"public void org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.setscript(java.lang.String)",379,0.03748022151898734
"public final java.util.Set org.elasticsearch.river.mongodb.MongoDBRiverDefinition.includeFields",109,0.010779272151898734
"public static final java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.USER_FIELD",1,9.889240506329114E-5
"public org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.scriptType(java.lang.String)",338,0.0334256329113924
"public com.mongodb.MongoClientOptions org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.getmongoClientOptions()",89,0.008801424050632911
"public void org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.setimportAllCollections(boolean)",92,0.009098101265822785
"public org.elasticsearch.common.unit.TimeValue org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getDEFAULT_FLUSH_INTERVAL()",144,0.014240506329113924
"public static synchronized org.elasticsearch.river.mongodb.MongoDBRiverDefinition org.elasticsearch.river.mongodb.MongoDBRiverDefinition.parseSettings(java.lang.String,java.lang.String,org.elasticsearch.river.RiverSettings,org.elasticsearch.script.ScriptService)",92,0.009098101265822785
"public boolean org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getmongoSSLVerifyCertificate()",116,0.011471518987341773
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getUSER_FIELD()",386,0.03817246835443038
"public final java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.includeCollection",1013,0.10017800632911393
"public int org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.getsocketTimeout()",241,0.023833069620253163
"public final com.mongodb.BasicDBObject org.elasticsearch.river.mongodb.MongoDBRiverDefinition.mongoCollectionFilter",220,0.021756329113924052
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.mongoLocalUser",295,0.029173259493670885
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.mongoLocalUser",84,0.008306962025316455
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getSCRIPT_TYPE_FIELD()",111,0.010977056962025316
"public final java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.statisticsIndexName",73,0.0072191455696202535
"public final java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.script",120,0.011867088607594937
"public boolean org.elasticsearch.river.mongodb.MongoDBRiverDefinition.isImportAllCollections()",85,0.008405854430379747
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.typeName",113,0.0111748417721519
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.typeName",53,0.0052412974683544306
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getIMPORT_ALL_COLLECTIONS_FIELD()",134,0.013251582278481012
"public com.mongodb.MongoClientOptions org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getMongoClientOptions()",138,0.013647151898734177
"public final java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.mongoDb",145,0.014339398734177215
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getTHROTTLE_SIZE_FIELD()",135,0.013350474683544304
"public org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.riverIndexName(java.lang.String)",363,0.03589794303797468
"public final boolean org.elasticsearch.river.mongodb.MongoDBRiverDefinition.mongoGridFS",169,0.0167128164556962
"public org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.mongoLocalUser(java.lang.String)",199,0.019679588607594937
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getSERVERS_FIELD()",81,0.008010284810126582
"public org.elasticsearch.river.mongodb.Timestamp org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.getinitialTimestamp()",78,0.007713607594936709
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getMongoOplogNamespace()",182,0.017998417721518986
"public static final java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.SCRIPT_FIELD",1,9.889240506329114E-5
"public java.lang.Object org.elasticsearch.script.AbstractFloatSearchScript.run()",40,0.003955696202531646
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getScript()",105,0.01038370253164557
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.scriptType",122,0.012064873417721519
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.scriptType",170,0.016811708860759493
"public boolean org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.getdisableIndexRefresh()",93,0.009196993670886076
"public static final java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.INCLUDE_FIELDS_FIELD",1,9.889240506329114E-5
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.riverIndexName",83,0.008208069620253165
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.riverIndexName",207,0.020470727848101267
"public void org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.setmongoSecondaryReadPreference(boolean)",90,0.008900316455696203
"public float org.elasticsearch.script.ScriptService$DocScoreSearchScript.runAsFloat()",36,0.003560126582278481
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getSECONDARY_READ_PREFERENCE_FIELD()",218,0.02155854430379747
"public int org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.getthrottleSize()",123,0.01216376582278481
"public boolean org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.getdropCollection()",82,0.008109177215189873
"public void org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.setmongoLocalPassword(java.lang.String)",112,0.011075949367088608
"public static final int org.elasticsearch.river.mongodb.MongoDBRiverDefinition.DEFAULT_CONCURRENT_REQUESTS",1,9.889240506329114E-5
"public java.util.List org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getMongoServers()",424,0.041930379746835444
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getMongoAdminUser()",188,0.018591772151898733
"public final boolean org.elasticsearch.river.mongodb.MongoDBRiverDefinition.disableIndexRefresh",154,0.015229430379746835
"public static final java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.TYPE_FIELD",1,9.889240506329114E-5
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getTypeName()",141,0.01394382911392405
"public int org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.connectTimeout",228,0.02254746835443038
"public int org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.connectTimeout",135,0.013350474683544304
"public int org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getThrottleSize()",109,0.010779272151898734
"public static final java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.INITIAL_TIMESTAMP_SCRIPT_FIELD",1,9.889240506329114E-5
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getINITIAL_TIMESTAMP_SCRIPT_TYPE_FIELD()",106,0.010482594936708861
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getFILTER_FIELD()",380,0.03757911392405063
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getEXCLUDE_FIELDS_FIELD()",145,0.014339398734177215
"public boolean org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.getmongoGridFS()",108,0.010680379746835443
