Methods called,Number of times,Number of times (Normalized)
"public org.elasticsearch.script.ExecutableScript org.elasticsearch.script.ScriptService$DocScoreNativeScriptFactory.newScript(java.util.Map)",6918,0.6985761890336262
"public static final int org.elasticsearch.river.mongodb.MongoDBRiverDefinition.DEFAULT_DB_PORT",1,1.0097950116126426E-4
"public static final java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.BULK_FIELD",1,1.0097950116126426E-4
"public void org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.setscript(java.lang.String)",252,0.025446834292638595
"public final java.util.Set org.elasticsearch.river.mongodb.MongoDBRiverDefinition.includeFields",125,0.012622437645158033
"public static final java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.USER_FIELD",1,1.0097950116126426E-4
"public org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.scriptType(java.lang.String)",158,0.015954761183479754
"public com.mongodb.MongoClientOptions org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.getmongoClientOptions()",306,0.030899727355346865
"public void org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.setimportAllCollections(boolean)",438,0.04422902150863375
"public org.elasticsearch.common.unit.TimeValue org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getDEFAULT_FLUSH_INTERVAL()",119,0.012016560638190447
"public static synchronized org.elasticsearch.river.mongodb.MongoDBRiverDefinition org.elasticsearch.river.mongodb.MongoDBRiverDefinition.parseSettings(java.lang.String,java.lang.String,org.elasticsearch.river.RiverSettings,org.elasticsearch.script.ScriptService)",99,0.009996970614965161
"public boolean org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getmongoSSLVerifyCertificate()",140,0.014137130162576996
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getUSER_FIELD()",259,0.026153690800767446
"public int org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.getsocketTimeout()",930,0.09391093607997576
"public final java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.includeCollection",101,0.01019892961728769
"public final com.mongodb.BasicDBObject org.elasticsearch.river.mongodb.MongoDBRiverDefinition.mongoCollectionFilter",369,0.03726143592850651
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.mongoLocalUser",201,0.020296879733414118
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.mongoLocalUser",100,0.010097950116126426
"public final java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.statisticsIndexName",89,0.008987175603352519
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getSCRIPT_TYPE_FIELD()",120,0.012117540139351712
"public final java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.script",88,0.008886196102191254
"public boolean org.elasticsearch.river.mongodb.MongoDBRiverDefinition.isImportAllCollections()",436,0.04402706250631122
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.typeName",101,0.01019892961728769
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.typeName",108,0.01090578612541654
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getIMPORT_ALL_COLLECTIONS_FIELD()",81,0.008179339594062406
"public com.mongodb.MongoClientOptions org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getMongoClientOptions()",153,0.015449863677673432
"public java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.getTHROTTLE_SIZE_FIELD()",3264,0.32959709179036656
"public final java.lang.String org.elasticsearch.river.mongodb.MongoDBRiverDefinition.mongoDb",141,0.014238109663738261
"public org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder.riverIndexName(java.lang.String)",204,0.02059981823689791
"public final boolean org.elasticsearch.river.mongodb.MongoDBRiverDefinition.mongoGridFS",483,0.04877309906089064
