Methods called,Number of times,Number of times (Normalized)
"org.elasticsearch.river.mongodb.Timestamp$GTID([B, java.util.Date)",19492,0.9997435502897881
"org.elasticsearch.river.mongodb.Indexer(org.elasticsearch.river.mongodb.MongoDBRiver, org.elasticsearch.river.mongodb.MongoDBRiverDefinition, org.elasticsearch.river.mongodb.SharedContext, org.elasticsearch.client.Client, org.elasticsearch.script.ScriptService)",1,5.128994204236549E-5
"public static int org.elasticsearch.river.mongodb.Timestamp.compare(org.elasticsearch.river.mongodb.Timestamp,org.elasticsearch.river.mongodb.Timestamp)",1,5.128994204236549E-5
"byte[5]",3125,0.16028106888239216
"byte[6]",15585,0.7993537467302662
"byte[1]",5,2.5644971021182746E-4
"byte[2]",25,0.0012822485510591373
"byte[3]",125,0.006411242755295686
"byte[4]",625,0.03205621377647843
"byte[0]",1,5.128994204236549E-5
"public static org.elasticsearch.river.mongodb.Timestamp org.elasticsearch.river.mongodb.Timestamp.on(com.mongodb.DBObject)",1,5.128994204236549E-5
"public static org.elasticsearch.river.mongodb.Timestamp org.elasticsearch.river.mongodb.Timestamp.on(java.util.Map)",1,5.128994204236549E-5
"java.lang.Object()",1,5.128994204236549E-5
"public final native java.lang.Class java.lang.Object.getClass()",1,5.128994204236549E-5
