Methods called,Number of times,Number of times (Normalized)
"org.elasticsearch.river.mongodb.Timestamp$GTID([B, java.util.Date)",19364,0.9994322580645161
"public static final long org.elasticsearch.river.mongodb.Slurper$SlurperException.serialVersionUID",1,5.161290322580645E-5
"public static final org.elasticsearch.common.logging.ESLogger org.elasticsearch.river.mongodb.Slurper.logger",1,5.161290322580645E-5
"org.elasticsearch.river.mongodb.Slurper(java.util.List, org.elasticsearch.river.mongodb.MongoDBRiverDefinition, org.elasticsearch.river.mongodb.SharedContext, org.elasticsearch.client.Client)",2,1.032258064516129E-4
"public static int org.elasticsearch.river.mongodb.Timestamp.compare(org.elasticsearch.river.mongodb.Timestamp,org.elasticsearch.river.mongodb.Timestamp)",1,5.161290322580645E-5
"byte[5]",3125,0.16129032258064516
"public static boolean java.util.Collections.addAll(java.util.Collection,java.lang.Object[])",1,5.161290322580645E-5
"byte[6]",15457,0.7977806451612903
"byte[1]",5,2.5806451612903227E-4
"byte[2]",25,0.0012903225806451613
"byte[3]",125,0.0064516129032258064
"java.util.ArrayList()",1,5.161290322580645E-5
"byte[4]",625,0.03225806451612903
"org.elasticsearch.river.mongodb.Slurper$SlurperException(org.elasticsearch.river.mongodb.Slurper)",1,5.161290322580645E-5
"org.elasticsearch.river.mongodb.Slurper$SlurperException(org.elasticsearch.river.mongodb.Slurper, java.lang.String)",2,1.032258064516129E-4
"com.mongodb.ServerAddress[0]",1,5.161290322580645E-5
"byte[0]",1,5.161290322580645E-5
"public static org.elasticsearch.river.mongodb.Timestamp org.elasticsearch.river.mongodb.Timestamp.on(com.mongodb.DBObject)",1,5.161290322580645E-5
"public static org.elasticsearch.river.mongodb.Timestamp org.elasticsearch.river.mongodb.Timestamp.on(java.util.Map)",1,5.161290322580645E-5
"java.lang.Object()",1,5.161290322580645E-5
"public final native java.lang.Class java.lang.Object.getClass()",2,1.032258064516129E-4
