Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class org.elasticsearch.script.ScriptService$DocScoreSearchScript,550,14,0.06061273969583425,0.0015428697377121445
class org.elasticsearch.common.logging.log4j.Log4jESLogger,76,1,0.008375578576151642,1.1020498126515319E-4
class [Ljava.lang.String;,1598,5,0.1761075600617148,5.51024906325766E-4
class [Lorg.elasticsearch.script.ScriptEngineService;,79,1,0.008706193519947102,1.1020498126515319E-4
class [Lcom.mongodb.ServerAddress;,662,1,0.07295569759753141,1.1020498126515319E-4
class org.elasticsearch.common.unit.TimeValue,79,1,0.008706193519947102,1.1020498126515319E-4
class java.lang.Boolean,11627,2,1.281353317169936,2.2040996253030638E-4
class com.mongodb.MongoClientOptions,91,2,0.01002865329512894,2.2040996253030638E-4
class java.util.HashSet,1,1,1.1020498126515319E-4,1.1020498126515319E-4
class java.lang.Object,1,1,1.1020498126515319E-4,1.1020498126515319E-4
class java.lang.Integer,4199,15,0.46275071633237824,0.0016530747189772979
class org.elasticsearch.common.ParseField,21,10,0.0023143046065682168,0.001102049812651532
class java.lang.Class,41,7,0.00451840423187128,7.714348688560723E-4
class org.elasticsearch.common.settings.ImmutableSettings,223,1,0.02457571082212916,1.1020498126515319E-4
class org.elasticsearch.script.ScriptService$ScriptType,3,3,3.3061494379545955E-4,3.3061494379545955E-4
class org.elasticsearch.script.ScriptService$DocScoreNativeScriptFactory,128,1,0.014106237601939608,1.1020498126515319E-4
class org.elasticsearch.river.mongodb.MongoDBRiverDefinition$Builder,34521,2766,3.8043861582543532,0.30482697817941373
class java.lang.String,15374,69,1.694291381970465,0.00760414370729557
class java.util.LinkedHashSet,1746,6,0.19241789728895747,6.612298875909191E-4
class java.util.ArrayList,1293,3,0.14249504077584307,3.3061494379545955E-4
class org.elasticsearch.river.mongodb.MongoDBRiverDefinition,22440,862,2.4729997795900376,0.09499669385056204
class sun.security.ssl.SSLSocketFactoryImpl,1,1,1.1020498126515319E-4,1.1020498126515319E-4
class org.elasticsearch.river.mongodb.SerializedObjectSupporter,1599,1,0.17621776504297995,1.1020498126515319E-4
class java.util.HashMap,62,8,0.006832708838439497,8.816398501212255E-4
class org.elasticsearch.script.ScriptService$CacheKey,499,499,0.05499228565131144,0.05499228565131144
class org.elasticsearch.common.unit.ByteSizeValue,56,1,0.006171478950848578,1.1020498126515319E-4
class org.elasticsearch.river.RiverSettings,4868,12,0.5364778487987657,0.0013224597751818382
class com.mongodb.BasicDBObject,1288,4,0.1419440158695173,4.4081992506061276E-4
