Methods called,Number of times,Number of times (Normalized)
"org.elasticsearch.river.mongodb.Timestamp$GTID([B, java.util.Date)",19489,0.9997435108238433
"org.elasticsearch.river.mongodb.Indexer(org.elasticsearch.river.mongodb.MongoDBRiver, org.elasticsearch.river.mongodb.MongoDBRiverDefinition, org.elasticsearch.river.mongodb.SharedContext, org.elasticsearch.client.Client, org.elasticsearch.script.ScriptService)",1,5.129783523135324E-5
"public static int org.elasticsearch.river.mongodb.Timestamp.compare(org.elasticsearch.river.mongodb.Timestamp,org.elasticsearch.river.mongodb.Timestamp)",1,5.129783523135324E-5
"byte[5]",3125,0.16030573509797885
"byte[6]",15582,0.7993228685749462
"byte[1]",5,2.564891761567662E-4
"byte[2]",25,0.001282445880783831
"byte[3]",125,0.006412229403919154
"byte[4]",625,0.032061147019595775
"byte[0]",1,5.129783523135324E-5
"public static org.elasticsearch.river.mongodb.Timestamp org.elasticsearch.river.mongodb.Timestamp.on(com.mongodb.DBObject)",1,5.129783523135324E-5
"public static org.elasticsearch.river.mongodb.Timestamp org.elasticsearch.river.mongodb.Timestamp.on(java.util.Map)",1,5.129783523135324E-5
"java.lang.Object()",1,5.129783523135324E-5
"public final native java.lang.Class java.lang.Object.getClass()",1,5.129783523135324E-5
