Methods called,Number of times,Number of times (Normalized)
"org.elasticsearch.river.mongodb.Timestamp$GTID([B, java.util.Date)",19525,0.9997951764043218
"public static int org.elasticsearch.river.mongodb.Timestamp.compare(org.elasticsearch.river.mongodb.Timestamp,org.elasticsearch.river.mongodb.Timestamp)",1,5.1205898919555534E-5
"byte[5]",3125,0.16001843412361105
"byte[6]",15618,0.7997337293256183
"byte[1]",5,2.560294945977777E-4
"byte[2]",25,0.0012801474729888882
"byte[3]",125,0.006400737364944442
"byte[4]",625,0.03200368682472221
"byte[0]",1,5.1205898919555534E-5
"public static org.elasticsearch.river.mongodb.Timestamp org.elasticsearch.river.mongodb.Timestamp.on(java.util.Map)",1,5.1205898919555534E-5
"public static org.elasticsearch.river.mongodb.Timestamp org.elasticsearch.river.mongodb.Timestamp.on(com.mongodb.DBObject)",1,5.1205898919555534E-5
"java.lang.Object()",1,5.1205898919555534E-5
"public final native java.lang.Class java.lang.Object.getClass()",1,5.1205898919555534E-5
