Methods called,Number of times,Number of times (Normalized)
"java.util.concurrent.ExecutorService[][][4]",18,6.64819944598338E-4
"public static org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures org.apache.lucene.util.LuceneTestCase.replaceMaxFailureRule(org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures)",503,0.018578024007386888
"java.util.concurrent.ExecutorService[][][2]",30,0.00110803324099723
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testFilteredQuery() throws java.io.IOException",105,0.003878116343490305
"java.util.concurrent.ExecutorService[][][3]",6,2.2160664819944597E-4
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testQueryStringRegexpTooManyDeterminizedStates() throws java.lang.Exception",133,0.004912280701754386
"public static java.util.Random org.apache.lucene.util.LuceneTestCase.random()",1,3.6934441366574334E-5
"java.util.concurrent.ExecutorService[][][0]",37,0.0013665743305632501
"public static void org.junit.Assert.assertTrue(boolean)",2,7.386888273314867E-5
"public static void org.junit.Assert.assertTrue(java.lang.String,boolean)",30,0.00110803324099723
"randoop.operation.UncheckedCast@2b7a6f74",6,2.2160664819944597E-4
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testSpanTermQueryBuilder() throws java.io.IOException",115,0.004247460757156048
"public static boolean org.elasticsearch.test.ElasticsearchTestCase.randomBoolean()",1,3.6934441366574334E-5
"public void org.apache.lucene.util.LuceneTestCase.assertStoredFieldEquals(java.lang.String,org.apache.lucene.index.IndexableField,org.apache.lucene.index.IndexableField)",97,0.00358264081255771
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testTermsFilterWithMultipleFields() throws java.io.IOException",109,0.004025854108956602
"public void org.apache.lucene.util.LuceneTestCase.setIndexWriterMaxDocs(int)",7633,0.28192059095106187
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testSpanNotQueryBuilder() throws java.io.IOException",107,0.003951985226223453
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testTermsWithNameFilterQuery() throws java.lang.Exception",110,0.004062788550323176
