Methods called,Number of times,Number of times (Normalized)
"int[][][1]",15,5.63888575617458E-4
"public static org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures org.apache.lucene.util.LuceneTestCase.replaceMaxFailureRule(org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures)",227,0.008533513777677531
"int[][][2]",1,3.7592571707830533E-5
"double[][5]",18,6.766662907409496E-4
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testFilteredQuery() throws java.io.IOException",106,0.003984812601030036
"double[][6]",10,3.759257170783053E-4
"double[][0]",4,1.5037028683132213E-4
"float[][6]",8,3.0074057366264427E-4
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testQueryStringRegexpTooManyDeterminizedStates() throws java.lang.Exception",98,0.0036840720273673922
"double[][1]",3,1.127777151234916E-4
"float[][5]",3,1.127777151234916E-4
"double[][2]",3,1.127777151234916E-4
"float[][3]",2,7.518514341566107E-5
"public static java.util.Random org.apache.lucene.util.LuceneTestCase.random()",1,3.7592571707830533E-5
"float[][2]",4,1.5037028683132213E-4
"randoop.operation.UncheckedCast@375de757",2,7.518514341566107E-5
"float[][1]",1,3.7592571707830533E-5
"float[][0]",4,1.5037028683132213E-4
"int[][][5]",4,1.5037028683132213E-4
"int[][][6]",1,3.7592571707830533E-5
"public static void org.junit.Assert.assertTrue(boolean)",2,7.518514341566107E-5
"public static void org.junit.Assert.assertTrue(java.lang.String,boolean)",29,0.0010901845795270855
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testSpanTermQueryBuilder() throws java.io.IOException",100,0.0037592571707830533
"public static boolean org.elasticsearch.test.ElasticsearchTestCase.randomBoolean()",1,3.7592571707830533E-5
"public void org.apache.lucene.util.LuceneTestCase.assertStoredFieldEquals(java.lang.String,org.apache.lucene.index.IndexableField,org.apache.lucene.index.IndexableField)",110,0.0041351828878613585
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testTermsFilterWithMultipleFields() throws java.io.IOException",118,0.004435923461524003
"public void org.apache.lucene.util.LuceneTestCase.setIndexWriterMaxDocs(int)",8569,0.32213074696439986
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testSpanNotQueryBuilder() throws java.io.IOException",113,0.00424796060298485
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testTermsWithNameFilterQuery() throws java.lang.Exception",107,0.004022405172737867
"java.util.List[][]",3,1.127777151234916E-4
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testWildcardBoostQuery() throws java.io.IOException",116,0.004360738318108342
"java.util.List[]",10,3.759257170783053E-4
"public final org.junit.rules.TestRule org.apache.lucene.util.LuceneTestCase.ruleChain",6610,0.2484868989887598
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newFSDirectory(java.nio.file.Path)",1,3.7592571707830533E-5
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newFSDirectory(java.nio.file.Path,org.apache.lucene.store.LockFactory)",1,3.7592571707830533E-5
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.SYSPROP_MONSTER",1,3.7592571707830533E-5
"public static void org.junit.Assert.assertNotSame(java.lang.Object,java.lang.Object)",1708,0.06420811247697455
"public static void org.junit.Assert.assertNotSame(java.lang.String,java.lang.Object,java.lang.Object)",2621,0.09853013044622383
"public static void org.junit.Assert.assertNull(java.lang.String,java.lang.Object)",108,0.004059997744445698
"public static void org.junit.Assert.assertNull(java.lang.Object)",98,0.0036840720273673922
"public static int org.apache.lucene.util.LuceneTestCase.collate(java.text.Collator,java.lang.String,java.lang.String)",102,0.0038344423141987143
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testMatchWithoutFuzzyTranspositions() throws java.lang.Exception",94,0.00353370174053607
"public static int org.elasticsearch.test.ElasticsearchTestCase.scaledRandomIntBetween(int,int)",109,0.004097590316153528
"public static void org.junit.Assert.assertEquals(java.lang.String,long,long)",126,0.004736664035186647
"public static void org.junit.Assert.assertEquals(double,double,double)",117,0.004398330889816172
"public static void org.junit.Assert.assertEquals(java.lang.String,double,double,double)",140,0.0052629600390962745
"public static void org.junit.Assert.assertEquals(java.lang.String,java.lang.Object[],java.lang.Object[])",2578,0.09691364986278711
"public static void org.junit.Assert.assertEquals(java.lang.Object[],java.lang.Object[])",1455,0.054697191834893424
