Methods called,Number of times,Number of times (Normalized)
"public static org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures org.apache.lucene.util.LuceneTestCase.replaceMaxFailureRule(org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures)",210,0.008420883791803674
"org.elasticsearch.test.ElasticsearchTestCase[][][0]",1,4.009944662763654E-5
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testFilteredQuery() throws java.io.IOException",101,0.00405004410939129
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testQueryStringRegexpTooManyDeterminizedStates() throws java.lang.Exception",108,0.004330740235784746
"public static java.util.Random org.apache.lucene.util.LuceneTestCase.random()",1,4.009944662763654E-5
"public static void org.junit.Assert.assertTrue(boolean)",2,8.019889325527307E-5
"public static void org.junit.Assert.assertTrue(java.lang.String,boolean)",30,0.0012029833988290962
"randoop.operation.UncheckedCast@524b4244",4,1.6039778651054615E-4
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testSpanTermQueryBuilder() throws java.io.IOException",110,0.004410939129040019
"public static boolean org.elasticsearch.test.ElasticsearchTestCase.randomBoolean()",1,4.009944662763654E-5
"public void org.apache.lucene.util.LuceneTestCase.assertStoredFieldEquals(java.lang.String,org.apache.lucene.index.IndexableField,org.apache.lucene.index.IndexableField)",89,0.003568850749859652
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testTermsFilterWithMultipleFields() throws java.io.IOException",113,0.004531237468922929
"public void org.apache.lucene.util.LuceneTestCase.setIndexWriterMaxDocs(int)",2055,0.08240436281979309
"org.elasticsearch.test.ElasticsearchTestCase[][][4]",1,4.009944662763654E-5
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testSpanNotQueryBuilder() throws java.io.IOException",109,0.004370839682412382
"org.elasticsearch.test.ElasticsearchTestCase[][][2]",1,4.009944662763654E-5
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testTermsWithNameFilterQuery() throws java.lang.Exception",98,0.003929745769508381
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testWildcardBoostQuery() throws java.io.IOException",105,0.004210441895901837
"public org.apache.lucene.util.BytesRef org.elasticsearch.index.query.SimpleIndexQueryParserTests.indexedValueForSearch(long)",21866,0.8768144999599006
"public final org.junit.rules.TestRule org.apache.lucene.util.LuceneTestCase.ruleChain",2966,0.11893495869756997
"org.apache.lucene.store.MockDirectoryWrapper$Throttling[][][0]",1,4.009944662763654E-5
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newFSDirectory(java.nio.file.Path,org.apache.lucene.store.LockFactory)",1,4.009944662763654E-5
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newFSDirectory(java.nio.file.Path)",1,4.009944662763654E-5
"org.apache.lucene.store.MockDirectoryWrapper$Throttling[][][4]",1,4.009944662763654E-5
"randoop.operation.UncheckedCast@15dc05fb",1,4.009944662763654E-5
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.SYSPROP_MONSTER",1,4.009944662763654E-5
"public static void org.junit.Assert.assertNotSame(java.lang.String,java.lang.Object,java.lang.Object)",3611,0.14479910177239555
"public static void org.junit.Assert.assertNotSame(java.lang.Object,java.lang.Object)",1637,0.06564279412944102
"org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures[5]",14,5.613922527869115E-4
"public static void org.junit.Assert.assertNull(java.lang.Object)",78,0.00312775683695565
"public static void org.junit.Assert.assertNull(java.lang.String,java.lang.Object)",84,0.003368353516721469
"public static int org.apache.lucene.util.LuceneTestCase.collate(java.text.Collator,java.lang.String,java.lang.String)",79,0.0031678562835832863
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testMatchWithoutFuzzyTranspositions() throws java.lang.Exception",87,0.0034886518566043787
