Methods called,Number of times,Number of times (Normalized)
"public static org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures org.apache.lucene.util.LuceneTestCase.replaceMaxFailureRule(org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures)",66,0.002674772036474164
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testFilteredQuery() throws java.io.IOException",106,0.004295845997973657
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testQueryStringRegexpTooManyDeterminizedStates() throws java.lang.Exception",106,0.004295845997973657
"randoop.operation.ArrayElementSet@7f57ab50",4,1.6210739614994934E-4
"public static java.util.Random org.apache.lucene.util.LuceneTestCase.random()",1,4.0526849037487334E-5
"public static void org.junit.Assert.assertTrue(java.lang.String,boolean)",30,0.0012158054711246201
"public static void org.junit.Assert.assertTrue(boolean)",2,8.105369807497467E-5
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testSpanTermQueryBuilder() throws java.io.IOException",120,0.004863221884498481
"public static boolean org.elasticsearch.test.ElasticsearchTestCase.randomBoolean()",1,4.0526849037487334E-5
"public void org.apache.lucene.util.LuceneTestCase.assertStoredFieldEquals(java.lang.String,org.apache.lucene.index.IndexableField,org.apache.lucene.index.IndexableField)",93,0.003768996960486322
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testTermsFilterWithMultipleFields() throws java.io.IOException",113,0.0045795339412360685
"public void org.apache.lucene.util.LuceneTestCase.setIndexWriterMaxDocs(int)",2363,0.09576494427558258
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testSpanNotQueryBuilder() throws java.io.IOException",112,0.0045390070921985815
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testTermsWithNameFilterQuery() throws java.lang.Exception",99,0.004012158054711246
"public org.apache.lucene.util.BytesRef org.elasticsearch.index.query.SimpleIndexQueryParserTests.indexedValueForSearch(long)",8681,0.35181357649442757
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testWildcardBoostQuery() throws java.io.IOException",98,0.003971631205673759
"public final org.junit.rules.TestRule org.apache.lucene.util.LuceneTestCase.ruleChain",5949,0.24109422492401217
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newFSDirectory(java.nio.file.Path)",1,4.0526849037487334E-5
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newFSDirectory(java.nio.file.Path,org.apache.lucene.store.LockFactory)",1,4.0526849037487334E-5
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.SYSPROP_MONSTER",1,4.0526849037487334E-5
"public static void org.junit.Assert.assertNotSame(java.lang.String,java.lang.Object,java.lang.Object)",4301,0.17430597771023304
"public static void org.junit.Assert.assertNotSame(java.lang.Object,java.lang.Object)",5785,0.23444782168186423
"public static void org.junit.Assert.assertNull(java.lang.Object)",92,0.0037284701114488348
"public static void org.junit.Assert.assertNull(java.lang.String,java.lang.Object)",98,0.003971631205673759
"public static int org.apache.lucene.util.LuceneTestCase.collate(java.text.Collator,java.lang.String,java.lang.String)",92,0.0037284701114488348
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testMatchWithoutFuzzyTranspositions() throws java.lang.Exception",88,0.0035663627152988857
"public static int org.elasticsearch.test.ElasticsearchTestCase.scaledRandomIntBetween(int,int)",106,0.004295845997973657
"public static void org.junit.Assert.assertEquals(long,long)",86,0.003485309017223911
"public static void org.junit.Assert.assertEquals(double,double,double)",95,0.003850050658561297
"public static void org.junit.Assert.assertEquals(java.lang.String,double,double,double)",111,0.004498480243161095
"public static void org.junit.Assert.assertEquals(java.lang.String,java.lang.Object[],java.lang.Object[])",1382,0.0560081053698075
"public static void org.junit.Assert.assertEquals(java.lang.String,double,double)",116,0.004701114488348531
"public static void org.junit.Assert.assertEquals(java.lang.Object[],java.lang.Object[])",1731,0.07015197568389057
"public static void org.junit.Assert.assertEquals(java.lang.String,java.lang.Object,java.lang.Object)",101,0.004093211752786221
"public static void org.junit.Assert.assertEquals(java.lang.String,long,long)",92,0.0037284701114488348
"public static void org.junit.Assert.assertEquals(java.lang.Object,java.lang.Object)",82,0.0033232016210739614
"public static void org.junit.Assert.assertEquals(double,double)",111,0.004498480243161095
"java.util.concurrent.ExecutorService[][][1]",1,4.0526849037487334E-5
"public void org.apache.lucene.util.LuceneTestCase.setUp() throws java.lang.Exception",3281,0.13296859169199596
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testGeoBoundingBoxFilterNamed() throws java.io.IOException",100,0.004052684903748734
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testFilteredQuery2() throws java.io.IOException",96,0.0038905775075987843
