Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class org.elasticsearch.cluster.metadata.IndexMetaData$State,310,2,0.07027884833371117,4.534119247336205E-4
class org.elasticsearch.cluster.metadata.IndexMetaData$IndexMetaDataDiff,598,598,0.13557016549535253,0.13557016549535253
class org.elasticsearch.common.collect.ImmutableOpenIntMap,651,1,0.14758558150079348,2.2670596236681024E-4
class java.lang.Byte,143,2,0.032418952618453865,4.534119247336205E-4
class org.elasticsearch.common.ParseFieldMatcher,124,1,0.02811153933348447,2.2670596236681024E-4
class java.util.Collections$UnmodifiableMap,4886,10,1.1076853321242348,0.0022670596236681025
class [Ljava.lang.String;,1056,12,0.23940149625935161,0.002720471548401723
class java.lang.Long,1844,5,0.4180457946043981,0.0011335298118340512
class org.elasticsearch.index.translog.Translog$Durability,119,1,0.026978009521650418,2.2670596236681024E-4
class java.lang.Boolean,7980,2,1.8091135796871458,4.534119247336205E-4
class org.elasticsearch.common.settings.IndexScopedSettings$$Lambda$82/1007309018,211,1,0.04783495805939696,2.2670596236681024E-4
class org.elasticsearch.index.MergeSchedulerConfig,139,1,0.031512128768986625,2.2670596236681024E-4
class org.elasticsearch.cluster.metadata.IndexMetaData,18833,6,4.2695533892541375,0.0013602357742008614
class org.elasticsearch.common.unit.ByteSizeValue,182,1,0.04126048515075947,2.2670596236681024E-4
class java.lang.Object,477,1,0.10813874404896849,2.2670596236681024E-4
class org.elasticsearch.common.settings.Setting$3,2921,4,0.6622081160734528,9.06823849467241E-4
class java.lang.Integer,1507,6,0.341645885286783,0.0013602357742008614
class org.elasticsearch.common.settings.Setting$Property,35,1,0.00793470868283836,2.2670596236681024E-4
class org.elasticsearch.cluster.block.ClusterBlock,5,4,0.0011335298118340512,9.06823849467241E-4
class java.lang.Class,152,9,0.03445930627975516,0.0020403536613012923
class org.elasticsearch.common.collect.ImmutableOpenMap,9436,1,2.1391974608932216,2.2670596236681024E-4
class org.elasticsearch.common.settings.Settings,12547,50,2.844479709816368,0.011335298118340512
class org.elasticsearch.Version,1483,1,0.3362049421899796,2.2670596236681024E-4
class org.elasticsearch.common.settings.Setting,37,29,0.00838812060757198,0.006574472908637497
class java.lang.String,1300,39,0.29471775107685333,0.0088415325323056
class org.elasticsearch.cluster.metadata.IndexMetaData$Builder,8910,6637,2.0199501246882794,1.5046474722285197
class org.elasticsearch.index.IndexSettings,15201,15201,3.4461573339378826,3.4461573339378826
class java.util.HashSet,94,5,0.021310360462480162,0.0011335298118340512
class java.util.HashMap,57,3,0.012922239854908184,6.801178871004307E-4
class org.apache.lucene.index.TieredMergePolicy,801,1,0.181591475855815,2.2670596236681024E-4
class java.util.ArrayList,85,7,0.019270006801178872,0.0015869417365676718
class org.elasticsearch.common.xcontent.ToXContent$1,158,1,0.035819542053956016,2.2670596236681024E-4
class org.elasticsearch.common.settings.Settings$Builder,5499,473,1.2466560870550896,0.10723192019950124
class org.elasticsearch.common.settings.IndexScopedSettings,1406,144,0.3187485830877352,0.03264565858082068
class java.util.Collections$UnmodifiableSet,1,1,2.2670596236681024E-4,2.2670596236681024E-4
class org.elasticsearch.cluster.metadata.IndexMetaData$1,1,1,2.2670596236681024E-4,2.2670596236681024E-4
class java.util.Collections$EmptySet,33,1,0.007481296758104738,2.2670596236681024E-4
class org.elasticsearch.index.Index,1,1,2.2670596236681024E-4,2.2670596236681024E-4
class java.util.LinkedHashMap,152,65,0.03445930627975516,0.014735887553842666
class org.elasticsearch.common.unit.TimeValue,1759,1028,0.3987757878032192,0.23305372931308094
