Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class org.elasticsearch.cluster.metadata.IndexMetaData$State,4125,2,0.40528591078797405,1.9650225977598743E-4
class java.lang.Long,17073,29,1.6774415405777165,0.0028492827667518177
class java.lang.Integer,3934,12,0.38651994497936726,0.0011790135586559245
class org.elasticsearch.Version,1599,1,0.15710355669090195,9.825112988799372E-5
class org.elasticsearch.action.bulk.BulkItemRequest,735,613,0.07221458046767538,0.060227942621340146
class org.elasticsearch.action.ActionRequestValidationException,924,804,0.0907840440165062,0.07899390842994694
class org.elasticsearch.cluster.block.ClusterBlock,47,4,0.004617803104735705,3.9300451955197487E-4
class org.elasticsearch.index.Index,15,1,0.0014737669483199057,9.825112988799372E-5
class org.elasticsearch.common.unit.TimeValue,2755,1,0.27068186284142265,9.825112988799372E-5
class java.util.LinkedHashSet,515,8,0.05059933189231676,7.860090391039497E-4
class org.elasticsearch.index.VersionType$4,39,1,0.0038317940656317547,9.825112988799372E-5
class org.elasticsearch.common.settings.Setting$3,4,4,3.9300451955197487E-4,3.9300451955197487E-4
class java.lang.Byte,871,4,0.08557673413244252,3.9300451955197487E-4
class org.elasticsearch.cluster.metadata.IndexMetaData$1,2,1,1.9650225977598743E-4,9.825112988799372E-5
class org.elasticsearch.cluster.metadata.IndexMetaData$Builder,25210,11817,2.4769109844763215,1.1610336018864218
class org.elasticsearch.common.settings.Settings,2029,5,0.19935154254273924,4.912556494399686E-4
class org.elasticsearch.common.settings.Setting,58,13,0.005698565533503635,0.0012772646885439182
class org.elasticsearch.common.collect.Tuple,1782,1385,0.1750835134604048,0.13607781489487128
class java.lang.Class,176,20,0.017292198860286892,0.0019650225977598744
class org.elasticsearch.index.VersionType$1,827,1,0.0812536844173708,9.825112988799372E-5
class org.elasticsearch.action.support.IndicesOptions,1437,1,0.14118687364904697,9.825112988799372E-5
class java.lang.String,2234,233,0.21949302416977795,0.022892513263902535
class org.elasticsearch.action.WriteConsistencyLevel,1258,1,0.12359992139909609,9.825112988799372E-5
class [Lorg.elasticsearch.index.shard.SearchOperationListener;,2,1,1.9650225977598743E-4,9.825112988799372E-5
class org.elasticsearch.index.shard.IndexShard$ShardFailure,830,686,0.08154843780703479,0.06740027510316368
class [Ljava.lang.String;,493,7,0.0484378070347809,6.87757909215956E-4
class org.elasticsearch.tasks.TaskId,3214,14,0.3157791314600118,0.001375515818431912
class [Lorg.elasticsearch.index.shard.IndexShardState;,48,1,0.004716054234623698,9.825112988799372E-5
class org.elasticsearch.common.xcontent.ToXContent$1,413,1,0.0405777166437414,9.825112988799372E-5
class org.elasticsearch.index.VersionType$3,265,1,0.026036549420318335,9.825112988799372E-5
class org.elasticsearch.cluster.metadata.IndexMetaData$IndexMetaDataDiff,2587,2587,0.25417567302023975,0.25417567302023975
class org.elasticsearch.action.bulk.TransportShardBulkAction$UpdateResult,2392,1995,0.23501670269208097,0.19601100412654746
class java.util.Collections$UnmodifiableSet,10,1,9.825112988799372E-4,9.825112988799372E-5
class java.util.Collections$EmptySet,334,1,0.0328158773825899,9.825112988799372E-5
class org.elasticsearch.cluster.metadata.IndexMetaData,12467,46,1.2248968363136177,0.0045195519748477105
class java.util.ArrayList,30,1,0.0029475338966398115,9.825112988799372E-5
class org.elasticsearch.common.collect.ImmutableOpenMap,3743,3,0.36775397917076047,2.947533896639811E-4
class java.lang.Boolean,17491,2,1.718510512870898,1.9650225977598743E-4
class org.elasticsearch.action.bulk.BulkShardRequest,29349,518,2.8835724110827274,0.05089408528198074
class [Lorg.elasticsearch.index.shard.IndexingOperationListener;,2,1,1.9650225977598743E-4,9.825112988799372E-5
class org.elasticsearch.index.VersionType$2,529,1,0.05197484771074867,9.825112988799372E-5
class org.elasticsearch.common.collect.ImmutableOpenIntMap,2816,1,0.27667518176459027,9.825112988799372E-5
class java.util.RegularEnumSet,11,1,0.0010807624287679308,9.825112988799372E-5
