Methods called,Number of times,Number of times (Normalized)
"public static void org.elasticsearch.ElasticsearchException.renderThrowable(org.elasticsearch.common.xcontent.XContentBuilder,org.elasticsearch.common.xcontent.ToXContent$Params,java.lang.Throwable) throws java.io.IOException",545,0.058426243567753
"public java.lang.Throwable org.elasticsearch.ElasticsearchException.unwrapCause()",5797,0.6214622641509434
"public void org.elasticsearch.ElasticsearchException.setShard(java.lang.String,int)",9123,0.9780231560891939
"public void org.elasticsearch.ElasticsearchException.setShard(org.elasticsearch.index.shard.ShardId)",2842,0.30467409948542024
"public void org.elasticsearch.ElasticsearchException.setResources(java.lang.String,java.lang.String[])",15470,1.6584476843910807
"public java.lang.String org.elasticsearch.ElasticsearchException.getDetailedMessage()",6741,0.7226629502572899
"java.lang.String[4]",1604,0.17195540308747856
"java.lang.String[5]",8273,0.8868996569468267
"java.lang.String[6]",1,1.072041166380789E-4
"java.lang.String[0]",15,0.0016080617495711836
"java.lang.String[1]",3,3.2161234991423673E-4
"java.lang.String[2]",870,0.09326758147512865
"public void org.elasticsearch.ElasticsearchException.setIndex(java.lang.String)",14860,1.5930531732418525
"public void org.elasticsearch.ElasticsearchException.setIndex(org.elasticsearch.index.Index)",3061,0.32815180102915953
"java.lang.String[3]",663,0.07107632933104631
"public java.lang.String org.elasticsearch.ElasticsearchException.toString()",3828,0.41037735849056606
"public static java.lang.String org.elasticsearch.ElasticsearchException.getExceptionName(java.lang.Throwable)",3668,0.3932246998284734
"public org.elasticsearch.index.Index org.elasticsearch.ElasticsearchException.getIndex()",4267,0.45743996569468265
"java.lang.String[18]",2,2.144082332761578E-4
"public static boolean java.util.Collections.addAll(java.util.Collection,java.lang.Object[])",2697,0.2891295025728988
"java.lang.String[13]",53,0.005681818181818182
"public static final boolean org.elasticsearch.ElasticsearchException.REST_EXCEPTION_SKIP_CAUSE_DEFAULT",1,1.072041166380789E-4
"java.lang.String[8]",15,0.0016080617495711836
"java.lang.String[9]",318,0.03409090909090909
"public java.util.Set org.elasticsearch.ElasticsearchException.getHeaderKeys()",7721,0.8277229845626072
"java.lang.String[38]",3,3.2161234991423673E-4
"public final synchronized void java.lang.Throwable.addSuppressed(java.lang.Throwable)",7256,0.7778730703259005
"public final synchronized java.lang.Throwable[] java.lang.Throwable.getSuppressed()",3945,0.4229202401372213
"public java.lang.Throwable org.elasticsearch.ElasticsearchException.getRootCause()",5686,0.6095626072041166
"public org.elasticsearch.index.shard.ShardId org.elasticsearch.ElasticsearchException.getShardId()",2088,0.22384219554030874
"public static final boolean org.elasticsearch.ElasticsearchException.REST_EXCEPTION_SKIP_STACK_TRACE_DEFAULT",1,1.072041166380789E-4
"public static java.lang.Throwable org.elasticsearch.ElasticsearchException.readStackTrace(java.lang.Throwable,org.elasticsearch.common.io.stream.StreamInput) throws java.io.IOException",621,0.066573756432247
"public void org.elasticsearch.ElasticsearchException.addHeader(java.lang.String,java.util.List)",6024,0.6457975986277873
"public void org.elasticsearch.ElasticsearchException.addHeader(java.lang.String,java.lang.String[])",2692,0.2885934819897084
"public static final java.lang.String org.elasticsearch.ElasticsearchException.REST_EXCEPTION_SKIP_STACK_TRACE",1,1.072041166380789E-4
"java.util.ArrayList()",2697,0.2891295025728988
"public static final java.lang.String org.elasticsearch.ElasticsearchException.REST_EXCEPTION_SKIP_CAUSE",1,1.072041166380789E-4
"public void org.elasticsearch.ElasticsearchException.writeTo(org.elasticsearch.common.io.stream.StreamOutput) throws java.io.IOException",601,0.06442967409948543
"public static java.lang.Throwable org.elasticsearch.ElasticsearchException.writeStackTraces(java.lang.Throwable,org.elasticsearch.common.io.stream.StreamOutput) throws java.io.IOException",577,0.06185677530017153
"public org.elasticsearch.common.xcontent.XContentBuilder org.elasticsearch.ElasticsearchException.toXContent(org.elasticsearch.common.xcontent.XContentBuilder,org.elasticsearch.common.xcontent.ToXContent$Params) throws java.io.IOException",535,0.05735420240137221
"public static void org.elasticsearch.ElasticsearchException.toXContent(org.elasticsearch.common.xcontent.XContentBuilder,org.elasticsearch.common.xcontent.ToXContent$Params,java.lang.Throwable) throws java.io.IOException",573,0.06142795883361921
"public java.util.List org.elasticsearch.ElasticsearchException.getResourceId()",3805,0.40791166380789023
"public final native java.lang.Class java.lang.Object.getClass()",615,0.06593053173241853
"org.elasticsearch.action.support.replication.ReplicationOperation$RetryOnPrimaryException(org.elasticsearch.common.io.stream.StreamInput)",1,1.072041166380789E-4
"org.elasticsearch.action.support.replication.ReplicationOperation$RetryOnPrimaryException(org.elasticsearch.index.shard.ShardId, java.lang.String)",27944,2.9957118353344767
"public org.elasticsearch.rest.RestStatus org.elasticsearch.ElasticsearchException.status()",4329,0.4640866209262436
"org.elasticsearch.action.support.replication.ReplicationOperation$RetryOnPrimaryException(org.elasticsearch.index.shard.ShardId, java.lang.String, java.lang.Throwable)",2329,0.24967838765008576
"public static boolean org.elasticsearch.action.support.replication.ReplicationOperation.isConflictException(java.lang.Throwable)",5854,0.6275728987993139
"public static boolean org.elasticsearch.action.support.replication.ReplicationOperation.ignoreReplicaException(java.lang.Throwable)",3269,0.35045025728987994
"public static org.elasticsearch.ElasticsearchException[] org.elasticsearch.ElasticsearchException.guessRootCauses(java.lang.Throwable)",2306,0.24721269296740994
"public org.elasticsearch.ElasticsearchException[] org.elasticsearch.ElasticsearchException.guessRootCauses()",3722,0.39901372212692965
"public java.util.List org.elasticsearch.ElasticsearchException.getHeader(java.lang.String)",3227,0.3459476843910806
"public static org.elasticsearch.ElasticsearchException org.elasticsearch.ElasticsearchException.readException(org.elasticsearch.common.io.stream.StreamInput,int) throws java.io.IOException",19,0.002036878216123499
"public java.lang.String org.elasticsearch.ElasticsearchException.getResourceType()",3184,0.34133790737564323
"public static final org.elasticsearch.common.xcontent.ToXContent$Params org.elasticsearch.common.xcontent.ToXContent.EMPTY_PARAMS",1553,0.16648799313893653
