Methods called,Number of times,Number of times (Normalized)
"public static void org.elasticsearch.ElasticsearchException.renderThrowable(org.elasticsearch.common.xcontent.XContentBuilder,org.elasticsearch.common.xcontent.ToXContent$Params,java.lang.Throwable) throws java.io.IOException",489,0.05491913746630728
"public java.lang.Throwable org.elasticsearch.ElasticsearchException.unwrapCause()",5321,0.597596585804133
"public void org.elasticsearch.ElasticsearchException.setShard(org.elasticsearch.index.shard.ShardId)",3514,0.3946540880503145
"public void org.elasticsearch.ElasticsearchException.setShard(java.lang.String,int)",1975,0.2218104222821204
"public void org.elasticsearch.ElasticsearchException.setResources(java.lang.String,java.lang.String[])",4756,0.5341419586702606
"public java.lang.String org.elasticsearch.ElasticsearchException.getDetailedMessage()",21850,2.4539532794249777
"java.lang.String[5]",50,0.005615453728661276
"java.lang.String[6]",1985,0.22293351302785264
"java.lang.String[0]",5005,0.5621069182389937
"java.lang.String[1]",15,0.0016846361185983828
"java.lang.String[2]",2785,0.31278077268643306
"public void org.elasticsearch.ElasticsearchException.setIndex(java.lang.String)",3459,0.3884770889487871
"public void org.elasticsearch.ElasticsearchException.setIndex(org.elasticsearch.index.Index)",2072,0.23270440251572327
"java.lang.String[3]",8,8.984725965858042E-4
"public java.lang.String org.elasticsearch.ElasticsearchException.toString()",11820,1.3274932614555257
"public static java.lang.String org.elasticsearch.ElasticsearchException.getExceptionName(java.lang.Throwable)",1415,0.15891734052111411
"java.lang.String[21]",41,0.004604672057502246
"java.lang.String[22]",19,0.0021338724168912847
"public org.elasticsearch.index.Index org.elasticsearch.ElasticsearchException.getIndex()",5201,0.5841194968553459
"public static boolean java.util.Collections.addAll(java.util.Collection,java.lang.Object[])",1135,0.12747079964061095
"java.lang.String[13]",25,0.002807726864330638
"public static final boolean org.elasticsearch.ElasticsearchException.REST_EXCEPTION_SKIP_CAUSE_DEFAULT",1,1.1230907457322552E-4
"java.lang.String[8]",101,0.011343216531895777
"public java.util.Set org.elasticsearch.ElasticsearchException.getHeaderKeys()",6738,0.7567385444743935
"public final synchronized void java.lang.Throwable.addSuppressed(java.lang.Throwable)",4700,0.52785265049416
"public final synchronized java.lang.Throwable[] java.lang.Throwable.getSuppressed()",3653,0.4102650494159928
"public java.lang.Throwable org.elasticsearch.ElasticsearchException.getRootCause()",3478,0.39061096136567836
"public org.elasticsearch.index.shard.ShardId org.elasticsearch.ElasticsearchException.getShardId()",8238,0.9252021563342318
"public void org.elasticsearch.ElasticsearchException.addHeader(java.lang.String,java.lang.String[])",12836,1.4415992812219227
"public static java.lang.Throwable org.elasticsearch.ElasticsearchException.readStackTrace(java.lang.Throwable,org.elasticsearch.common.io.stream.StreamInput) throws java.io.IOException",533,0.0598607367475292
"public static final boolean org.elasticsearch.ElasticsearchException.REST_EXCEPTION_SKIP_STACK_TRACE_DEFAULT",1,1.1230907457322552E-4
"public void org.elasticsearch.ElasticsearchException.addHeader(java.lang.String,java.util.List)",3097,0.3478212039532794
"public static final java.lang.String org.elasticsearch.ElasticsearchException.REST_EXCEPTION_SKIP_STACK_TRACE",1,1.1230907457322552E-4
"java.util.ArrayList()",1135,0.12747079964061095
