Methods called,Number of times,Number of times (Normalized)
"org.elasticsearch.index.shard.ShardId(java.lang.String, java.lang.String, int)",4269,0.24132278123233467
"java.lang.String[1]",329,0.01859807801017524
"java.lang.String[0]",6,3.391746749576032E-4
"public static final org.elasticsearch.action.ReplicationResponse$ShardInfo$Failure[] org.elasticsearch.action.ReplicationResponse.EMPTY",1,5.652911249293386E-5
"java.lang.String[3]",505,0.0285472018089316
"java.lang.String[2]",469,0.02651215375918598
"public org.joda.time.format.DateTimeFormatter org.joda.time.format.DateTimeFormatter.withLocale(java.util.Locale)",15861,0.8966082532504239
"java.lang.String[5]",523,0.02956472583380441
"java.lang.String[4]",502,0.0283776144714528
"java.lang.String[6]",462,0.026116449971735442
"public org.joda.time.DateTime org.joda.time.format.DateTimeFormatter.parseDateTime(java.lang.String)",353,0.019954776710005652
"org.elasticsearch.common.xcontent.XContentBuilder(org.elasticsearch.common.xcontent.XContent, java.io.OutputStream, [Ljava.lang.String;, boolean)",1118,0.06319954776710006
"org.elasticsearch.common.xcontent.XContentBuilder(org.elasticsearch.common.xcontent.XContent, java.io.OutputStream)",1,5.652911249293386E-5
"org.elasticsearch.common.xcontent.XContentBuilder(org.elasticsearch.common.xcontent.XContent, java.io.OutputStream, [Ljava.lang.String;)",1053,0.059525155455059355
"public org.joda.time.LocalDateTime org.joda.time.format.DateTimeFormatter.parseLocalDateTime(java.lang.String)",358,0.020237422272470322
"org.elasticsearch.action.DocWriteResponse$Fields()",944,0.053363482193329564
"public java.lang.Boolean org.elasticsearch.common.xcontent.ToXContent$MapParams.paramAsBoolean(java.lang.String,java.lang.Boolean)",196,0.011079706048615037
"public boolean org.elasticsearch.common.xcontent.ToXContent$MapParams.paramAsBoolean(java.lang.String,boolean)",180,0.010175240248728096
"public boolean org.elasticsearch.index.shard.ShardId.equals(java.lang.Object)",375,0.0211984171848502
"public java.lang.String org.elasticsearch.index.shard.ShardId.toString()",806,0.04556246466930469
"public java.lang.String org.elasticsearch.action.DocWriteResponse$Fields.get_SHARD_ID()",1653,0.09344262295081968
"public org.joda.time.format.DateTimeFormatter org.joda.time.format.DateTimeFormatter.withChronology(org.joda.time.Chronology)",4114,0.2325607687959299
"public static org.elasticsearch.index.shard.ShardId org.elasticsearch.index.shard.ShardId.readShardId(org.elasticsearch.common.io.stream.StreamInput) throws java.io.IOException",1,5.652911249293386E-5
"public org.joda.time.format.DateTimeFormatter org.joda.time.format.DateTimeFormatter.withOffsetParsed()",4515,0.2552289429055964
"public org.joda.time.MutableDateTime org.joda.time.format.DateTimeFormatter.parseMutableDateTime(java.lang.String)",336,0.018993781797625776
"public java.lang.String org.elasticsearch.common.xcontent.ToXContent$MapParams.param(java.lang.String)",130,0.007348784624081402
"public java.lang.String org.elasticsearch.common.xcontent.ToXContent$MapParams.param(java.lang.String,java.lang.String)",380,0.02148106274731487
