Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class [Lorg.elasticsearch.index.shard.SearchOperationListener;,2,1,1.775883502042266E-4,8.87941751021133E-5
class [Lorg.elasticsearch.index.shard.IndexingOperationListener;,2,1,1.775883502042266E-4,8.87941751021133E-5
class org.elasticsearch.action.delete.DeleteRequest,65317,4086,5.799769135144735,0.36281299946723494
class java.lang.String,10406,225,0.923992186112591,0.019978689397975494
class org.elasticsearch.action.support.replication.ReplicationTask,4101,4101,0.36414491209376665,0.36414491209376665
class java.util.RegularEnumSet,1,1,8.87941751021133E-5,8.87941751021133E-5
class [Ljava.lang.String;,844,49,0.07494228378618363,0.004350914580003552
class org.elasticsearch.common.unit.TimeValue,4891,1,0.43429231042443617,8.87941751021133E-5
class java.lang.Long,7094,10,0.6299058781743918,8.87941751021133E-4
class org.elasticsearch.action.ActionRequestValidationException,3516,2556,0.3122003196590304,0.2269579115610016
class java.lang.Boolean,3035,2,0.26949032143491386,1.775883502042266E-4
class org.elasticsearch.index.shard.IndexShard$ShardFailure,13355,13051,1.1858462084887231,1.1588527792576806
class org.elasticsearch.tasks.TaskId,5909,23,0.5246847806783875,0.002042266027348606
class java.util.ArrayList,4,1,3.551767004084532E-4,8.87941751021133E-5
class java.lang.Class,306,10,0.02717101758124667,8.87941751021133E-4
class org.elasticsearch.action.support.IndicesOptions,1230,1,0.10921683537559936,8.87941751021133E-5
class org.elasticsearch.action.WriteConsistencyLevel,2693,1,0.23912271354999112,8.87941751021133E-5
class org.elasticsearch.index.VersionType$1,5907,1,0.5245071923281833,8.87941751021133E-5
