Methods called,Number of times,Number of times (Normalized)
"public void org.elasticsearch.transport.TransportMessage.remoteAddress(org.elasticsearch.common.transport.TransportAddress)",6956,0.678038795204211
"public org.elasticsearch.common.transport.TransportAddress org.elasticsearch.transport.TransportMessage.remoteAddress()",1975,0.1925138902427137
"public void org.elasticsearch.action.delete.DeleteRequest.writeTo(org.elasticsearch.common.io.stream.StreamOutput) throws java.io.IOException",383,0.037333073398966764
"public long org.elasticsearch.action.support.replication.ReplicationRequest.seqNo()",1184,0.11541085875816356
"public void org.elasticsearch.action.support.replication.ReplicationRequest.seqNo(long)",1219,0.11882249731942685
"org.elasticsearch.action.delete.DeleteRequest(java.lang.String, java.lang.String, java.lang.String)",23176,2.25908957988108
"org.elasticsearch.action.delete.DeleteRequest()",4577,0.4461448484257725
"org.elasticsearch.action.delete.DeleteRequest(java.lang.String)",871,0.08490106248172337
"public void org.elasticsearch.action.delete.DeleteRequest.readFrom(org.elasticsearch.common.io.stream.StreamInput) throws java.io.IOException",369,0.03596841797446145
"public org.elasticsearch.index.VersionType org.elasticsearch.action.delete.DeleteRequest.versionType()",4469,0.43561750657958864
"public org.elasticsearch.action.delete.DeleteRequest org.elasticsearch.action.delete.DeleteRequest.versionType(org.elasticsearch.index.VersionType)",2991,0.29154888390681355
"public org.elasticsearch.action.delete.DeleteRequest org.elasticsearch.action.delete.DeleteRequest.refresh(boolean)",3486,0.3397992007018228
"public boolean org.elasticsearch.action.delete.DeleteRequest.refresh()",1389,0.13539331318841993
"public org.elasticsearch.action.ActionRequestValidationException org.elasticsearch.action.delete.DeleteRequest.validate()",4789,0.4668096305682815
"public java.lang.String org.elasticsearch.action.support.replication.ReplicationRequest.index()",2792,0.2721512818013452
"public final org.elasticsearch.action.support.replication.ReplicationRequest org.elasticsearch.action.support.replication.ReplicationRequest.index(java.lang.String)",3539,0.34496539623745004
"public static boolean java.util.Collections.addAll(java.util.Collection,java.lang.Object[])",4,3.8990154985866067E-4
"public final java.lang.Throwable org.elasticsearch.index.shard.IndexShard$ShardFailure.cause",1088,0.10605322156155571
"public org.elasticsearch.action.delete.DeleteRequest org.elasticsearch.action.delete.DeleteRequest.routing(java.lang.String)",2971,0.28959937615752024
"public java.lang.String org.elasticsearch.action.delete.DeleteRequest.routing()",1618,0.15771517691782824
"public final java.lang.String org.elasticsearch.index.shard.IndexShard$ShardFailure.indexUUID",834,0.08129447314553076
"public final org.elasticsearch.cluster.routing.ShardRouting org.elasticsearch.index.shard.IndexShard$ShardFailure.routing",722,0.07037722974948825
"public static org.elasticsearch.index.engine.Engine$Delete org.elasticsearch.action.delete.TransportDeleteAction.executeDeleteRequestOnReplica(org.elasticsearch.action.delete.DeleteRequest,org.elasticsearch.index.shard.IndexShard)",413,0.040257335022906716
"public org.elasticsearch.action.delete.DeleteRequest org.elasticsearch.action.delete.DeleteRequest.parent(java.lang.String)",3187,0.3106540598498879
"public java.lang.String org.elasticsearch.action.delete.DeleteRequest.parent()",1697,0.1654157325275368
