Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class java.lang.String,10647,192,1.03782045033629,0.018715274393215714
class java.lang.Long,5060,10,0.49322546057120575,9.747538746466517E-4
class [Ljava.lang.String;,1131,33,0.11024466322253632,0.003216687786333951
class org.elasticsearch.index.shard.IndexShard$ShardFailure,2504,2417,0.2440783702115216,0.23559801150209572
class org.elasticsearch.tasks.TaskId,8893,21,0.8668486207232674,0.0020469831367579687
class org.elasticsearch.action.ActionRequestValidationException,4258,3218,0.41505019982454433,0.31367579686129254
class java.util.ArrayList,4,1,3.8990154985866067E-4,9.747538746466517E-5
class org.elasticsearch.action.support.replication.ReplicationTask,4778,4778,0.4657374013061702,0.4657374013061702
class org.elasticsearch.action.delete.DeleteRequest,78796,3419,7.680670630665757,0.33326834974169023
class org.elasticsearch.common.unit.TimeValue,4379,1,0.42684472170776877,9.747538746466517E-5
class org.elasticsearch.index.VersionType$1,4466,1,0.43532508041719464,9.747538746466517E-5
class [Lorg.elasticsearch.index.shard.IndexingOperationListener;,2,1,1.9495077492933034E-4,9.747538746466517E-5
class [Lorg.elasticsearch.index.shard.SearchOperationListener;,2,1,1.9495077492933034E-4,9.747538746466517E-5
class org.elasticsearch.action.support.IndicesOptions,1928,1,0.18793254703187445,9.747538746466517E-5
class java.util.RegularEnumSet,1,1,9.747538746466517E-5,9.747538746466517E-5
class java.lang.Boolean,7289,2,0.7104980992299444,1.9495077492933034E-4
class java.lang.Class,411,10,0.04006238424797739,9.747538746466517E-4
class org.elasticsearch.action.WriteConsistencyLevel,4994,1,0.4867920849985379,9.747538746466517E-5
