Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class org.elasticsearch.index.MergeSchedulerConfig,78,1,0.024375,3.125E-4
class org.elasticsearch.cluster.metadata.IndexMetaData$Builder,4093,1944,1.2790625,0.6075
class org.elasticsearch.cluster.metadata.IndexMetaData$1,1,1,3.125E-4,3.125E-4
class org.elasticsearch.Version,388,1,0.12125,3.125E-4
class java.lang.Byte,78,2,0.024375,6.25E-4
class [Ljava.lang.String;,6100,8,1.90625,0.0025
class org.elasticsearch.cluster.metadata.IndexMetaData$State,576,2,0.18,6.25E-4
class java.lang.Long,404,7,0.12625,0.0021875
class org.elasticsearch.index.translog.Translog$Durability,361,1,0.1128125,3.125E-4
class org.elasticsearch.common.settings.IndexScopedSettings,2647,114,0.8271875,0.035625
class java.lang.Boolean,7601,2,2.3753125,6.25E-4
class org.elasticsearch.cluster.metadata.IndexMetaData,2108,1,0.65875,3.125E-4
class org.elasticsearch.common.unit.ByteSizeValue,59,2,0.0184375,6.25E-4
class java.lang.Integer,941,10,0.2940625,0.003125
class java.util.Collections$UnmodifiableSet,63,1,0.0196875,3.125E-4
class org.elasticsearch.common.settings.Setting$Property,2072,1,0.6475,3.125E-4
class java.lang.Class,177,13,0.0553125,0.0040625
class org.elasticsearch.common.xcontent.ToXContent$1,316,1,0.09875,3.125E-4
class org.elasticsearch.common.settings.Settings,7056,45,2.205,0.0140625
class org.elasticsearch.cluster.metadata.IndexMetaData$IndexMetaDataDiff,49,49,0.0153125,0.0153125
class org.elasticsearch.common.settings.Setting,1349,29,0.4215625,0.0090625
class java.lang.String,2907,39,0.9084375,0.0121875
class java.util.Collections$UnmodifiableMap,1903,11,0.5946875,0.0034375
class org.elasticsearch.common.collect.ImmutableOpenMap,435,1,0.1359375,3.125E-4
class org.elasticsearch.index.IndexSettings$$Lambda$252/13928051,143,1,0.0446875,3.125E-4
class org.elasticsearch.common.settings.IndexScopedSettings$$Lambda$82/2038148563,488,1,0.1525,3.125E-4
class org.elasticsearch.common.ParseFieldMatcher,145,1,0.0453125,3.125E-4
class org.elasticsearch.index.IndexSettings,1439,1439,0.4496875,0.4496875
class org.elasticsearch.common.collect.ImmutableOpenIntMap,137,1,0.0428125,3.125E-4
class java.util.HashSet,65,3,0.0203125,9.375E-4
class org.elasticsearch.common.logging.ESLogger,165,1,0.0515625,3.125E-4
class org.elasticsearch.index.MergePolicyConfig,72,71,0.0225,0.0221875
class java.util.HashMap,35,3,0.0109375,9.375E-4
class java.util.Collections$EmptySet,5,1,0.0015625,3.125E-4
class org.apache.lucene.index.TieredMergePolicy,33,1,0.0103125,3.125E-4
class org.elasticsearch.cluster.block.ClusterBlock,4,4,0.00125,0.00125
class java.util.ArrayList,1177,3,0.3678125,9.375E-4
class org.elasticsearch.common.settings.Settings$Builder,13404,402,4.18875,0.125625
class org.elasticsearch.index.Index,3,1,9.375E-4,3.125E-4
class java.util.LinkedHashMap,130,76,0.040625,0.02375
class org.elasticsearch.common.settings.Setting$3,4,4,0.00125,0.00125
class org.elasticsearch.common.unit.TimeValue,570,245,0.178125,0.0765625
