Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class org.elasticsearch.cluster.metadata.IndexMetaData$State,409,2,0.09733460257020467,4.7596382674916705E-4
class java.lang.Long,5515,7,1.3124702522608283,0.0016658733936220848
class java.util.Collections$UnmodifiableMap,4483,4,1.0668729176582579,9.519276534983341E-4
class java.lang.Integer,8003,9,1.904569252736792,0.002141837220371252
class org.apache.lucene.index.TieredMergePolicy,245,1,0.05830556877677297,2.3798191337458352E-4
class org.elasticsearch.common.xcontent.ToXContent$1,42,1,0.009995240361732508,2.3798191337458352E-4
class org.elasticsearch.common.collect.ImmutableOpenMap,5644,1,1.3431699190861495,2.3798191337458352E-4
class org.elasticsearch.common.settings.Settings,10569,30,2.5152308424559733,0.007139457401237506
class org.elasticsearch.cluster.metadata.IndexMetaData$IndexMetaDataDiff,5333,5333,1.269157544026654,1.269157544026654
class java.util.Collections$UnmodifiableSet,49,1,0.011661113755354594,2.3798191337458352E-4
class java.lang.Byte,57,2,0.013564969062351261,4.7596382674916705E-4
class org.elasticsearch.cluster.metadata.IndexMetaData$1,10,1,0.002379819133745835,2.3798191337458352E-4
class org.elasticsearch.index.MergeSchedulerConfig,724,1,0.17229890528319847,2.3798191337458352E-4
class org.elasticsearch.common.settings.Setting$Property,124,1,0.029509757258448358,2.3798191337458352E-4
class org.elasticsearch.cluster.block.ClusterBlock,4,4,9.519276534983341E-4,9.519276534983341E-4
class java.lang.Class,86,14,0.020466444550214184,0.0033317467872441696
class org.elasticsearch.common.ParseFieldMatcher,251,1,0.05973346025702047,2.3798191337458352E-4
class org.elasticsearch.common.settings.IndexScopedSettings$$Lambda$81/366590980,4397,1,1.0464064731080438,2.3798191337458352E-4
class java.lang.String,2574,36,0.612565445026178,0.008567348881485007
class java.util.LinkedHashMap,126,42,0.029985721085197526,0.009995240361732508
class org.elasticsearch.index.IndexSettings$$Lambda$404/575149098,478,1,0.11375535459305093,2.3798191337458352E-4
class org.elasticsearch.common.unit.RatioValue,2,2,4.7596382674916705E-4,4.7596382674916705E-4
class org.elasticsearch.common.logging.ESLogger,2181,1,0.5190385530699667,2.3798191337458352E-4
class java.util.HashSet,83,3,0.019752498810090433,7.139457401237506E-4
class org.elasticsearch.common.unit.ByteSizeValue,711,1,0.16920514040932888,2.3798191337458352E-4
class org.elasticsearch.common.settings.Settings$Builder,4616,280,1.0985245121370777,0.06663493574488338
class org.elasticsearch.common.settings.Setting$3,4,4,9.519276534983341E-4,9.519276534983341E-4
class [Ljava.lang.String;,213,9,0.05069014754878629,0.002141837220371252
class org.elasticsearch.index.MergePolicyConfig,161,159,0.038315088053307945,0.03783912422655878
class org.elasticsearch.common.collect.ImmutableOpenIntMap,114,1,0.027129938124702522,2.3798191337458352E-4
class java.util.LinkedHashSet,44,3,0.010471204188481676,7.139457401237506E-4
class org.elasticsearch.cluster.metadata.IndexMetaData$Builder,2749,921,0.6542122798667301,0.21918134221799143
class org.elasticsearch.common.settings.Setting,2538,29,0.603998096144693,0.006901475487862923
class org.elasticsearch.common.unit.TimeValue,2966,2069,0.7058543550690147,0.4923845787720133
class java.util.HashMap,55,3,0.013089005235602094,7.139457401237506E-4
class org.elasticsearch.common.settings.IndexScopedSettings,490,317,0.11661113755354593,0.07544026653974298
class java.util.ArrayList,38,2,0.009043312708234174,4.7596382674916705E-4
class java.lang.Boolean,6280,2,1.4945264159923846,4.7596382674916705E-4
class org.elasticsearch.cluster.metadata.IndexMetaData,11655,2,2.773679200380771,4.7596382674916705E-4
class org.elasticsearch.index.IndexSettings,4283,4283,1.0192765349833413,1.0192765349833413
class java.util.Collections$EmptySet,5491,1,1.3067586863398382,2.3798191337458352E-4
class org.elasticsearch.Version,5530,1,1.316039980961447,2.3798191337458352E-4
class org.elasticsearch.index.translog.Translog$Durability,649,1,0.1544502617801047,2.3798191337458352E-4
class org.elasticsearch.index.Index,1,1,2.3798191337458352E-4,2.3798191337458352E-4
