Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class org.elasticsearch.index.shard.IndexShard$ShardFailure,2739,2671,0.33690036900369,0.3285362853628536
class java.lang.Byte,855,4,0.10516605166051661,4.920049200492004E-4
class org.elasticsearch.cluster.metadata.IndexMetaData$Builder,23961,13702,2.9472324723247234,1.6853628536285363
class org.elasticsearch.index.VersionType$2,624,1,0.07675276752767528,1.230012300123001E-4
class org.elasticsearch.index.VersionType$1,17,1,0.002091020910209102,1.230012300123001E-4
class org.elasticsearch.cluster.block.ClusterBlock,73,4,0.008979089790897909,4.920049200492004E-4
class java.util.Collections$EmptySet,116,1,0.014268142681426814,1.230012300123001E-4
class org.elasticsearch.common.settings.Setting,225,13,0.027675276752767528,0.0015990159901599016
class java.lang.Long,3381,12,0.4158671586715867,0.0014760147601476014
class java.util.RegularEnumSet,162,1,0.01992619926199262,1.230012300123001E-4
class org.elasticsearch.cluster.metadata.IndexMetaData$1,58,1,0.007134071340713407,1.230012300123001E-4
class java.lang.Boolean,7908,2,0.9726937269372694,2.460024600246002E-4
class org.elasticsearch.common.unit.TimeValue,1939,1,0.23849938499384993,1.230012300123001E-4
class [Lorg.elasticsearch.index.shard.IndexShardState;,3,1,3.6900369003690036E-4,1.230012300123001E-4
class java.util.LinkedHashSet,287,4,0.035301353013530136,4.920049200492004E-4
class java.lang.Integer,4850,11,0.5965559655596556,0.0013530135301353015
class org.elasticsearch.cluster.metadata.IndexMetaData$IndexMetaDataDiff,700,700,0.08610086100861009,0.08610086100861009
class [Lorg.elasticsearch.index.shard.SearchOperationListener;,2,1,2.460024600246002E-4,1.230012300123001E-4
class org.elasticsearch.common.settings.Settings,2268,3,0.2789667896678967,3.6900369003690036E-4
class java.lang.Class,414,18,0.05092250922509225,0.002214022140221402
class org.elasticsearch.index.VersionType$3,33,1,0.004059040590405904,1.230012300123001E-4
class org.elasticsearch.action.ActionRequestValidationException,1298,1109,0.15965559655596556,0.13640836408364085
class java.util.ArrayList,7,1,8.610086100861009E-4,1.230012300123001E-4
class [Lorg.elasticsearch.index.shard.IndexingOperationListener;,2,1,2.460024600246002E-4,1.230012300123001E-4
class java.lang.String,2370,110,0.2915129151291513,0.013530135301353014
class org.elasticsearch.common.collect.ImmutableOpenIntMap,813,1,0.1,1.230012300123001E-4
class org.elasticsearch.cluster.metadata.IndexMetaData$State,1643,2,0.2020910209102091,2.460024600246002E-4
class org.elasticsearch.cluster.metadata.IndexMetaData,6909,18,0.8498154981549816,0.002214022140221402
class org.elasticsearch.index.Index,4,1,4.920049200492004E-4,1.230012300123001E-4
class org.elasticsearch.tasks.TaskId,952,7,0.11709717097170971,8.610086100861009E-4
class org.elasticsearch.common.settings.Setting$3,5,4,6.150061500615006E-4,4.920049200492004E-4
class org.elasticsearch.action.bulk.BulkItemRequest,9635,9381,1.1851168511685117,1.1538745387453875
class org.elasticsearch.common.xcontent.ToXContent$1,287,1,0.035301353013530136,1.230012300123001E-4
class org.elasticsearch.common.collect.ImmutableOpenMap,2166,2,0.26642066420664207,2.460024600246002E-4
class org.elasticsearch.Version,1381,1,0.16986469864698647,1.230012300123001E-4
class org.elasticsearch.action.WriteConsistencyLevel,1582,1,0.1945879458794588,1.230012300123001E-4
class [Ljava.lang.String;,287,4,0.035301353013530136,4.920049200492004E-4
class org.elasticsearch.common.collect.Tuple,18780,17061,2.309963099630996,2.0985239852398525
class org.elasticsearch.index.VersionType$4,709,1,0.08720787207872079,1.230012300123001E-4
class org.elasticsearch.action.support.WriteRequest$RefreshPolicy,1154,2,0.14194341943419433,2.460024600246002E-4
class org.elasticsearch.action.bulk.BulkShardRequest,25969,203,3.194218942189422,0.024969249692496923
class org.elasticsearch.action.support.IndicesOptions,407,1,0.05006150061500615,1.230012300123001E-4
