Methods called,Number of times,Number of times (Normalized)
"java.lang.String[1]",3208,0.35927875461977826
"java.lang.String[3]",1872,0.20965393661104267
"java.lang.String[2]",278,0.0311345055437339
"public static void org.elasticsearch.ElasticsearchException.renderThrowable(org.elasticsearch.common.xcontent.XContentBuilder,org.elasticsearch.common.xcontent.ToXContent$Params,java.lang.Throwable) throws java.io.IOException",529,0.05924515623250084
"public java.lang.Throwable org.elasticsearch.ElasticsearchException.unwrapCause()",2024,0.22667711949826408
"java.lang.String[5]",73,0.0081756075708366
"java.lang.String[4]",1821,0.20394221077388286
"public void org.elasticsearch.ElasticsearchException.setShard(org.elasticsearch.index.shard.ShardId)",18896,2.116250419979841
"public void org.elasticsearch.ElasticsearchException.setShard(java.lang.String,int)",1942,0.21749356030910516
"public void org.elasticsearch.ElasticsearchException.setResources(java.lang.String,java.lang.String[])",4238,0.47463321760555494
"public java.lang.String org.elasticsearch.ElasticsearchException.getDetailedMessage()",29924,3.3513271362974577
"public void org.elasticsearch.ElasticsearchException.setIndex(org.elasticsearch.index.Index)",3282,0.3675663568148729
"public void org.elasticsearch.ElasticsearchException.setIndex(java.lang.String)",2402,0.26901108746780156
"public java.lang.String org.elasticsearch.ElasticsearchException.toString()",2074,0.23227685071116586
"public static java.lang.String org.elasticsearch.ElasticsearchException.getExceptionName(java.lang.Throwable)",1749,0.1958785978273043
"public org.elasticsearch.index.Index org.elasticsearch.ElasticsearchException.getIndex()",2086,0.2336207862022623
"public static boolean java.util.Collections.addAll(java.util.Collection,java.lang.Object[])",3424,0.3834695934595139
"public static final boolean org.elasticsearch.ElasticsearchException.REST_EXCEPTION_SKIP_CAUSE_DEFAULT",1,1.1199462425803562E-4
"public java.util.Set org.elasticsearch.ElasticsearchException.getHeaderKeys()",2686,0.30081756075708366
"public final synchronized void java.lang.Throwable.addSuppressed(java.lang.Throwable)",8340,0.934035166312017
"public final synchronized java.lang.Throwable[] java.lang.Throwable.getSuppressed()",10563,1.1829992160376301
"public java.lang.Throwable org.elasticsearch.ElasticsearchException.getRootCause()",2281,0.25545973793257926
"public org.elasticsearch.index.shard.ShardId org.elasticsearch.ElasticsearchException.getShardId()",3038,0.3402396684959122
"public static final boolean org.elasticsearch.ElasticsearchException.REST_EXCEPTION_SKIP_STACK_TRACE_DEFAULT",1,1.1199462425803562E-4
"public static java.lang.Throwable org.elasticsearch.ElasticsearchException.readStackTrace(java.lang.Throwable,org.elasticsearch.common.io.stream.StreamInput) throws java.io.IOException",571,0.06394893045133833
"public void org.elasticsearch.ElasticsearchException.addHeader(java.lang.String,java.util.List)",5776,0.6468809497144137
"public void org.elasticsearch.ElasticsearchException.addHeader(java.lang.String,java.lang.String[])",5598,0.6269459065964834
"public static final java.lang.String org.elasticsearch.ElasticsearchException.REST_EXCEPTION_SKIP_STACK_TRACE",1,1.1199462425803562E-4
"java.util.ArrayList()",3424,0.3834695934595139
"public void org.elasticsearch.ElasticsearchException.writeTo(org.elasticsearch.common.io.stream.StreamOutput) throws java.io.IOException",554,0.06204502183895173
"public static final java.lang.String org.elasticsearch.ElasticsearchException.REST_EXCEPTION_SKIP_CAUSE",1,1.1199462425803562E-4
"public static java.lang.Throwable org.elasticsearch.ElasticsearchException.writeStackTraces(java.lang.Throwable,org.elasticsearch.common.io.stream.StreamOutput) throws java.io.IOException",536,0.06002911860230709
"public org.elasticsearch.common.xcontent.XContentBuilder org.elasticsearch.ElasticsearchException.toXContent(org.elasticsearch.common.xcontent.XContentBuilder,org.elasticsearch.common.xcontent.ToXContent$Params) throws java.io.IOException",524,0.05868518311121066
