Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class java.lang.String,4746,2,0.740290126345344,3.1196381219778506E-4
class org.elasticsearch.cluster.metadata.IndexMetaData$State,2654,1,0.41397597878646075,1.5598190609889253E-4
class org.elasticsearch.cluster.metadata.MetaDataCreateIndexService,2271,2271,0.35423490875058494,0.35423490875058494
class java.util.HashSet,19757,1,3.0817345187958196,1.5598190609889253E-4
class java.lang.Boolean,11573,2,1.8051785992824831,3.1196381219778506E-4
class [Lorg.elasticsearch.action.admin.indices.alias.Alias;,3447,1,0.5376696303228825,1.5598190609889253E-4
class java.lang.Integer,1,1,1.5598190609889253E-4,1.5598190609889253E-4
class org.elasticsearch.common.settings.Settings,8453,1,1.3185150522539386,1.5598190609889253E-4
class java.util.HashMap,9451,1,1.4741849945406333,1.5598190609889253E-4
class java.util.LinkedHashSet,7701,1,1.2012166588675715,1.5598190609889253E-4
class [Lorg.elasticsearch.cluster.block.ClusterBlock;,3077,1,0.4799563250662923,1.5598190609889253E-4
class java.lang.Class,443,8,0.0690999844018094,0.0012478552487911402
class org.elasticsearch.action.LatchedActionListener,7567,3379,1.1803150834503198,0.5270628607081579
class org.elasticsearch.action.admin.indices.create.CreateIndexClusterStateUpdateRequest,74823,19,11.671034160037436,0.002963656215878958
class [Lorg.elasticsearch.cluster.metadata.IndexTemplateFilter;,1177,1,0.1835907034783965,1.5598190609889253E-4
