Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class java.lang.String,8181,2,1.7093606351859592,4.178854993731718E-4
class [Lorg.elasticsearch.cluster.metadata.IndexTemplateFilter;,1478,1,0.30881738403677395,2.089427496865859E-4
class org.elasticsearch.common.settings.Settings,4277,1,0.8936481404095278,2.089427496865859E-4
class org.elasticsearch.action.LatchedActionListener,3170,1264,0.6623485165064772,0.26410363560384453
class java.lang.Integer,1,1,2.089427496865859E-4,2.089427496865859E-4
class org.elasticsearch.cluster.metadata.IndexMetaData$State,2872,1,0.6000835770998746,2.089427496865859E-4
class java.util.HashSet,8890,1,1.8575010447137483,2.089427496865859E-4
class java.util.HashMap,13534,1,2.8278311742582534,2.089427496865859E-4
class [Lorg.elasticsearch.cluster.block.ClusterBlock;,39,1,0.00814876723777685,2.089427496865859E-4
class org.elasticsearch.action.admin.indices.create.CreateIndexClusterStateUpdateRequest,62041,15,12.963017133305474,0.0031341412452987882
class java.util.LinkedHashSet,16964,1,3.5445048056832427,2.089427496865859E-4
class [Lorg.elasticsearch.action.admin.indices.alias.Alias;,15447,1,3.227538654408692,2.089427496865859E-4
class java.lang.Boolean,18853,2,3.9391976598412035,4.178854993731718E-4
class java.lang.Class,380,8,0.07939824488090264,0.001671541997492687
class org.elasticsearch.cluster.metadata.MetaDataCreateIndexService,1694,1694,0.35394901796907646,0.35394901796907646
