Methods called,Number of times,Number of times (Normalized)
"public org.elasticsearch.common.transport.TransportAddress org.elasticsearch.transport.TransportMessage.remoteAddress()",2663,0.2665132105684548
"public void org.elasticsearch.transport.TransportMessage.remoteAddress(org.elasticsearch.common.transport.TransportAddress)",2072,0.20736589271417133
"public void org.elasticsearch.action.delete.DeleteRequest.writeTo(org.elasticsearch.common.io.stream.StreamOutput) throws java.io.IOException",401,0.040132105684547635
"org.elasticsearch.action.delete.DeleteRequest()",7406,0.7411929543634908
"org.elasticsearch.action.delete.DeleteRequest(java.lang.String)",5395,0.5399319455564452
"org.elasticsearch.action.delete.DeleteRequest(java.lang.String, java.lang.String, java.lang.String)",15317,1.5329263410728582
"public void org.elasticsearch.action.delete.DeleteRequest.readFrom(org.elasticsearch.common.io.stream.StreamInput) throws java.io.IOException",391,0.039131305044035225
"public org.elasticsearch.index.VersionType org.elasticsearch.action.delete.DeleteRequest.versionType()",4260,0.42634107285828665
"public org.elasticsearch.action.delete.DeleteRequest org.elasticsearch.action.delete.DeleteRequest.versionType(org.elasticsearch.index.VersionType)",3230,0.3232586068855084
"public org.elasticsearch.action.support.WriteRequest$RefreshPolicy org.elasticsearch.action.support.replication.ReplicatedWriteRequest.getRefreshPolicy()",3809,0.3812049639711769
"public org.elasticsearch.action.ActionRequestValidationException org.elasticsearch.action.delete.DeleteRequest.validate()",1994,0.19955964771817453
"public java.lang.String org.elasticsearch.action.support.replication.ReplicationRequest.index()",6067,0.6071857485988791
"public final org.elasticsearch.action.support.replication.ReplicationRequest org.elasticsearch.action.support.replication.ReplicationRequest.index(java.lang.String)",4293,0.42964371497197756
"org.elasticsearch.index.shard.SearchOperationListener[0]",2,2.0016012810248197E-4
"public static boolean java.util.Collections.addAll(java.util.Collection,java.lang.Object[])",4,4.0032025620496394E-4
"public final java.lang.Throwable org.elasticsearch.index.shard.IndexShard$ShardFailure.cause",817,0.0817654123298639
"public org.elasticsearch.action.delete.DeleteRequest org.elasticsearch.action.delete.DeleteRequest.routing(java.lang.String)",2152,0.2153722978382706
"public java.lang.String org.elasticsearch.action.delete.DeleteRequest.routing()",1319,0.13200560448358686
"public final java.lang.String org.elasticsearch.index.shard.IndexShard$ShardFailure.indexUUID",728,0.07285828662930344
"public final org.elasticsearch.cluster.routing.ShardRouting org.elasticsearch.index.shard.IndexShard$ShardFailure.routing",745,0.07455964771817454
"public static org.elasticsearch.index.engine.Engine$Delete org.elasticsearch.action.delete.TransportDeleteAction.executeDeleteRequestOnReplica(org.elasticsearch.action.delete.DeleteRequest,org.elasticsearch.index.shard.IndexShard)",337,0.03372698158526821
"public java.lang.String org.elasticsearch.action.delete.DeleteRequest.parent()",3988,0.39911929543634905
"public org.elasticsearch.action.delete.DeleteRequest org.elasticsearch.action.delete.DeleteRequest.parent(java.lang.String)",3331,0.3333666933546838
"public java.lang.String org.elasticsearch.action.delete.DeleteRequest.type()",1506,0.15072057646116893
"public org.elasticsearch.action.delete.DeleteRequest org.elasticsearch.action.delete.DeleteRequest.type(java.lang.String)",5550,0.5554443554843875
"public void org.elasticsearch.transport.TransportRequest.setParentTask(org.elasticsearch.tasks.TaskId)",3749,0.3752001601281025
"public void org.elasticsearch.transport.TransportRequest.setParentTask(java.lang.String,long)",1706,0.17073658927141713
"public final org.elasticsearch.action.support.replication.ReplicationRequest org.elasticsearch.action.support.replication.ReplicationRequest.timeout(java.lang.String)",382,0.03823058446757406
"public org.elasticsearch.common.unit.TimeValue org.elasticsearch.action.support.replication.ReplicationRequest.timeout()",5156,0.5160128102481986
"public final org.elasticsearch.action.support.replication.ReplicationRequest org.elasticsearch.action.support.replication.ReplicationRequest.timeout(org.elasticsearch.common.unit.TimeValue)",4692,0.46957566052842276
"public java.lang.String[] org.elasticsearch.action.support.replication.ReplicationRequest.indices()",2651,0.26531224979983986
"public java.lang.String org.elasticsearch.action.support.replication.ReplicationRequest.getDescription()",1389,0.13901120896717373
"public java.lang.String org.elasticsearch.action.delete.DeleteRequest.toString()",3464,0.3466773418734988
