Methods called,Number of times,Number of times (Normalized)
"public static org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures org.apache.lucene.util.LuceneTestCase.replaceMaxFailureRule(org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures)",183,0.007955138236828377
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer,java.lang.String,java.lang.String[],int[],int[],java.lang.String[],int[],int[]) throws java.io.IOException",40,0.001738828029907842
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer,java.lang.String,java.lang.String[],int[],int[],java.lang.String[],int[],int[],boolean) throws java.io.IOException",38,0.00165188662841245
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer,java.lang.String,java.lang.String[],int[]) throws java.io.IOException",266,0.01156320639888715
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer,java.lang.String,java.lang.String[]) throws java.io.IOException",218,0.00947661276299774
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer,java.lang.String,java.lang.String[],int[],int[],int[]) throws java.io.IOException",59,0.002564771344114067
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer,java.lang.String,java.lang.String[],int[],int[],java.lang.String[],int[]) throws java.io.IOException",53,0.0023039471396278906
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer,java.lang.String,java.lang.String[],java.lang.String[]) throws java.io.IOException",317,0.013780212137019649
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer,java.lang.String,java.lang.String[],int[],int[]) throws java.io.IOException",110,0.0047817770822465655
"public static java.util.Random org.apache.lucene.util.LuceneTestCase.random()",1,4.347070074769605E-5
"public static void org.junit.Assert.assertTrue(boolean)",2,8.69414014953921E-5
"public static void org.junit.Assert.assertTrue(java.lang.String,boolean)",28,0.0012171796209354895
"public void org.apache.lucene.util.LuceneTestCase.assertStoredFieldEquals(java.lang.String,org.apache.lucene.index.IndexableField,org.apache.lucene.index.IndexableField)",347,0.015084333159450531
"public void org.apache.lucene.util.LuceneTestCase.setIndexWriterMaxDocs(int)",4553,0.19792210050426012
"public final org.junit.rules.TestRule org.apache.lucene.util.LuceneTestCase.ruleChain",8804,0.38271604938271603
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newFSDirectory(java.nio.file.Path,org.apache.lucene.store.LockFactory)",1,4.347070074769605E-5
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newFSDirectory(java.nio.file.Path)",1,4.347070074769605E-5
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.SYSPROP_MONSTER",1,4.347070074769605E-5
"public static void org.junit.Assert.assertNotSame(java.lang.Object,java.lang.Object)",2931,0.12741262389149713
"public static void org.junit.Assert.assertNotSame(java.lang.String,java.lang.Object,java.lang.Object)",2383,0.1035906798817597
"public static void org.junit.Assert.assertNull(java.lang.Object)",323,0.014041036341505825
"public static void org.junit.Assert.assertNull(java.lang.String,java.lang.Object)",329,0.014301860545992001
"public static int org.apache.lucene.util.LuceneTestCase.collate(java.text.Collator,java.lang.String,java.lang.String)",159,0.006911841418883673
"public static void org.junit.Assert.assertEquals(java.lang.Object,java.lang.Object)",255,0.011085028690662493
"public static void org.junit.Assert.assertEquals(java.lang.String,double,double,double)",362,0.015736393670665972
"public static void org.junit.Assert.assertEquals(float,float,float)",363,0.01577986437141367
"public static void org.junit.Assert.assertEquals(double,double,double)",330,0.014345331246739697
