Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class [[[[[[[D,8,1,3.477656059815684E-4,4.347070074769605E-5
class [[[F,5,2,2.1735350373848025E-4,8.69414014953921E-5
class [[[[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,33,5,0.0014345331246739697,2.1735350373848025E-4
class [[Ljava.lang.CharSequence;,7,1,3.042949052338724E-4,4.347070074769605E-5
class [[[[I,15,2,6.520605112154408E-4,8.69414014953921E-5
class [[[[Ljava.util.Set;,6,1,2.608242044861763E-4,4.347070074769605E-5
class [S,15696,16,0.6823161189358372,6.955312119631368E-4
class [D,4710,42,0.2047470005216484,0.0018257694314032342
class [F,1945,88,0.08455051295426882,0.0038254216657972527
class [[Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,71,2,0.0030864197530864196,8.69414014953921E-5
class [J,6020,84,0.26169361850113027,0.0036515388628064684
class [[[S,69,4,0.002999478351591028,1.738828029907842E-4
class [[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,65,3,0.0028255955486002435,1.3041210224308815E-4
class [[[Ljava.lang.String;,6,2,2.608242044861763E-4,8.69414014953921E-5
class [[Lorg.apache.lucene.analysis.BaseTokenStreamTestCase;,53,1,0.0023039471396278906,4.347070074769605E-5
class [[J,31,3,0.0013475917231785775,1.3041210224308815E-4
class [Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,513,3,0.022300469483568074,1.3041210224308815E-4
class [[[[[[[C,1,1,4.347070074769605E-5,4.347070074769605E-5
class org.junit.rules.RuleChain,8804,7133,0.38271604938271603,0.31007650843331597
class [[Ljava.util.Set;,326,1,0.014171448443748914,4.347070074769605E-5
class [[[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,65,3,0.0028255955486002435,1.3041210224308815E-4
class [[Ljava.lang.Class;,4,1,1.738828029907842E-4,4.347070074769605E-5
class [[[Ljava.util.Locale;,2,1,8.69414014953921E-5,4.347070074769605E-5
class [Lorg.elasticsearch.common.settings.Settings$Builder;,8,8,3.477656059815684E-4,3.477656059815684E-4
class [Ljava.lang.CharSequence;,6495,2,0.28234220135628585,8.69414014953921E-5
class [[S,167,5,0.0072596070248652405,2.1735350373848025E-4
class org.apache.lucene.util.LuceneTestCase$1,1349,1,0.05864197530864197,4.347070074769605E-5
class [[[[S,16,3,6.955312119631368E-4,1.3041210224308815E-4
class [[Lorg.elasticsearch.test.ESTokenStreamTestCase;,32,1,0.0013910624239262736,4.347070074769605E-5
class [[[[D,45,3,0.0019561815336463224,1.3041210224308815E-4
class [[Lorg.apache.lucene.search.QueryCachingPolicy;,66,3,0.0028690662493479394,1.3041210224308815E-4
class [[[C,51,3,0.002217005738132499,1.3041210224308815E-4
class java.lang.Boolean,9,2,3.912363067292645E-4,8.69414014953921E-5
class [[Ljava.util.Locale;,39,4,0.001695357329160146,1.738828029907842E-4
class java.lang.String,5134,14,0.22317857763867155,6.085898104677448E-4
class [[Lorg.apache.lucene.util.LuceneTestCase;,1,1,4.347070074769605E-5,4.347070074769605E-5
class [[[J,10,2,4.347070074769605E-4,8.69414014953921E-5
class java.util.Locale,444,22,0.019300991131977047,9.563554164493132E-4
class org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests,16812,16812,0.730829420970266,0.730829420970266
class [[[[[[[[D,5,1,2.1735350373848025E-4,4.347070074769605E-5
class [Ljava.lang.Class;,770,2,0.03347243957572596,8.69414014953921E-5
class [[[Ljava.util.Set;,64,1,0.0027821248478525473,4.347070074769605E-5
class [Ljava.util.Collection;,136,1,0.005912015301686663,4.347070074769605E-5
class [[[Lorg.apache.lucene.search.QueryCachingPolicy;,13,1,5.651191097200487E-4,4.347070074769605E-5
class [[[[F,2,1,8.69414014953921E-5,4.347070074769605E-5
class org.elasticsearch.common.settings.Settings$Builder,7178,1,0.31203268996696226,4.347070074769605E-5
class [[[[[[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,4,1,1.738828029907842E-4,4.347070074769605E-5
class [[[D,121,4,0.005259954790471222,1.738828029907842E-4
class org.apache.lucene.store.MockDirectoryWrapper$Throttling,624,1,0.027125717266562335,4.347070074769605E-5
class [[[Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,35,2,0.0015214745261693619,8.69414014953921E-5
class [Ljava.lang.Object;,13,11,5.651191097200487E-4,4.781777082246566E-4
class [[C,129,4,0.005607720396452791,1.738828029907842E-4
class [[[[[D,16,2,6.955312119631368E-4,8.69414014953921E-5
class java.lang.Class,1306,25,0.05677273517649104,0.0010867675186924013
class java.lang.Object,389,1,0.016910102590853765,4.347070074769605E-5
class [I,23282,1198,1.0120848548078596,0.05207789949573987
class [Ljava.util.Set;,54,1,0.002347417840375587,4.347070074769605E-5
class [[[[[C,18,3,7.82472613458529E-4,1.3041210224308815E-4
class [[[[[[C,8,2,3.477656059815684E-4,8.69414014953921E-5
class java.util.HashSet,14452,813,0.6282385672057034,0.03534167970787689
class [[Ljava.lang.String;,56,3,0.002434359241870979,1.3041210224308815E-4
class [Lorg.junit.rules.TestRule;,137,137,0.005955486002434359,0.005955486002434359
class [Lorg.apache.lucene.util.LuceneTestCase;,10,10,4.347070074769605E-4,4.347070074769605E-4
class [Lorg.apache.lucene.search.QueryCachingPolicy;,425,3,0.01847504781777082,1.3041210224308815E-4
class [[[Ljava.lang.Class;,6,1,2.608242044861763E-4,4.347070074769605E-5
class [[[[[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,5,2,2.1735350373848025E-4,8.69414014953921E-5
class [Z,79,42,0.003434185359067988,0.0018257694314032342
class [[[I,33,4,0.0014345331246739697,1.738828029907842E-4
class [[[[C,98,3,0.0042601286732742135,1.3041210224308815E-4
class [[D,431,4,0.018735872022257,1.738828029907842E-4
class [[[[[S,7,2,3.042949052338724E-4,8.69414014953921E-5
class [[B,75,4,0.003260302556077204,1.738828029907842E-4
class [Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,108,3,0.004694835680751174,1.3041210224308815E-4
class [[[B,14,1,6.085898104677448E-4,4.347070074769605E-5
class [[[[[[D,57,1,0.002477829942618675,4.347070074769605E-5
class [[I,87,7,0.0037819509650495564,3.042949052338724E-4
class [[F,42,4,0.0018257694314032342,1.738828029907842E-4
class [Ljava.util.Locale;,114,4,0.00495565988523735,1.738828029907842E-4
class [[[[[I,1,1,4.347070074769605E-5,4.347070074769605E-5
class [B,7064,43,0.30707703008172493,0.0018692401321509303
class [C,7671,95,0.33346374543557644,0.0041297165710311255
class [Lorg.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests;,62,62,0.002695183446357155,0.002695183446357155
class [Ljava.lang.String;,3814,746,0.16579725265171275,0.032429142757781255
class java.lang.Integer,1,1,4.347070074769605E-5,4.347070074769605E-5
class [Lorg.apache.lucene.analysis.BaseTokenStreamTestCase;,118,13,0.005129542688228134,5.651191097200487E-4
class [[Lorg.junit.rules.TestRule;,5,5,2.1735350373848025E-4,2.1735350373848025E-4
class [Lorg.elasticsearch.test.ESTokenStreamTestCase;,6,6,2.608242044861763E-4,2.608242044861763E-4
