Methods called,Number of times,Number of times (Normalized)
"public static org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures org.apache.lucene.util.LuceneTestCase.replaceMaxFailureRule(org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures)",187,0.007755152822129142
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer,java.lang.String,java.lang.String[],int[],int[],java.lang.String[],int[],int[]) throws java.io.IOException",40,0.0016588562186372496
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer,java.lang.String,java.lang.String[],int[],int[],java.lang.String[],int[],int[],boolean) throws java.io.IOException",38,0.0015759134077053872
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer,java.lang.String,java.lang.String[],int[]) throws java.io.IOException",282,0.01169493634139261
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer,java.lang.String,java.lang.String[]) throws java.io.IOException",224,0.009289594824368598
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer,java.lang.String,java.lang.String[],int[],int[],int[]) throws java.io.IOException",59,0.002446812922489943
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer,java.lang.String,java.lang.String[],int[],int[],java.lang.String[],int[]) throws java.io.IOException",53,0.002197984489694356
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer,java.lang.String,java.lang.String[],java.lang.String[]) throws java.io.IOException",335,0.013892920831086966
"public static void org.apache.lucene.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer,java.lang.String,java.lang.String[],int[],int[]) throws java.io.IOException",112,0.004644797412184299
"public static java.util.Random org.apache.lucene.util.LuceneTestCase.random()",1,4.147140546593124E-5
"public static void org.junit.Assert.assertTrue(boolean)",2,8.294281093186248E-5
"public static void org.junit.Assert.assertTrue(java.lang.String,boolean)",28,0.0011611993530460747
"randoop.operation.UncheckedCast@3b914f89",38,0.0015759134077053872
"org.apache.lucene.store.MockDirectoryWrapper$Throttling[][][0]",62,0.002571227138887737
"randoop.operation.ArrayElementSet@6714370c",9,3.7324264919338116E-4
"public void org.apache.lucene.util.LuceneTestCase.assertStoredFieldEquals(java.lang.String,org.apache.lucene.index.IndexableField,org.apache.lucene.index.IndexableField)",367,0.015220005805996766
"org.apache.lucene.store.MockDirectoryWrapper$Throttling[][][2]",15,6.220710819889686E-4
"org.apache.lucene.store.MockDirectoryWrapper$Throttling[][][1]",14,5.805996765230374E-4
"public void org.apache.lucene.util.LuceneTestCase.setIndexWriterMaxDocs(int)",4859,0.2015095591589599
"public final org.junit.rules.TestRule org.apache.lucene.util.LuceneTestCase.ruleChain",9289,0.3852278853730353
