Methods called,Number of times,Number of times (Normalized)
"randoop.operation.UncheckedCast@6e3eae3e",1,4.5922116091109475E-5
"public static org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures org.apache.lucene.util.LuceneTestCase.replaceMaxFailureRule(org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures)",813,0.03733468038207201
"org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures[][][0]",1,4.5922116091109475E-5
"java.lang.Iterable[][][2]",1,4.5922116091109475E-5
"java.lang.CharSequence[][][1]",2,9.184423218221895E-5
"double[][][][][1]",1,4.5922116091109475E-5
"double[][][][][6]",7,3.2145481263776637E-4
"java.lang.CharSequence[][][5]",3,1.3776634827332844E-4
"java.lang.Iterable[][][4]",1,4.5922116091109475E-5
"public static java.util.Random org.apache.lucene.util.LuceneTestCase.random()",1,4.5922116091109475E-5
"java.lang.CharSequence[][][0]",5,2.296105804555474E-4
"public static void org.junit.Assert.assertTrue(java.lang.String,boolean)",28,0.0012858192505510655
"public static void org.junit.Assert.assertTrue(boolean)",2,9.184423218221895E-5
"randoop.operation.ArrayElementSet@59e409f4",1,4.5922116091109475E-5
"randoop.operation.UncheckedCast@208be09a",1,4.5922116091109475E-5
"public static void org.elasticsearch.test.ESTestCase.setProcessors()",1,4.5922116091109475E-5
"public static org.elasticsearch.common.settings.Settings$Builder org.elasticsearch.test.ESTestCase.settings(org.elasticsearch.Version)",1,4.5922116091109475E-5
"public void org.apache.lucene.util.LuceneTestCase.assertStoredFieldEquals(java.lang.String,org.apache.lucene.index.IndexableField,org.apache.lucene.index.IndexableField)",332,0.015246142542248348
"java.util.concurrent.ExecutorService[][][][][][][0]",1,4.5922116091109475E-5
"java.util.concurrent.ExecutorService[][][][0]",1,4.5922116091109475E-5
"public void org.apache.lucene.util.LuceneTestCase.setIndexWriterMaxDocs(int)",4343,0.19943975018368845
"java.util.concurrent.ExecutorService[][][][2]",5,2.296105804555474E-4
"java.util.concurrent.ExecutorService[][][][4]",1,4.5922116091109475E-5
"java.util.concurrent.ExecutorService[][][][5]",24,0.0011021307861866275
"public final org.junit.rules.TestRule org.apache.lucene.util.LuceneTestCase.ruleChain",13820,0.634643644379133
"public java.nio.file.Path org.elasticsearch.test.ESTestCase.getDataPath(java.lang.String)",352,0.016164584864070537
"org.junit.Assert[6]",2,9.184423218221895E-5
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newFSDirectory(java.nio.file.Path,org.apache.lucene.store.LockFactory)",1,4.5922116091109475E-5
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newFSDirectory(java.nio.file.Path)",1,4.5922116091109475E-5
"public static java.util.Random org.elasticsearch.test.ESTestCase.getRandom()",1,4.5922116091109475E-5
"org.junit.Assert[10]",1,4.5922116091109475E-5
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.SYSPROP_MONSTER",1,4.5922116091109475E-5
"org.junit.Assert[0]",2,9.184423218221895E-5
"public static void org.junit.Assert.assertNotSame(java.lang.String,java.lang.Object,java.lang.Object)",1424,0.0653930933137399
"public static void org.junit.Assert.assertNotSame(java.lang.Object,java.lang.Object)",2960,0.13592946362968406
"org.junit.Assert[5]",52,0.002387950036737693
"public static void org.junit.Assert.assertNull(java.lang.Object)",288,0.01322556943423953
"public static void org.junit.Assert.assertNull(java.lang.String,java.lang.Object)",309,0.01418993387215283
"public static int org.apache.lucene.util.LuceneTestCase.collate(java.text.Collator,java.lang.String,java.lang.String)",151,0.006934239529757531
"java.lang.reflect.AnnotatedElement[1]",1,4.5922116091109475E-5
"java.lang.reflect.AnnotatedElement[0]",5,2.296105804555474E-4
"java.lang.reflect.AnnotatedElement[5]",3,1.3776634827332844E-4
"public static void org.junit.Assert.assertEquals(java.lang.Object[],java.lang.Object[])",4791,0.22001285819250552
"public static void org.junit.Assert.assertEquals(float,float,float)",296,0.013592946362968405
"public static void org.junit.Assert.assertEquals(double,double,double)",320,0.014695077149155033
"public static void org.junit.Assert.assertEquals(java.lang.Object,java.lang.Object)",247,0.01134276267450404
"public static void org.junit.Assert.assertEquals(java.lang.String,double,double,double)",302,0.013868479059515063
"public static void org.junit.Assert.assertEquals(java.lang.String,long,long)",278,0.012766348273328435
"public static void org.junit.Assert.assertEquals(java.lang.String,java.lang.Object[],java.lang.Object[])",1079,0.04954996326230713
"public static void org.junit.Assert.assertEquals(long,long)",232,0.0106539309331374
"public static void org.junit.Assert.assertEquals(double,double)",304,0.013960323291697281
"public static void org.junit.Assert.assertEquals(java.lang.String,float,float,float)",299,0.013730712711241735
"public static void org.junit.Assert.assertEquals(java.lang.String,java.lang.Object,java.lang.Object)",237,0.010883541513592946
"public static void org.junit.Assert.assertEquals(java.lang.String,double,double)",327,0.0150165319617928
"java.lang.reflect.AnnotatedElement[2]",2,9.184423218221895E-5
"public static java.lang.String org.elasticsearch.test.ESTestCase.randomUnicodeOfCodepointLengthBetween(int,int)",211,0.0096895664952241
"double[][][][][0]",26,0.0011939750183688465
"public static boolean org.elasticsearch.test.ESTestCase.frequently()",1,4.5922116091109475E-5
"public void org.apache.lucene.util.LuceneTestCase.setUp() throws java.lang.Exception",7305,0.33546105804555476
"java.util.concurrent.ExecutorService[][][4]",4,1.836884643644379E-4
"public static boolean org.apache.lucene.util.LuceneTestCase.usually()",1,4.5922116091109475E-5
"public static boolean org.apache.lucene.util.LuceneTestCase.usually(java.util.Random)",1,4.5922116091109475E-5
"java.util.concurrent.ExecutorService[][][3]",8,3.673769287288758E-4
"java.util.concurrent.ExecutorService[][][6]",20,9.184423218221896E-4
"randoop.operation.UncheckedCast@7e0d5644",15,6.888317413666422E-4
"randoop.operation.ArrayElementSet@12c7f68d",6,2.755326965466569E-4
