Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class [Ljava.util.List;,84,40,0.0035888233786208665,0.001708963513628984
class [Ljava.util.Collection;,128,33,0.005468683243612749,0.0014098948987439118
class [[[[Ljava.util.Locale;,3,2,1.281722635221738E-4,8.54481756814492E-5
class [B,5525,93,0.23605058532000342,0.003973340169187388
class [[Ljava.lang.reflect.GenericDeclaration;,86,4,0.0036742715543023156,1.708963513628984E-4
class [[[[Ljava.util.Set;,4,2,1.708963513628984E-4,8.54481756814492E-5
class [[[[Lorg.junit.rules.TestRule;,8,2,3.417927027257968E-4,8.54481756814492E-5
class [C,7507,63,0.3207297274203196,0.00269161753396565
class java.lang.Object,1,1,4.27240878407246E-5,4.27240878407246E-5
class [[Ljava.util.Set;,46,2,0.0019653080406733317,8.54481756814492E-5
class [[[[Ljava.util.concurrent.ExecutorService;,7,3,2.990686148850722E-4,1.281722635221738E-4
class [Ljava.util.Set;,26,8,0.0011108262838588395,3.417927027257968E-4
class [[[[J,3,2,1.281722635221738E-4,8.54481756814492E-5
class [[[S,64,11,0.0027343416218063746,4.699649662479706E-4
class [[[[C,6,2,2.563445270443476E-4,8.54481756814492E-5
class [F,4954,67,0.21165513116294968,0.0028625138853285484
class [[[[[J,3,2,1.281722635221738E-4,8.54481756814492E-5
class [Lorg.apache.lucene.util.LuceneTestCase;,3,3,1.281722635221738E-4,1.281722635221738E-4
class [[[Ljava.util.concurrent.ExecutorService;,47,8,0.002008032128514056,3.417927027257968E-4
class [[[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,191,3,0.008160300777578398,1.281722635221738E-4
class java.util.ArrayList,78,78,0.0033324788515765188,0.0033324788515765188
class [[Ljava.lang.Class;,154,2,0.006579509527471589,8.54481756814492E-5
class [[I,7,7,2.990686148850722E-4,2.990686148850722E-4
class [[B,15,4,6.40861317610869E-4,1.708963513628984E-4
class [Lorg.junit.rules.TestRule;,63,35,0.00269161753396565,0.001495343074425361
class [[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,131,4,0.005596855507134923,1.708963513628984E-4
class java.lang.Boolean,17300,2,0.7391267196445356,8.54481756814492E-5
class [[[Ljava.lang.reflect.GenericDeclaration;,9,4,3.8451679056652143E-4,1.708963513628984E-4
class [[[Ljava.lang.String;,68,8,0.0029052379731692728,3.417927027257968E-4
class [Ljava.util.concurrent.ExecutorService;,8228,2,0.351533794753482,8.54481756814492E-5
class [[S,295,11,0.012603605913013757,4.699649662479706E-4
class [Ljava.lang.reflect.Type;,1,1,4.27240878407246E-5,4.27240878407246E-5
class [Ljava.lang.Class;,80,6,0.003417927027257968,2.563445270443476E-4
class [S,7627,35,0.3258566179612065,0.001495343074425361
class [Ljava.lang.reflect.AnnotatedElement;,5,3,2.13620439203623E-4,1.281722635221738E-4
class [[Ljava.util.List;,6,3,2.563445270443476E-4,1.281722635221738E-4
class [Ljava.lang.Object;,6,5,2.563445270443476E-4,2.13620439203623E-4
class [[[[[Lorg.junit.rules.TestRule;,1,1,4.27240878407246E-5,4.27240878407246E-5
class [[Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,41,7,0.0017516876014697087,2.990686148850722E-4
class java.util.ArrayList$SubList,1027,481,0.043877638212424165,0.020550286251388532
class [Lorg.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest;,112,112,0.004785097838161155,0.004785097838161155
class org.apache.lucene.store.MockDirectoryWrapper$Throttling,704,1,0.030077757839870118,4.27240878407246E-5
class [[Ljava.lang.Iterable;,4,1,1.708963513628984E-4,4.27240878407246E-5
class [J,5334,137,0.22789028454242502,0.00585320003417927
class java.lang.String,2736,12,0.11689310433222251,5.126890540886952E-4
class [Ljava.lang.Cloneable;,1,1,4.27240878407246E-5,4.27240878407246E-5
class [[Lorg.apache.lucene.search.QueryCachingPolicy;,2,1,8.54481756814492E-5,4.27240878407246E-5
class [Lorg.elasticsearch.test.ESTestCase;,1,1,4.27240878407246E-5,4.27240878407246E-5
class [[[[S,23,7,9.826540203366659E-4,2.990686148850722E-4
class [[[Ljava.util.Set;,16,2,6.835854054515936E-4,8.54481756814492E-5
class org.elasticsearch.common.logging.log4j.Log4jESLogger,10132,1,0.43288045800222164,4.27240878407246E-5
class [Ljava.lang.CharSequence;,562,82,0.024010937366487226,0.0035033752029394174
