Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class [[[Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,5,2,2.1453702909122115E-4,8.581481163648846E-5
class [[[[B,7,2,3.003518407277096E-4,8.581481163648846E-5
class org.elasticsearch.common.settings.Settings$Builder,6656,1,0.2855916931262336,4.290740581824423E-5
class [[[Ljava.util.Locale;,7,2,3.003518407277096E-4,8.581481163648846E-5
class [[[Lorg.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests;,70,3,0.003003518407277096,1.287222174547327E-4
class [D,3956,49,0.16974169741697417,0.002102462885093967
class [S,7225,113,0.3100060070368146,0.004848536857461598
class [F,1155,118,0.04955805372007208,0.005063073886552819
class [J,3851,102,0.16523641980605852,0.004376555393460911
class [[[[I,31,3,0.0013301295803655711,1.287222174547327E-4
class [Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,98,2,0.004204925770187934,8.581481163648846E-5
class [[[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,16,2,6.865184930919077E-4,8.581481163648846E-5
class java.lang.Object,15,1,6.436110872736634E-4,4.290740581824423E-5
class [C,14032,56,0.602076718441603,0.0024028147258216767
class [[[[[Ljava.lang.Class;,8,2,3.4325924654595385E-4,8.581481163648846E-5
class [[Lorg.apache.lucene.search.QueryCachingPolicy;,71,2,0.0030464258130953404,8.581481163648846E-5
class [Lorg.apache.lucene.analysis.BaseTokenStreamTestCase;,711,711,0.030507165536771647,0.030507165536771647
class [[[[[J,4,1,1.7162962327297692E-4,4.290740581824423E-5
class [[[C,4,1,1.7162962327297692E-4,4.290740581824423E-5
class [Ljava.lang.reflect.Type;,39,2,0.001673388826911525,8.581481163648846E-5
class [[J,97,5,0.004162018364369691,2.1453702909122115E-4
class org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests,22187,22187,0.9519866128893847,0.9519866128893847
class [[[[Ljava.util.Locale;,5,2,2.1453702909122115E-4,8.581481163648846E-5
class [[D,67,5,0.0028747961898223633,2.1453702909122115E-4
class [[C,302,2,0.012958036557109757,8.581481163648846E-5
class [[Ljava.lang.String;,139,5,0.005964129408735948,2.1453702909122115E-4
class [Lorg.junit.rules.TestRule;,12,12,5.148888698189308E-4,5.148888698189308E-4
class [Ljava.lang.String;,3033,757,0.13013816184673474,0.03248090620441088
class [[Ljava.lang.Class;,176,1,0.007551703424010984,4.290740581824423E-5
class [Ljava.util.Locale;,23,2,9.868703338196173E-4,8.581481163648846E-5
class [[[[[B,4,1,1.7162962327297692E-4,4.290740581824423E-5
class org.apache.lucene.util.LuceneTestCase$1,3735,1,0.1602591607311422,4.290740581824423E-5
class [Ljava.util.Collection;,212,106,0.009096370033467777,0.004548185016733888
class [[[[D,2,1,8.581481163648846E-5,4.290740581824423E-5
class [[[[Ljava.lang.Class;,30,2,0.0012872221745473269,8.581481163648846E-5
class [Ljava.lang.CharSequence;,2755,4,0.11820990302926285,1.7162962327297692E-4
class [[Ljava.util.Set;,137,57,0.005878314597099459,0.002445722131639921
class java.lang.Integer,1,1,4.290740581824423E-5,4.290740581824423E-5
class [[I,301,6,0.012915129151291513,2.574444349094654E-4
class java.lang.Boolean,9,2,3.8616665236419805E-4,8.581481163648846E-5
class [[[J,28,4,0.0012014073629108384,1.7162962327297692E-4
class [[[[J,19,3,8.152407105466404E-4,1.287222174547327E-4
class [[[[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,4,1,1.7162962327297692E-4,4.290740581824423E-5
