Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class [J,3822,85,0.18124051593323218,0.004030728376327769
class [F,1323,48,0.06273710166919576,0.002276176024279211
class [[[Ljava.util.concurrent.ExecutorService;,121,12,0.005737860394537177,5.690440060698028E-4
class [[[Lorg.elasticsearch.test.ESTestCase;,5,2,2.3710166919575115E-4,9.484066767830046E-5
class [[[C,25,6,0.0011855083459787557,2.845220030349014E-4
class com.carrotsearch.randomizedtesting.rules.TestRuleAdapter$1,155,8,0.007350151745068285,3.7936267071320183E-4
class [[F,44,8,0.00208649468892261,3.7936267071320183E-4
class [Ljava.lang.String;,670,30,0.03177162367223065,0.0014226100151745068
class [[[[[[[Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,2,2,9.484066767830046E-5,9.484066767830046E-5
class org.junit.rules.RuleChain,75539,22898,3.582084597875569,1.0858308042488618
class [C,4182,72,0.19831183611532624,0.0034142640364188165
class [[[[Lorg.elasticsearch.test.ESTestCase;,5,2,2.3710166919575115E-4,9.484066767830046E-5
class java.lang.Integer,1,1,4.742033383915023E-5,4.742033383915023E-5
class [[[Lorg.junit.rules.RuleChain;,21,4,9.958270106221548E-4,1.8968133535660092E-4
class [[C,124,12,0.005880121396054629,5.690440060698028E-4
class [Ljava.lang.Object;,8,8,3.7936267071320183E-4,3.7936267071320183E-4
class [[I,17,4,8.061456752655538E-4,1.8968133535660092E-4
class [[[Lorg.junit.runners.model.Statement;,25,2,0.0011855083459787557,9.484066767830046E-5
class [S,5362,78,0.2542678300455235,0.0036987860394537176
class [Ljava.util.List;,132,3,0.00625948406676783,1.422610015174507E-4
class [[[B,6,4,2.845220030349014E-4,1.8968133535660092E-4
class [[Ljava.util.List;,202,2,0.009578907435508346,9.484066767830046E-5
class [Lorg.elasticsearch.index.analysis.KuromojiAnalysisTests;,47,47,0.002228755690440061,0.002228755690440061
class org.apache.lucene.store.MockDirectoryWrapper$Throttling,7581,3,0.3594935508345979,1.422610015174507E-4
class [[[[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,1,1,4.742033383915023E-5,4.742033383915023E-5
class [Ljava.util.Set;,66,2,0.003129742033383915,9.484066767830046E-5
class [Lorg.apache.lucene.util.LuceneTestCase;,1,1,4.742033383915023E-5,4.742033383915023E-5
class [Lorg.junit.rules.RuleChain;,93,38,0.0044100910470409715,0.0018019726858877086
class [[[[[I,1,1,4.742033383915023E-5,4.742033383915023E-5
class [Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,145,5,0.006875948406676783,2.3710166919575115E-4
class [[[F,42,8,0.0019916540212443095,3.7936267071320183E-4
class [[[[Ljava.lang.String;,11,4,5.216236722306525E-4,1.8968133535660092E-4
class java.lang.Object,1,1,4.742033383915023E-5,4.742033383915023E-5
class [[Ljava.lang.reflect.Type;,22,1,0.001043247344461305,4.742033383915023E-5
class [[[Ljava.lang.String;,14,5,6.638846737481032E-4,2.3710166919575115E-4
class [[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,45,12,0.00213391502276176,5.690440060698028E-4
class [[Ljava.lang.reflect.AnnotatedElement;,3,3,1.422610015174507E-4,1.422610015174507E-4
class java.util.HashSet,3057,506,0.14496396054628224,0.023994688922610016
class [Lorg.elasticsearch.test.ESTestCase;,43,43,0.0020390743550834597,0.0020390743550834597
class [D,5047,20,0.2393304248861912,9.484066767830046E-4
class java.util.ArrayList,48,40,0.002276176024279211,0.0018968133535660092
class [[Lorg.junit.rules.TestRule;,8,1,3.7936267071320183E-4,4.742033383915023E-5
class [[[[Ljava.util.List;,2,1,9.484066767830046E-5,4.742033383915023E-5
class [[[S,19,6,9.009863429438543E-4,2.845220030349014E-4
class [[[[C,2,2,9.484066767830046E-5,9.484066767830046E-5
class [I,4956,157,0.23501517450682852,0.007444992412746586
class [[[[Lorg.junit.runners.model.Statement;,1,1,4.742033383915023E-5,4.742033383915023E-5
class [[Ljava.util.concurrent.ExecutorService;,323,9,0.015316767830045524,4.2678300455235206E-4
class [[[[S,6,4,2.845220030349014E-4,1.8968133535660092E-4
class [B,4747,86,0.22510432473444614,0.004078148710166919
class [[Lorg.junit.runners.model.Statement;,143,2,0.006781107738998483,9.484066767830046E-5
class [Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,1402,10,0.06648330804248861,4.742033383915023E-4
class [Ljava.util.Locale;,21,5,9.958270106221548E-4,2.3710166919575115E-4
class [[[[[F,1,1,4.742033383915023E-5,4.742033383915023E-5
class [[Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,78,5,0.0036987860394537176,2.3710166919575115E-4
class [Ljava.util.Collection;,62,2,0.0029400606980273143,9.484066767830046E-5
class java.lang.String,13974,12,0.6626517450682853,5.690440060698028E-4
class java.util.Locale,117,23,0.0055481790591805765,0.0010906676783004553
class [Ljava.lang.Class;,30,2,0.0014226100151745068,9.484066767830046E-5
class [[[[[Ljava.util.concurrent.ExecutorService;,16,4,7.587253414264037E-4,1.8968133535660092E-4
class [Lorg.junit.rules.TestRule;,21,2,9.958270106221548E-4,9.484066767830046E-5
class [[[[F,10,3,4.742033383915023E-4,1.422610015174507E-4
class [[[[Ljava.util.Locale;,1,1,4.742033383915023E-5,4.742033383915023E-5
class [Ljava.lang.reflect.GenericDeclaration;,30,2,0.0014226100151745068,9.484066767830046E-5
class [[Ljava.util.Set;,58,2,0.002750379362670713,9.484066767830046E-5
class [[Lorg.apache.lucene.search.QueryCachingPolicy;,5,5,2.3710166919575115E-4,2.3710166919575115E-4
class [[[[I,3,2,1.422610015174507E-4,9.484066767830046E-5
class [Ljava.util.concurrent.ExecutorService;,2298,2,0.10897192716236723,9.484066767830046E-5
class [[Ljava.lang.String;,79,9,0.003746206373292868,4.2678300455235206E-4
class [[[Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,55,3,0.0026081183611532627,1.422610015174507E-4
class [Ljava.lang.Cloneable;,2,2,9.484066767830046E-5,9.484066767830046E-5
