Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class java.util.HashSet,7520,547,0.3342222222222222,0.02431111111111111
class [Ljava.util.Collection;,206,3,0.009155555555555556,1.3333333333333334E-4
class [[D,118,13,0.005244444444444445,5.777777777777778E-4
class [S,8464,49,0.3761777777777778,0.0021777777777777776
class [[Ljava.util.concurrent.ExecutorService;,162,7,0.0072,3.111111111111111E-4
class [F,4230,74,0.188,0.003288888888888889
class [Lorg.apache.lucene.search.QueryCachingPolicy;,91,7,0.004044444444444444,3.111111111111111E-4
class [Ljava.util.Set;,458,5,0.020355555555555557,2.2222222222222223E-4
class [D,2880,71,0.128,0.0031555555555555555
class [[[Lorg.elasticsearch.test.ESTestCase;,1,1,4.4444444444444447E-5,4.4444444444444447E-5
class java.util.ArrayList,8,6,3.5555555555555557E-4,2.666666666666667E-4
class [[B,28,6,0.0012444444444444445,2.666666666666667E-4
class [[Ljava.lang.String;,340,11,0.015111111111111112,4.888888888888889E-4
class [Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,44,6,0.0019555555555555554,2.666666666666667E-4
class org.elasticsearch.index.analysis.KuromojiAnalysisTests,20354,20354,0.9046222222222222,0.9046222222222222
class org.apache.lucene.store.MockDirectoryWrapper$Throttling,584,1,0.025955555555555555,4.4444444444444447E-5
class [Ljava.lang.Cloneable;,1,1,4.4444444444444447E-5,4.4444444444444447E-5
class [[[S,88,12,0.003911111111111111,5.333333333333334E-4
class [Ljava.util.concurrent.ExecutorService;,6000,2,0.26666666666666666,8.888888888888889E-5
class java.util.Locale,272,20,0.012088888888888889,8.888888888888889E-4
class [J,5835,69,0.25933333333333336,0.0030666666666666668
class [[Ljava.util.Set;,22,6,9.777777777777777E-4,2.666666666666667E-4
class [[[[Ljava.util.Collection;,10,5,4.4444444444444447E-4,2.2222222222222223E-4
class [[[[[[S,1,1,4.4444444444444447E-5,4.4444444444444447E-5
class [[[C,4,2,1.7777777777777779E-4,8.888888888888889E-5
class [Lorg.junit.rules.RuleChain;,236,3,0.01048888888888889,1.3333333333333334E-4
class [[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,1,1,4.4444444444444447E-5,4.4444444444444447E-5
class [[[Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,1,1,4.4444444444444447E-5,4.4444444444444447E-5
class [[[D,38,11,0.0016888888888888889,4.888888888888889E-4
class [[Ljava.util.List;,34,3,0.001511111111111111,1.3333333333333334E-4
class [[[[[D,3,3,1.3333333333333334E-4,1.3333333333333334E-4
class [[[[S,18,8,8.0E-4,3.5555555555555557E-4
class [[[[[[[Ljava.lang.String;,7,2,3.111111111111111E-4,8.888888888888889E-5
class [[[J,83,6,0.0036888888888888887,2.666666666666667E-4
class java.lang.Object,106,1,0.004711111111111111,4.4444444444444447E-5
class [[[[[[[[Ljava.lang.String;,1,1,4.4444444444444447E-5,4.4444444444444447E-5
class [[[Lorg.apache.lucene.search.QueryCachingPolicy;,16,5,7.111111111111111E-4,2.2222222222222223E-4
class [[[[Ljava.util.concurrent.ExecutorService;,82,5,0.0036444444444444445,2.2222222222222223E-4
class [[[[[[F,1,1,4.4444444444444447E-5,4.4444444444444447E-5
class [[Lorg.elasticsearch.index.analysis.KuromojiAnalysisTests;,15,5,6.666666666666666E-4,2.2222222222222223E-4
class [Ljava.lang.reflect.Type;,27,3,0.0012,1.3333333333333334E-4
class [C,3004,170,0.1335111111111111,0.007555555555555556
class [Lorg.apache.lucene.util.LuceneTestCase;,16,16,7.111111111111111E-4,7.111111111111111E-4
class java.lang.Integer,1,1,4.4444444444444447E-5,4.4444444444444447E-5
class [[[[[F,10,4,4.4444444444444447E-4,1.7777777777777779E-4
