Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class [[[[I,28,5,0.0012322316595519958,2.200413677771421E-4
class java.lang.Boolean,1821,2,0.08013906614443515,8.801654711085684E-5
class [S,6228,116,0.2740835277032082,0.005104959732429697
class [[[[Ljava.io.Serializable;,21,2,9.241737446639968E-4,8.801654711085684E-5
class [[Lorg.elasticsearch.index.analysis.KuromojiAnalysisTests;,19,1,8.3615719755314E-4,4.400827355542842E-5
class org.apache.lucene.util.LuceneTestCase$1,1419,1,0.06244774017515293,4.400827355542842E-5
class [[[Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,82,5,0.0036086784315451305,2.200413677771421E-4
class [[[Ljava.io.Serializable;,8,2,3.5206618844342737E-4,8.801654711085684E-5
class [[Ljava.io.Serializable;,40,5,0.0017603309422171368,2.200413677771421E-4
class java.lang.Object,22,1,9.681820182194253E-4,4.400827355542842E-5
class [I,4125,275,0.18153412841614225,0.012102275227742815
class [Ljava.util.Locale;,189,8,0.008317563701975972,3.5206618844342737E-4
class [[[[Ljava.lang.String;,39,6,0.0017163226686617084,2.640496413325705E-4
class [Ljava.util.concurrent.ExecutorService;,1282,2,0.05641860669805924,8.801654711085684E-5
class [Lorg.junit.rules.RuleChain;,140,137,0.006161158297759979,0.006029133477093693
class [Lorg.junit.Assert;,42,10,0.0018483474893279937,4.400827355542842E-4
class [[[[D,3,3,1.3202482066628526E-4,1.3202482066628526E-4
class [Ljava.lang.reflect.GenericDeclaration;,2,1,8.801654711085684E-5,4.400827355542842E-5
class [[[D,33,4,0.0014522730273291379,1.7603309422171368E-4
class [Ljava.lang.Object;,7,6,3.0805791488799895E-4,2.640496413325705E-4
class [D,6447,38,0.28372133961184703,0.00167231439510628
class [[[I,44,7,0.0019363640364388505,3.0805791488799895E-4
class [[Ljava.util.concurrent.ExecutorService;,299,7,0.013158473793073097,3.0805791488799895E-4
class [Lorg.elasticsearch.test.ESTestCase;,61,41,0.0026845046868811335,0.0018043392157725653
class [F,1306,37,0.057474805263389515,0.0016283061215508516
class [[[[[[Ljava.io.Serializable;,7,2,3.0805791488799895E-4,8.801654711085684E-5
class [[B,28,7,0.0012322316595519958,3.0805791488799895E-4
class [[[Ljava.lang.Iterable;,2,1,8.801654711085684E-5,4.400827355542842E-5
