Methods called,Number of times,Number of times (Normalized)
"public static org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures org.apache.lucene.util.LuceneTestCase.replaceMaxFailureRule(org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures)",78,0.0035200144410848866
"randoop.operation.UncheckedCast@748c688a",42,0.0018953923913534005
"public static java.util.Random org.apache.lucene.util.LuceneTestCase.random()",1,4.512839027031906E-5
"java.lang.reflect.AnnotatedElement[6]",47,0.002121034342704996
"public static void org.junit.Assert.assertTrue(boolean)",2,9.025678054063812E-5
"public static void org.junit.Assert.assertTrue(java.lang.String,boolean)",28,0.0012635949275689336
"public static void org.elasticsearch.test.ESTestCase.setProcessors()",1,4.512839027031906E-5
"randoop.operation.UncheckedCast@5877206f",6,2.7077034162191434E-4
"public static org.elasticsearch.common.settings.Settings$Builder org.elasticsearch.test.ESTestCase.settings(org.elasticsearch.Version)",1,4.512839027031906E-5
"public void org.apache.lucene.util.LuceneTestCase.assertStoredFieldEquals(java.lang.String,org.apache.lucene.index.IndexableField,org.apache.lucene.index.IndexableField)",266,0.012004151811904869
"public void org.apache.lucene.util.LuceneTestCase.setIndexWriterMaxDocs(int)",5019,0.22649939076673134
"java.util.List[][]",4,1.8051356108127623E-4
"java.util.List[]",26,0.0011733381470282955
"org.junit.rules.RuleChain[][][][][6]",1,4.512839027031906E-5
"public java.nio.file.Path org.elasticsearch.test.ESTestCase.getDataPath(java.lang.String)",304,0.013719030642176994
"public final org.junit.rules.TestRule org.apache.lucene.util.LuceneTestCase.ruleChain",2778,0.12536666817094635
"randoop.operation.ArrayElementSet@5b39871b",48,0.0021661627329753147
"randoop.operation.UncheckedCast@49f315d7",14,6.317974637844668E-4
"randoop.operation.ArrayElementSet@813d436",3,1.3538517081095717E-4
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newFSDirectory(java.nio.file.Path)",1,4.512839027031906E-5
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newFSDirectory(java.nio.file.Path,org.apache.lucene.store.LockFactory)",1,4.512839027031906E-5
"public static java.util.Random org.elasticsearch.test.ESTestCase.getRandom()",1,4.512839027031906E-5
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.SYSPROP_MONSTER",1,4.512839027031906E-5
"public static void org.junit.Assert.assertNotSame(java.lang.Object,java.lang.Object)",4321,0.19499977435804866
"public static void org.junit.Assert.assertNotSame(java.lang.String,java.lang.Object,java.lang.Object)",2077,0.09373166659145268
"java.lang.reflect.AnnotatedElement[][][][1]",2,9.025678054063812E-5
"java.lang.reflect.AnnotatedElement[][][][0]",7,3.158987318922334E-4
"public static void org.junit.Assert.assertNull(java.lang.Object)",273,0.012320050543797102
"public static void org.junit.Assert.assertNull(java.lang.String,java.lang.Object)",334,0.015072882350286565
"public static int org.apache.lucene.util.LuceneTestCase.collate(java.text.Collator,java.lang.String,java.lang.String)",147,0.006633873369736902
"java.lang.reflect.AnnotatedElement[0]",52,0.002346676294056591
"java.lang.reflect.AnnotatedElement[4]",3,1.3538517081095717E-4
"java.lang.reflect.AnnotatedElement[3]",3,1.3538517081095717E-4
"public static void org.junit.Assert.assertEquals(float,float,float)",273,0.012320050543797102
