Methods called,Number of times,Number of times (Normalized)
"java.lang.String[][][5]",14,5.961251862891207E-4
"public static org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures org.apache.lucene.util.LuceneTestCase.replaceMaxFailureRule(org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures)",821,0.03495848413881201
"java.lang.String[][][4]",1,4.258037044922291E-5
"short[][][][5]",1,4.258037044922291E-5
"java.lang.String[][][3]",6,2.5548222269533745E-4
"java.lang.String[][][2]",14,5.961251862891207E-4
"short[][][][6]",1,4.258037044922291E-5
"short[][][][3]",2,8.516074089844582E-5
"randoop.operation.ArrayElementSet@3c5f405a",5,2.1290185224611454E-4
"short[][][][1]",5,2.1290185224611454E-4
"org.junit.rules.TestRule[][][1]",16,6.812859271875665E-4
"public static java.util.Random org.apache.lucene.util.LuceneTestCase.random()",1,4.258037044922291E-5
"java.lang.Cloneable[1]",1,4.258037044922291E-5
"org.junit.rules.TestRule[][][2]",6,2.5548222269533745E-4
"org.junit.rules.TestRule[][][5]",1,4.258037044922291E-5
"public static void org.junit.Assert.assertTrue(boolean)",2,8.516074089844582E-5
"public static void org.junit.Assert.assertTrue(java.lang.String,boolean)",28,0.0011922503725782414
"randoop.operation.UncheckedCast@5ed996cb",1,4.258037044922291E-5
"public static void org.elasticsearch.test.ESTestCase.setProcessors()",1,4.258037044922291E-5
"randoop.operation.ArrayElementSet@167f0a6b",6,2.5548222269533745E-4
"public static org.elasticsearch.common.settings.Settings$Builder org.elasticsearch.test.ESTestCase.settings(org.elasticsearch.Version)",1,4.258037044922291E-5
"public void org.apache.lucene.util.LuceneTestCase.assertStoredFieldEquals(java.lang.String,org.apache.lucene.index.IndexableField,org.apache.lucene.index.IndexableField)",272,0.011581860762188631
"org.apache.lucene.search.QueryCachingPolicy[6]",11,4.68384074941452E-4
"org.apache.lucene.search.QueryCachingPolicy[5]",1,4.258037044922291E-5
"java.lang.String[][][1]",32,0.001362571854375133
"org.apache.lucene.search.QueryCachingPolicy[4]",1,4.258037044922291E-5
"public void org.apache.lucene.util.LuceneTestCase.setIndexWriterMaxDocs(int)",4271,0.18186076218863104
"java.lang.String[][][0]",1,4.258037044922291E-5
"org.apache.lucene.search.QueryCachingPolicy[3]",1,4.258037044922291E-5
"org.apache.lucene.search.QueryCachingPolicy[2]",1,4.258037044922291E-5
"org.apache.lucene.search.QueryCachingPolicy[1]",7,2.9806259314456036E-4
"public final org.junit.rules.TestRule org.apache.lucene.util.LuceneTestCase.ruleChain",3720,0.15839897807110923
"public java.nio.file.Path org.elasticsearch.test.ESTestCase.getDataPath(java.lang.String)",323,0.013753459655099
"org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures[][][][0]",2,8.516074089844582E-5
"randoop.operation.UncheckedCast@63cca19",1,4.258037044922291E-5
"org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures[][][][1]",1,4.258037044922291E-5
"char[][][5]",1,4.258037044922291E-5
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newFSDirectory(java.nio.file.Path,org.apache.lucene.store.LockFactory)",1,4.258037044922291E-5
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newFSDirectory(java.nio.file.Path)",1,4.258037044922291E-5
"public static java.util.Random org.elasticsearch.test.ESTestCase.getRandom()",1,4.258037044922291E-5
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.SYSPROP_MONSTER",1,4.258037044922291E-5
"public static void org.junit.Assert.assertNotSame(java.lang.String,java.lang.Object,java.lang.Object)",1829,0.07787949755162869
"public static void org.junit.Assert.assertNotSame(java.lang.Object,java.lang.Object)",3567,0.1518841813923781
"randoop.operation.ArrayElementSet@145ad6e",18,7.664466680860123E-4
"public static void org.junit.Assert.assertNull(java.lang.Object)",310,0.013199914839259102
"public static void org.junit.Assert.assertNull(java.lang.String,java.lang.Object)",348,0.014817968916329572
"public static int org.apache.lucene.util.LuceneTestCase.collate(java.text.Collator,java.lang.String,java.lang.String)",144,0.006131573344688099
"randoop.operation.UncheckedCast@688688b6",10,4.258037044922291E-4
"public static void org.junit.Assert.assertEquals(java.lang.String,java.lang.Object,java.lang.Object)",241,0.010261869278262722
"public static void org.junit.Assert.assertEquals(double,double,double)",313,0.013327655950606771
"public static void org.junit.Assert.assertEquals(float,float,float)",280,0.011922503725782414
"public static void org.junit.Assert.assertEquals(java.lang.String,float,float,float)",318,0.013540557802852885
"public static void org.junit.Assert.assertEquals(java.lang.String,double,double)",306,0.01302959335746221
"public static void org.junit.Assert.assertEquals(java.lang.Object[],java.lang.Object[])",3046,0.12969980838833298
"public static void org.junit.Assert.assertEquals(java.lang.String,long,long)",335,0.014264424100489675
"public static void org.junit.Assert.assertEquals(java.lang.String,double,double,double)",320,0.01362571854375133
"public static void org.junit.Assert.assertEquals(java.lang.String,java.lang.Object[],java.lang.Object[])",800,0.03406429635937833
