Methods called,Number of times,Number of times (Normalized)
"public void fitnesse.testsystems.slim.tables.SlimTableFactoryTest.commentTableShouldReturnNull()",2963,0.09695046135724102
"public void fitnesse.testsystems.slim.tables.SlimTableFactoryTest.settable(fitnesse.testsystems.slim.Table)",44798,1.4658072115699234
"public fitnesse.testsystems.slim.Table fitnesse.testsystems.slim.tables.SlimTableFactoryTest.table",26364,0.8626398795890321
"public void fitnesse.testsystems.slim.tables.SlimTableFactoryTest.checkTableTypeDefineUsedForTable()",2804,0.09174792225639683
"public fitnesse.testsystems.slim.Table fitnesse.testsystems.slim.tables.SlimTableFactoryTest.table",27238,0.8912374844578235
"public void fitnesse.testsystems.slim.tables.SlimTableFactoryTest.shouldCreateCorrectSlimTableForTablesType()",2897,0.09479091682481514
"public java.util.Map fitnesse.testsystems.slim.tables.SlimTableFactoryTest.map",41884,1.3704600484261502
"public void fitnesse.testsystems.slim.tables.SlimTableFactoryTest.tableTypeStartingWithcommentColonShouldReturnNull()",2879,0.09420195013415353
"public fitnesse.testsystems.slim.tables.SlimTableFactory fitnesse.testsystems.slim.tables.SlimTableFactoryTest.getslimTableFactory()",22247,0.7279301092860415
"public fitnesse.testsystems.slim.tables.SlimTableFactory fitnesse.testsystems.slim.tables.SlimTableFactoryTest.slimTableFactory",24373,0.7974936195275178
"public fitnesse.testsystems.slim.tables.SlimTableFactory fitnesse.testsystems.slim.tables.SlimTableFactoryTest.slimTableFactory",40279,1.317943851842157
"public fitnesse.testsystems.slim.Table fitnesse.testsystems.slim.tables.SlimTableFactoryTest.gettable()",34822,1.1393887834565801
"fitnesse.testsystems.slim.tables.SlimTableFactoryTest()",30561,0.9999672796282966
"public void fitnesse.testsystems.slim.tables.SlimTableFactoryTest.addTableTypeImport(java.lang.String,java.lang.String)",3147,0.10297100975067076
"java.lang.Object()",1,3.272037170342255E-5
"public final native java.lang.Class java.lang.Object.getClass()",2916,0.09541260388718016
"public void fitnesse.testsystems.slim.tables.SlimTableFactoryTest.checkTableTypeDefinesIgnoredIfDifferentSpecified()",2790,0.09128983705254892
"public java.util.Map fitnesse.testsystems.slim.tables.SlimTableFactoryTest.getmap()",20622,0.6747595052679799
"public void fitnesse.testsystems.slim.tables.SlimTableFactoryTest.setslimTableFactory(fitnesse.testsystems.slim.tables.SlimTableFactory)",41521,1.3585825534978078
