Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class com.github.javafaker.Hacker,273,273,0.30952380952380953,0.30952380952380953
class com.sun.proxy.$Proxy101,1,1,0.0011337868480725624,0.0011337868480725624
class com.github.javafaker.SerializedObjectSupporter,851,1,0.9648526077097506,0.0011337868480725624
class com.github.javafaker.Book,8,8,0.009070294784580499,0.009070294784580499
class java.lang.Long,1,1,0.0011337868480725624,0.0011337868480725624
class com.github.javafaker.App,2,1,0.0022675736961451248,0.0011337868480725624
class java.lang.Boolean,6,2,0.006802721088435374,0.0022675736961451248
class java.util.Locale$LanguageRange,8,5,0.009070294784580499,0.005668934240362812
class com.github.javafaker.Options,244,242,0.2766439909297052,0.2743764172335601
class java.util.Random,439,439,0.4977324263038549,0.4977324263038549
class [Ljava.lang.String;,2,2,0.0022675736961451248,0.0022675736961451248
class java.util.ArrayList,9,7,0.01020408163265306,0.007936507936507936
class com.github.javafaker.service.RandomService,6,6,0.006802721088435374,0.006802721088435374
class com.github.javafaker.Color,159,152,0.18027210884353742,0.17233560090702948
class com.github.javafaker.Finance,122,122,0.1383219954648526,0.1383219954648526
class java.util.Locale$Builder,5,3,0.005668934240362812,0.003401360544217687
class com.github.javafaker.Company,4,4,0.0045351473922902496,0.0045351473922902496
class java.lang.String,18,4,0.02040816326530612,0.0045351473922902496
class com.github.javafaker.PhoneNumber,239,239,0.2709750566893424,0.2709750566893424
class java.util.Locale$Category,2,2,0.0022675736961451248,0.0022675736961451248
class com.github.javafaker.Business,92,92,0.10430839002267574,0.10430839002267574
class com.github.javafaker.Lorem,238,237,0.2698412698412698,0.2687074829931973
class java.lang.Double,3,2,0.003401360544217687,0.0022675736961451248
class [Ljava.util.Locale$LanguageRange;,3,3,0.003401360544217687,0.003401360544217687
class com.github.javafaker.Number,193,193,0.21882086167800455,0.21882086167800455
class com.github.javafaker.DateAndTime,130,130,0.1473922902494331,0.1473922902494331
class com.github.javafaker.Code,250,250,0.2834467120181406,0.2834467120181406
class com.github.javafaker.Name,8,8,0.009070294784580499,0.009070294784580499
class java.util.Locale,1123,19,1.2732426303854876,0.021541950113378686
class com.github.javafaker.Address,3,3,0.003401360544217687,0.003401360544217687
class com.github.javafaker.Internet,12,10,0.013605442176870748,0.011337868480725623
class com.github.javafaker.Faker,29,29,0.032879818594104306,0.032879818594104306
class java.util.stream.DoublePipeline$Head,2,2,0.0022675736961451248,0.0022675736961451248
class com.github.javafaker.service.FakeValuesService,103,103,0.11678004535147392,0.11678004535147392
class java.util.Locale$FilteringMode,1,1,0.0011337868480725624,0.0011337868480725624
class [Ljava.util.Locale;,1,1,0.0011337868480725624,0.0011337868480725624
class java.util.Collections$EmptySet,2,1,0.0022675736961451248,0.0011337868480725624
class java.util.stream.IntPipeline$Head,4,4,0.0045351473922902496,0.0045351473922902496
