Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class java.lang.Float,38,35,0.026573426573426574,0.024475524475524476
class java.util.Locale$Category,92,2,0.06433566433566433,0.0013986013986013986
class com.github.javafaker.Name,149,141,0.1041958041958042,0.0986013986013986
class [B,37,17,0.025874125874125874,0.011888111888111888
class java.lang.Long,32,21,0.022377622377622378,0.014685314685314685
class com.github.javafaker.Business,168,156,0.11748251748251748,0.10909090909090909
class com.github.javafaker.service.RandomService,67,50,0.04685314685314685,0.03496503496503497
class java.lang.Boolean,331,2,0.23146853146853147,0.0013986013986013986
class java.util.stream.LongPipeline$Head,143,143,0.1,0.1
class [Ljava.util.Locale;,3,1,0.002097902097902098,6.993006993006993E-4
class java.util.Random,1260,1260,0.8811188811188811,0.8811188811188811
class com.github.javafaker.PhoneNumber,211,194,0.14755244755244756,0.13566433566433567
class java.util.ArrayList,534,29,0.3734265734265734,0.02027972027972028
class java.lang.Integer,230,42,0.16083916083916083,0.02937062937062937
class com.github.javafaker.DateAndTime,146,128,0.1020979020979021,0.08951048951048951
class com.github.javafaker.Lorem,93,90,0.06503496503496503,0.06293706293706294
class java.util.Locale$Builder,818,188,0.5720279720279721,0.13146853146853146
class java.lang.Class,17,8,0.011888111888111888,0.005594405594405594
class com.github.javafaker.Code,157,142,0.10979020979020979,0.0993006993006993
class com.github.javafaker.Number,385,265,0.2692307692307692,0.1853146853146853
class java.util.Locale$FilteringMode,31,5,0.021678321678321677,0.0034965034965034965
class java.lang.String,1870,80,1.3076923076923077,0.055944055944055944
class com.sun.proxy.$Proxy4,17,17,0.011888111888111888,0.011888111888111888
class java.lang.Double,428,403,0.2993006993006993,0.2818181818181818
class com.github.javafaker.service.FakeValuesService,100,100,0.06993006993006994,0.06993006993006994
class com.github.javafaker.Finance,178,165,0.12447552447552447,0.11538461538461539
class java.util.stream.IntPipeline$Head,200,200,0.13986013986013987,0.13986013986013987
class com.github.javafaker.Options,120,111,0.08391608391608392,0.07762237762237763
class com.github.javafaker.Company,149,144,0.1041958041958042,0.1006993006993007
class com.github.javafaker.Book,127,124,0.08881118881118881,0.08671328671328671
class java.util.Locale,1415,190,0.9895104895104895,0.13286713286713286
class java.util.Collections$EmptySet,192,1,0.13426573426573427,6.993006993006993E-4
class com.github.javafaker.Color,207,196,0.14475524475524476,0.13706293706293707
class com.github.javafaker.Address,138,131,0.0965034965034965,0.09160839160839161
class com.github.javafaker.Faker,1516,1516,1.0601398601398602,1.0601398601398602
class [Ljava.lang.String;,106,3,0.07412587412587412,0.002097902097902098
class [Ljava.util.Locale$LanguageRange;,139,5,0.0972027972027972,0.0034965034965034965
class com.github.javafaker.Internet,68,66,0.04755244755244755,0.046153846153846156
class java.util.stream.DoublePipeline$Head,119,119,0.08321678321678322,0.08321678321678322
class java.util.Locale$LanguageRange,146,52,0.1020979020979021,0.03636363636363636
class java.lang.Character,2,2,0.0013986013986013986,0.0013986013986013986
