Methods called,Number of times,Number of times (Normalized)
"public org.jsoup.nodes.Document org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectDocument370() throws java.io.IOException",2,0.005115089514066497
"public org.jsoup.nodes.Document org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectDocument132() throws java.io.IOException",2,0.005115089514066497
"public org.jsoup.nodes.TextNode org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectTextNode409() throws java.io.IOException",6,0.015345268542199489
"public org.jsoup.nodes.Document org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectDocument373() throws java.io.IOException",1,0.0025575447570332483
"public void org.jsoup.nodes.Document$OutputSettings.setindentAmount(int)",27,0.06905370843989769
"public org.jsoup.nodes.Document org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectDocument378() throws java.io.IOException",1,0.0025575447570332483
"public org.jsoup.nodes.Document org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectDocument257() throws java.io.IOException",2,0.005115089514066497
"public org.jsoup.nodes.Document org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectDocument133() throws java.io.IOException",1,0.0025575447570332483
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder353() throws java.io.IOException",1,0.0025575447570332483
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder83() throws java.io.IOException",1,0.0025575447570332483
"public org.jsoup.nodes.Document org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectDocument376() throws java.io.IOException",1,0.0025575447570332483
"public org.jsoup.nodes.Document org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectDocument255() throws java.io.IOException",1,0.0025575447570332483
"public org.jsoup.nodes.Document org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectDocument139() throws java.io.IOException",1,0.0025575447570332483
"public org.jsoup.nodes.TextNode org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectTextNode400() throws java.io.IOException",2,0.005115089514066497
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder70() throws java.io.IOException",1,0.0025575447570332483
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder240() throws java.io.IOException",1,0.0025575447570332483
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder242() throws java.io.IOException",1,0.0025575447570332483
"public boolean org.jsoup.nodes.Document$OutputSettings.prettyPrint()",3,0.0076726342710997444
"public java.nio.charset.CharsetEncoder org.jsoup.nodes.Document$OutputSettings.getcharsetEncoder()",4,0.010230179028132993
"public org.jsoup.nodes.Document$OutputSettings org.jsoup.nodes.Document$OutputSettings.prettyPrint(boolean)",8,0.020460358056265986
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder124() throws java.io.IOException",1,0.0025575447570332483
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder244() throws java.io.IOException",1,0.0025575447570332483
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder365() throws java.io.IOException",1,0.0025575447570332483
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder360() throws java.io.IOException",1,0.0025575447570332483
"public org.jsoup.nodes.Attributes org.jsoup.nodes.TextNode.attributes()",3,0.0076726342710997444
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder125() throws java.io.IOException",1,0.0025575447570332483
"public org.jsoup.nodes.TextNode org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectTextNode405() throws java.io.IOException",1,0.0025575447570332483
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder249() throws java.io.IOException",3,0.0076726342710997444
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder248() throws java.io.IOException",2,0.005115089514066497
"public org.jsoup.nodes.TextNode org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectTextNode403() throws java.io.IOException",1,0.0025575447570332483
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder126() throws java.io.IOException",4,0.010230179028132993
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder76() throws java.io.IOException",1,0.0025575447570332483
"public org.jsoup.nodes.Document org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectDocument369() throws java.io.IOException",6,0.015345268542199489
"public org.jsoup.nodes.Document org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectDocument242() throws java.io.IOException",1,0.0025575447570332483
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder74() throws java.io.IOException",5,0.01278772378516624
"public org.jsoup.nodes.Document org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectDocument120() throws java.io.IOException",1,0.0025575447570332483
"public org.jsoup.nodes.Entities$EscapeMode org.jsoup.nodes.Document$OutputSettings.getescapeMode()",2,0.005115089514066497
"public org.jsoup.nodes.Document org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectDocument243() throws java.io.IOException",1,0.0025575447570332483
"public final int org.jsoup.nodes.Node.childNodeSize()",3,0.0076726342710997444
"public org.jsoup.nodes.Document org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectDocument245() throws java.io.IOException",1,0.0025575447570332483
"public org.jsoup.nodes.Document org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectDocument366() throws java.io.IOException",1,0.0025575447570332483
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder243() throws java.io.IOException",1,0.0025575447570332483
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder72() throws java.io.IOException",3,0.0076726342710997444
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder380() throws java.io.IOException",1,0.0025575447570332483
"public org.jsoup.nodes.Document org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectDocument247() throws java.io.IOException",1,0.0025575447570332483
"public org.jsoup.nodes.Document org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectDocument365() throws java.io.IOException",3,0.0076726342710997444
"public org.jsoup.nodes.Document org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectDocument249() throws java.io.IOException",2,0.005115089514066497
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder370() throws java.io.IOException",4,0.010230179028132993
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder131() throws java.io.IOException",1,0.0025575447570332483
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder373() throws java.io.IOException",1,0.0025575447570332483
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder372() throws java.io.IOException",1,0.0025575447570332483
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder251() throws java.io.IOException",2,0.005115089514066497
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder132() throws java.io.IOException",27,0.06905370843989769
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder253() throws java.io.IOException",1,0.0025575447570332483
"public boolean org.jsoup.nodes.Document$OutputSettings.prettyPrint",2,0.005115089514066497
"public void org.jsoup.nodes.Document$OutputSettings.setcharsetEncoder(java.nio.charset.CharsetEncoder)",3,0.0076726342710997444
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder136() throws java.io.IOException",1,0.0025575447570332483
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder257() throws java.io.IOException",1,0.0025575447570332483
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder139() throws java.io.IOException",2,0.005115089514066497
"public java.lang.StringBuilder org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectStringBuilder138() throws java.io.IOException",6,0.015345268542199489
"public org.jsoup.nodes.Document org.jsoup.nodes.SerializedObjectSupporter.deserializeObjectDocument240() throws java.io.IOException",1,0.0025575447570332483
"public java.lang.String org.jsoup.nodes.TextNode.text()",1,0.0025575447570332483
