Methods called,Number of times,Number of times (Normalized)
"public org.jsoup.nodes.Node org.jsoup.nodes.TextNode.removeAttr(java.lang.String)",1906,0.10950247041250144
"public void org.jsoup.nodes.Document$OutputSettings.setprettyPrint(boolean)",1991,0.11438584396185224
"public boolean org.jsoup.nodes.TextNode.hasAttr(java.lang.String)",3190,0.18327013673445938
"public void org.jsoup.nodes.Document$OutputSettings.setindentAmount(int)",5106,0.2933471216821786
"public org.jsoup.nodes.Node org.jsoup.nodes.Node.after(org.jsoup.nodes.Node)",450,0.025853154084798345
"public static boolean org.jsoup.nodes.TextNode.lastCharIsWhitespace(java.lang.StringBuilder)",1,5.74514535217741E-5
"public org.jsoup.nodes.Node org.jsoup.nodes.Node.after(java.lang.String)",437,0.02510628518901528
"public org.jsoup.nodes.Document$OutputSettings org.jsoup.nodes.Document$OutputSettings.clone()",24192,1.3898655635987591
"public void org.jsoup.nodes.Document$OutputSettings.setcharset(java.nio.charset.Charset)",5029,0.288923359761002
"public static final java.lang.String org.jsoup.nodes.TextNode.TEXT_KEY",1,5.74514535217741E-5
"public static java.lang.String org.jsoup.nodes.TextNode.stripLeadingWhitespace(java.lang.String)",10,5.74514535217741E-4
"public java.nio.charset.Charset org.jsoup.nodes.Document$OutputSettings.charset",11993,0.6890152820866368
"public int org.jsoup.nodes.Document$OutputSettings.indentAmount()",25299,1.453464322647363
"public org.jsoup.nodes.Document$OutputSettings org.jsoup.nodes.Document$OutputSettings.indentAmount(int)",7088,0.4072159025623348
"public java.nio.charset.Charset org.jsoup.nodes.Document$OutputSettings.charset",2820,0.16201309893140298
"public org.jsoup.nodes.Node org.jsoup.nodes.Node.before(org.jsoup.nodes.Node)",462,0.026542571527059633
"public org.jsoup.nodes.Node org.jsoup.nodes.Node.before(java.lang.String)",413,0.023727450304492703
"public java.nio.charset.CharsetEncoder org.jsoup.nodes.Document$OutputSettings.getcharsetEncoder()",5897,0.33879122141790186
"public org.jsoup.nodes.Document$OutputSettings org.jsoup.nodes.Document$OutputSettings.prettyPrint(boolean)",8920,0.512466965414225
