Methods called,Number of times,Number of times (Normalized)
"public abstract short java.nio.ByteBuffer.getShort(int)",2815,0.27041306436119117
"public static final int java.util.regex.Pattern.MULTILINE",1,9.606147934678194E-5
"public abstract short java.nio.ByteBuffer.getShort()",639,0.06138328530259366
"public final int java.nio.Buffer.remaining()",327,0.0314121037463977
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.putInt(int)",13066,1.2551392891450528
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.putInt(int,int)",318,0.03054755043227666
"public java.util.Map org.jsoup.helper.HttpConnection$Base.cookies()",1894,0.181940441882805
"public java.nio.ByteBuffer org.jsoup.helper.HttpConnection$Response.byteData",1492,0.14332372718539865
"public abstract java.nio.FloatBuffer java.nio.ByteBuffer.asFloatBuffer()",1376,0.13218059558117196
"public java.nio.ByteBuffer org.jsoup.helper.HttpConnection$Response.byteData",707,0.06791546589817483
"public static java.util.regex.Pattern java.util.regex.Pattern.compile(java.lang.String,int)",1817,0.17454370797310279
"public static java.util.regex.Pattern java.util.regex.Pattern.compile(java.lang.String)",168,0.016138328530259365
"public final int java.nio.Buffer.position()",2779,0.266954851104707
"public final java.nio.Buffer java.nio.Buffer.position(int)",473,0.045437079731027855
"public java.lang.String org.jsoup.helper.HttpConnection$Response.statusMessage",347,0.03333333333333333
"public java.lang.String org.jsoup.helper.HttpConnection$Response.statusMessage",694,0.06666666666666667
"public byte[] org.jsoup.helper.HttpConnection$Response.bodyAsBytes()",122,0.011719500480307397
"public java.lang.String org.jsoup.helper.HttpConnection$Response.body()",98,0.00941402497598463
"public static java.util.regex.Pattern org.jsoup.helper.HttpConnection$Response.xmlContentTypeRxp",1254,0.12046109510086456
"public abstract java.nio.LongBuffer java.nio.ByteBuffer.asLongBuffer()",338,0.032468780019212294
"public static java.util.regex.Pattern org.jsoup.helper.HttpConnection$Response.xmlContentTypeRxp",698,0.0670509125840538
"public static java.util.LinkedHashMap org.jsoup.helper.HttpConnection$Response.createHeaderMap(java.net.HttpURLConnection)",1,9.606147934678194E-5
"public static final int java.util.regex.Pattern.CANON_EQ",1,9.606147934678194E-5
"public java.lang.String org.jsoup.helper.HttpConnection$Response.charset()",686,0.0658981748318924
"public static final int java.util.regex.Pattern.UNICODE_CHARACTER_CLASS",1,9.606147934678194E-5
"public int org.jsoup.helper.HttpConnection$Response.statusCode()",553,0.05312199807877041
"public java.net.Socket javax.net.SocketFactory.createSocket() throws java.io.IOException",1960,0.1882804995196926
"public abstract java.net.Socket javax.net.SocketFactory.createSocket(java.net.InetAddress,int,java.net.InetAddress,int) throws java.io.IOException",139,0.01335254562920269
"public abstract java.net.Socket javax.net.SocketFactory.createSocket(java.lang.String,int,java.net.InetAddress,int) throws java.io.IOException,java.net.UnknownHostException",132,0.012680115273775217
"public abstract java.net.Socket javax.net.SocketFactory.createSocket(java.lang.String,int) throws java.io.IOException,java.net.UnknownHostException",126,0.012103746397694525
"public abstract java.net.Socket javax.net.SocketFactory.createSocket(java.net.InetAddress,int) throws java.io.IOException",267,0.025648414985590777
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.asReadOnlyBuffer()",642,0.061671469740634005
"public static java.lang.String org.jsoup.helper.HttpConnection$Response.setOutputContentType(org.jsoup.Connection$Request)",1,9.606147934678194E-5
"public boolean org.jsoup.helper.HttpConnection$Base.hasHeader(java.lang.String)",302,0.029010566762728146
"public abstract double java.nio.ByteBuffer.getDouble()",2385,0.22910662824207492
"public abstract double java.nio.ByteBuffer.getDouble(int)",545,0.05235350624399616
"public boolean org.jsoup.helper.HttpConnection$Base.hasHeaderWithValue(java.lang.String,java.lang.String)",261,0.025072046109510086
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.compact()",756,0.07262247838616714
"public java.lang.String org.jsoup.helper.HttpConnection$Base.getHeaderCaseInsensitive(java.lang.String)",2733,0.26253602305475504
