Methods called,Number of times,Number of times (Normalized)
"public static java.lang.String org.jsoup.helper.HttpConnection$Response.getRequestCookieString(org.jsoup.Connection$Request)",1,3.863390511512904E-5
"public java.util.Map org.jsoup.helper.HttpConnection$Base.cookies()",15042,0.5811312007417709
"public static void org.jsoup.helper.HttpConnection$Response.serialiseRequestUrl(org.jsoup.Connection$Request) throws java.io.IOException",1,3.863390511512904E-5
"public java.nio.ByteBuffer org.jsoup.helper.HttpConnection$Response.byteData",10487,0.4051537629423582
"public java.nio.ByteBuffer org.jsoup.helper.HttpConnection$Response.byteData",4929,0.19042651831247104
"public java.lang.String org.jsoup.helper.HttpConnection$Response.statusMessage",10210,0.3944521712254675
"public java.lang.String org.jsoup.helper.HttpConnection$Response.statusMessage",7183,0.2775073404419719
"public byte[] org.jsoup.helper.HttpConnection$Response.bodyAsBytes()",1038,0.04010199350950394
"public java.lang.String org.jsoup.helper.HttpConnection$Response.body()",1030,0.03979292226858291
"public static java.util.regex.Pattern org.jsoup.helper.HttpConnection$Response.xmlContentTypeRxp",6,2.318034306907742E-4
"public static java.util.regex.Pattern org.jsoup.helper.HttpConnection$Response.xmlContentTypeRxp",1,3.863390511512904E-5
"public java.lang.String org.jsoup.helper.HttpConnection$Response.charset()",7392,0.2855818266110338
"public static int org.jsoup.helper.HttpConnection$Response.MAX_REDIRECTS",25,9.658476278782259E-4
"public static int org.jsoup.helper.HttpConnection$Response.MAX_REDIRECTS",1,3.863390511512904E-5
"public int org.jsoup.helper.HttpConnection$Response.statusCode()",6803,0.26282645649822284
"public org.jsoup.Connection$Base org.jsoup.helper.HttpConnection$Base.cookie(java.lang.String,java.lang.String)",3444,0.1330551692165044
"public java.lang.String org.jsoup.helper.HttpConnection$Base.cookie(java.lang.String)",5148,0.19888734353268428
"public org.jsoup.Connection$Base org.jsoup.helper.HttpConnection$Base.method(org.jsoup.Connection$Method)",1044,0.04033379694019471
"public org.jsoup.Connection$Method org.jsoup.helper.HttpConnection$Base.method()",6533,0.252395302117138
"public static java.lang.String org.jsoup.helper.HttpConnection$Response.setOutputContentType(org.jsoup.Connection$Request)",1,3.863390511512904E-5
"public boolean org.jsoup.helper.HttpConnection$Base.hasHeader(java.lang.String)",4936,0.19069695564827693
"public boolean org.jsoup.helper.HttpConnection$Base.hasHeaderWithValue(java.lang.String,java.lang.String)",2490,0.0961984237366713
"public java.lang.String org.jsoup.helper.HttpConnection$Base.getHeaderCaseInsensitive(java.lang.String)",5753,0.22226085612733734
"public static org.jsoup.helper.HttpConnection$Response org.jsoup.helper.HttpConnection$Response.execute(org.jsoup.Connection$Request,org.jsoup.helper.HttpConnection$Response) throws java.io.IOException",961,0.037127182815639
"public static org.jsoup.helper.HttpConnection$Response org.jsoup.helper.HttpConnection$Response.execute(org.jsoup.Connection$Request) throws java.io.IOException",1,3.863390511512904E-5
"public boolean org.jsoup.helper.HttpConnection$Response.executed",5054,0.19525575645186216
"public boolean org.jsoup.helper.HttpConnection$Response.executed",6458,0.2494977592335033
"public org.jsoup.Connection$Base org.jsoup.helper.HttpConnection$Base.removeHeader(java.lang.String)",7222,0.2790140627414619
"public int org.jsoup.helper.HttpConnection$Response.numRedirects",7400,0.2858908978519549
"public int org.jsoup.helper.HttpConnection$Response.numRedirects",4448,0.17184360995209397
"public static java.lang.String org.jsoup.helper.HttpConnection$Response.LOCATION",2,7.726781023025808E-5
"public static java.lang.String org.jsoup.helper.HttpConnection$Response.LOCATION",1,3.863390511512904E-5
"public java.lang.String org.jsoup.helper.HttpConnection$Response.charset",6837,0.2641400092721372
"public java.lang.String org.jsoup.helper.HttpConnection$Response.charset",6192,0.23922114047287898
"public int org.jsoup.helper.HttpConnection$Response.statusCode",21071,0.8140550146808839
"public org.jsoup.Connection$Base org.jsoup.helper.HttpConnection$Base.removeCookie(java.lang.String)",4253,0.1643099984546438
"public int org.jsoup.helper.HttpConnection$Response.statusCode",7175,0.27719826920105084
"public java.lang.String org.jsoup.helper.HttpConnection$Response.contentType()",4392,0.16968011126564672
"public java.util.Map org.jsoup.helper.HttpConnection$Base.headers()",5671,0.21909287590789678
"public final native java.lang.Class java.lang.Object.getClass()",1014,0.039174779786740846
"public org.jsoup.Connection$Request org.jsoup.helper.HttpConnection$Response.req",7795,0.3011512903724308
"public org.jsoup.Connection$Request org.jsoup.helper.HttpConnection$Response.req",6417,0.24791376912378305
"public java.lang.String org.jsoup.helper.HttpConnection$Response.contentType",9410,0.3635450471333642
"public java.lang.String org.jsoup.helper.HttpConnection$Response.contentType",11818,0.45657549065059494
"public boolean org.jsoup.helper.HttpConnection$Base.hasCookie(java.lang.String)",2542,0.09820738680265802
"public org.jsoup.Connection$Base org.jsoup.helper.HttpConnection$Base.url(java.net.URL)",1003,0.03874980683047442
"public java.net.URL org.jsoup.helper.HttpConnection$Base.url()",7122,0.275150672229949
"public static void org.jsoup.helper.HttpConnection$Response.writePost(org.jsoup.Connection$Request,java.io.OutputStream,java.lang.String) throws java.io.IOException",2,7.726781023025808E-5
"public void org.jsoup.helper.HttpConnection$Response.setupFromConnection(java.net.HttpURLConnection,org.jsoup.Connection$Response) throws java.io.IOException",1009,0.0389816102611652
"public static java.net.HttpURLConnection org.jsoup.helper.HttpConnection$Response.createConnection(org.jsoup.Connection$Request) throws java.io.IOException",1,3.863390511512904E-5
"public java.lang.String org.jsoup.helper.HttpConnection$Response.statusMessage()",5090,0.1966465770360068
"public org.jsoup.nodes.Document org.jsoup.helper.HttpConnection$Response.parse() throws java.io.IOException",958,0.03701128110029362
"public java.util.Map$Entry org.jsoup.helper.HttpConnection$Base.scanHeaders(java.lang.String)",13202,0.5100448153299335
"org.jsoup.helper.HttpConnection$Response(org.jsoup.helper.HttpConnection$Response)",30842,1.1915469015608098
"public org.jsoup.Connection$Base org.jsoup.helper.HttpConnection$Base.header(java.lang.String,java.lang.String)",3617,0.13973883480142174
"public java.lang.String org.jsoup.helper.HttpConnection$Base.header(java.lang.String)",7285,0.281447998763715
