Methods called,Number of times,Number of times (Normalized)
"public com.badlogic.gdx.graphics.Color com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.initialBackgroundColor",3571,0.18331622176591375
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setHdpiMode(com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration$HdpiMode)",1091,0.05600616016427105
"public com.badlogic.gdx.graphics.Color com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.initialBackgroundColor",2990,0.15349075975359344
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.audioDeviceSimultaneousSources",16190,0.8311088295687885
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.audioDeviceSimultaneousSources",1959,0.10056468172484599
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setwindowHeight(int)",3332,0.17104722792607802
"public static com.badlogic.gdx.Graphics$Monitor com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.getPrimaryMonitor()",1,5.13347022587269E-5
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.audioDeviceBufferSize",4131,0.21206365503080082
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.audioDeviceBufferSize",1026,0.0526694045174538
"public java.lang.String com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.title",1792,0.0919917864476386
"public java.lang.String com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.title",1419,0.07284394250513347
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.getwindowMinWidth()",1157,0.05939425051334702
"Pixels",264,0.013552361396303902
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.windowHeight",2190,0.11242299794661191
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.windowHeight",2432,0.12484599589322382
"public com.badlogic.gdx.Files$FileType com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.preferencesFileType",2494,0.1280287474332649
"public com.badlogic.gdx.Files$FileType com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.preferencesFileType",2922,0.15
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setPreferencesConfig(java.lang.String,com.badlogic.gdx.Files$FileType)",2613,0.1341375770020534
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setwindowResizable(boolean)",1868,0.09589322381930185
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.windowMaxHeight",6540,0.33572895277207393
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.windowMaxHeight",2648,0.13593429158110884
"public boolean com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.getdisableAudio()",1304,0.06694045174537988
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setWindowedMode(int,int)",834,0.042813141683778234
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.getaudioDeviceBufferCount()",3211,0.16483572895277207
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setBackBufferConfig(int,int,int,int,int,int,int)",3554,0.1824435318275154
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.getgles30ContextMinorVersion()",1616,0.08295687885010267
"public boolean com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.getvSyncEnabled()",1673,0.0858829568788501
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.gles30ContextMinorVersion",1378,0.07073921971252567
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.useOpenGL3(boolean,int,int)",1440,0.07392197125256673
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setDecorated(boolean)",1434,0.07361396303901438
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.gles30ContextMinorVersion",1009,0.05179671457905544
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setwindowMinWidth(int)",1194,0.061293634496919915
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setwindowDecorated(boolean)",969,0.049743326488706364
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.stencil",1295,0.06647843942505134
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.stencil",1254,0.06437371663244353
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.getaudioDeviceSimultaneousSources()",814,0.041786447638603695
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setwindowY(int)",3064,0.15728952772073923
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setwindowX(int)",1410,0.07238193018480493
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setTitle(java.lang.String)",6006,0.3083162217659138
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setpreferencesFileType(com.badlogic.gdx.Files$FileType)",3155,0.16196098562628336
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setpreferencesDirectory(java.lang.String)",1426,0.07320328542094456
"public final native java.lang.Class java.lang.Object.getClass()",331,0.016991786447638605
"public com.badlogic.gdx.backends.lwjgl3.Lwjgl3WindowListener com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.windowListener",6316,0.3242299794661191
"public com.badlogic.gdx.backends.lwjgl3.Lwjgl3WindowListener com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.windowListener",1840,0.0944558521560575
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.getaudioDeviceBufferSize()",2519,0.12931211498973305
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.getwindowHeight()",964,0.04948665297741273
"public static com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.copy(com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration)",3113,0.15980492813141683
"public boolean com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.windowResizable",2556,0.13121149897330595
"public boolean com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.windowResizable",1745,0.08957905544147844
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setuseGL30(boolean)",2010,0.10318275154004107
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setaudioDeviceSimultaneousSources(int)",1389,0.07130390143737167
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setsamples(int)",1449,0.07438398357289527
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.getsamples()",3363,0.17263860369609857
"public boolean com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.getuseGL30()",1655,0.08495893223819302
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.getwindowWidth()",2139,0.10980492813141683
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.windowMinWidth",1488,0.07638603696098563
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.windowMinWidth",2185,0.11216632443531828
"public java.lang.String com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.preferencesDirectory",1245,0.06391170431211499
"public java.lang.String com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.preferencesDirectory",1727,0.08865503080082135
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setvSyncEnabled(boolean)",2563,0.13157084188911705
"public boolean com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.getwindowResizable()",1362,0.06991786447638604
"public boolean com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.getwindowDecorated()",1456,0.07474332648870637
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setdepth(int)",1092,0.05605749486652977
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.getdepth()",1206,0.06190965092402464
"public boolean com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.disableAudio",1104,0.056673511293634495
"public boolean com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.disableAudio",1256,0.06447638603696099
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setInitialBackgroundColor(com.badlogic.gdx.graphics.Color)",2769,0.14214579055441479
"public boolean com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.vSyncEnabled",3797,0.19491786447638604
"public boolean com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.vSyncEnabled",1471,0.07551334702258727
"public com.badlogic.gdx.Files$FileType com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.getpreferencesFileType()",2988,0.15338809034907597
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setwindowWidth(int)",2190,0.11242299794661191
"public com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration$HdpiMode com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.hdpiMode",2228,0.11437371663244353
"public com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration$HdpiMode com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.hdpiMode",1291,0.06627310061601643
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setdisableAudio(boolean)",1975,0.10138603696098562
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.useVsync(boolean)",751,0.0385523613963039
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setFullscreenMode(com.badlogic.gdx.Graphics$DisplayMode)",1451,0.07448665297741273
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setgles30ContextMajorVersion(int)",1603,0.08228952772073922
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setaudioDeviceBufferCount(int)",1026,0.0526694045174538
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.setWindowPosition(int,int)",1315,0.06750513347022587
"public void com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.disableAudio(boolean)",1531,0.07859342915811088
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.windowMinHeight",8082,0.4148870636550308
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.windowMinHeight",1703,0.08742299794661192
"public int com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.audioDeviceBufferCount",1524,0.0782340862422998
