Methods called,Number of times,Number of times (Normalized)
"org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder(int, int, int, int, int, boolean)",221,0.09558823529411764
"org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder(int, int, int, int, int)",248,0.10726643598615918
"org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder(int, int, int)",250,0.10813148788927336
"public void org.jboss.netty.buffer.DynamicChannelBuffer.setMedium(int,int)",21,0.009083044982698962
"public void org.jboss.netty.channel.SimpleChannelUpstreamHandler.writeComplete(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.WriteCompletionEvent) throws java.lang.Exception",6,0.0025951557093425604
"public short org.jboss.netty.buffer.AbstractChannelBuffer.getUnsignedByte(int)",43,0.018598615916955018
"public long org.jboss.netty.buffer.DynamicChannelBuffer.getLong(int)",21,0.009083044982698962
"public int org.jboss.netty.buffer.AbstractChannelBuffer.readableBytes()",107,0.046280276816609
"public void org.jboss.netty.buffer.AbstractChannelBuffer.setFloat(int,float)",70,0.03027681660899654
"public int org.jboss.netty.buffer.AbstractChannelBuffer.getMedium(int)",88,0.03806228373702422
"public boolean org.jboss.netty.buffer.AbstractChannelBuffer.readable()",55,0.02378892733564014
"byte[0]",1,4.3252595155709344E-4
"public int org.jboss.netty.buffer.AbstractChannelBuffer.compareTo(org.jboss.netty.buffer.ChannelBuffer)",51,0.022058823529411766
"org.jboss.netty.buffer.DynamicChannelBuffer(java.nio.ByteOrder, int)",2674,1.1565743944636677
"org.jboss.netty.buffer.DynamicChannelBuffer(int)",5503,2.3801903114186853
"org.jboss.netty.buffer.DynamicChannelBuffer(java.nio.ByteOrder, int, org.jboss.netty.buffer.ChannelBufferFactory)",797,0.34472318339100344
"public int org.jboss.netty.buffer.DynamicChannelBuffer.setBytes(int,java.nio.channels.ScatteringByteChannel,int) throws java.io.IOException",17,0.007352941176470588
"public void org.jboss.netty.buffer.DynamicChannelBuffer.setBytes(int,byte[],int,int)",26,0.01124567474048443
"public int org.jboss.netty.buffer.DynamicChannelBuffer.setBytes(int,java.io.InputStream,int) throws java.io.IOException",22,0.009515570934256055
"public void org.jboss.netty.buffer.DynamicChannelBuffer.setBytes(int,java.nio.ByteBuffer)",54,0.023356401384083045
"public void org.jboss.netty.buffer.DynamicChannelBuffer.setBytes(int,org.jboss.netty.buffer.ChannelBuffer,int,int)",394,0.1704152249134948
"public int org.jboss.netty.buffer.AbstractChannelBuffer.readMedium()",13,0.005622837370242215
"public java.nio.ByteBuffer org.jboss.netty.buffer.AbstractChannelBuffer.toByteBuffer()",406,0.17560553633217993
"public void org.jboss.netty.channel.SimpleChannelUpstreamHandler.childChannelClosed(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.ChildChannelStateEvent) throws java.lang.Exception",9,0.0038927335640138406
"public void org.jboss.netty.buffer.AbstractChannelBuffer.getBytes(int,byte[])",85,0.03676470588235294
"public void org.jboss.netty.buffer.AbstractChannelBuffer.getBytes(int,org.jboss.netty.buffer.ChannelBuffer)",16,0.006920415224913495
"public void org.jboss.netty.buffer.AbstractChannelBuffer.getBytes(int,org.jboss.netty.buffer.ChannelBuffer,int)",22,0.009515570934256055
"public java.nio.ByteOrder org.jboss.netty.buffer.DynamicChannelBuffer.order()",1153,0.4987024221453287
"public void org.jboss.netty.buffer.AbstractChannelBuffer.writeDouble(double)",72,0.031141868512110725
"public org.jboss.netty.buffer.ChannelBuffer org.jboss.netty.buffer.DynamicChannelBuffer.slice(int,int)",66,0.028546712802768166
"public void org.jboss.netty.handler.codec.frame.FrameDecoder.channelClosed(org.jboss.netty.channel.ChannelHandlerContext,org.jboss.netty.channel.ChannelStateEvent) throws java.lang.Exception",13,0.005622837370242215
"public org.jboss.netty.buffer.ChannelBuffer org.jboss.netty.buffer.DynamicChannelBuffer.copy(int,int)",30,0.012975778546712802
"public void org.jboss.netty.buffer.AbstractChannelBuffer.writerIndex(int)",106,0.045847750865051905
"public int org.jboss.netty.buffer.AbstractChannelBuffer.writerIndex()",58,0.025086505190311418
"public void org.jboss.netty.buffer.AbstractChannelBuffer.discardReadBytes()",74,0.03200692041522491
"public int org.jboss.netty.buffer.AbstractChannelBuffer.bytesBefore(org.jboss.netty.buffer.ChannelBufferIndexFinder)",42,0.018166089965397925
"public int org.jboss.netty.buffer.AbstractChannelBuffer.bytesBefore(int,byte)",35,0.01513840830449827
"public int org.jboss.netty.buffer.AbstractChannelBuffer.bytesBefore(int,org.jboss.netty.buffer.ChannelBufferIndexFinder)",26,0.01124567474048443
"public int org.jboss.netty.buffer.AbstractChannelBuffer.bytesBefore(int,int,byte)",31,0.013408304498269897
"public int org.jboss.netty.buffer.DynamicChannelBuffer.getUnsignedMedium(int)",38,0.01643598615916955
"public int org.jboss.netty.buffer.AbstractChannelBuffer.bytesBefore(int,int,org.jboss.netty.buffer.ChannelBufferIndexFinder)",12,0.005190311418685121
"public int org.jboss.netty.buffer.AbstractChannelBuffer.bytesBefore(byte)",46,0.019896193771626297
"public int org.jboss.netty.buffer.AbstractChannelBuffer.getUnsignedShort(int)",42,0.018166089965397925
"public void org.jboss.netty.buffer.AbstractChannelBuffer.setIndex(int,int)",24,0.010380622837370242
"public void org.jboss.netty.buffer.AbstractChannelBuffer.setBytes(int,byte[])",66,0.028546712802768166
"public void org.jboss.netty.buffer.AbstractChannelBuffer.setBytes(int,org.jboss.netty.buffer.ChannelBuffer)",67,0.02897923875432526
