Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder,114,27,0.04930795847750865,0.011678200692041523
class java.lang.Float,24,6,0.010380622837370242,0.0025951557093425604
class org.jboss.netty.buffer.TruncatedChannelBuffer,25,18,0.010813148788927335,0.007785467128027681
class java.lang.String,263,12,0.11375432525951557,0.005190311418685121
class java.nio.ByteOrder,1153,1,0.4987024221453287,4.3252595155709344E-4
class java.lang.Byte,1251,1,0.5410899653979239,4.3252595155709344E-4
class java.lang.Short,111,5,0.04801038062283737,0.0021626297577854673
class org.jboss.netty.buffer.BigEndianHeapChannelBuffer,167,2,0.0722318339100346,8.650519031141869E-4
class java.lang.Double,27,5,0.011678200692041523,0.0021626297577854673
class [B,220,23,0.09515570934256055,0.009948096885813149
class java.lang.Long,213,5,0.0921280276816609,0.0021626297577854673
class org.jboss.netty.buffer.HeapChannelBufferFactory,670,1,0.2897923875432526,4.3252595155709344E-4
class java.nio.HeapByteBuffer,410,31,0.1773356401384083,0.013408304498269897
class java.lang.Boolean,244,2,0.10553633217993079,8.650519031141869E-4
class [Ljava.nio.ByteBuffer;,97,10,0.04195501730103806,0.004325259515570935
class org.jboss.netty.buffer.SlicedChannelBuffer,40,7,0.01730103806228374,0.003027681660899654
class org.jboss.netty.buffer.DynamicChannelBuffer,8999,111,3.892301038062284,0.04801038062283737
class java.lang.Integer,2079,37,0.8992214532871973,0.016003460207612456
class java.lang.Class,14,4,0.006055363321799308,0.0017301038062283738
class org.jboss.netty.buffer.DuplicatedChannelBuffer,1049,33,0.453719723183391,0.014273356401384083
class java.lang.Character,38,4,0.01643598615916955,0.0017301038062283738
