Methods called,Number of times,Number of times (Normalized)
"org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder(int, int, int, int, int, boolean)",27,0.03096330275229358
"org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder(int, int, int, int, int)",32,0.03669724770642202
"org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder(int, int, int)",21,0.02408256880733945
"public void org.jboss.netty.buffer.DynamicChannelBuffer.setMedium(int,int)",17,0.0194954128440367
"public short org.jboss.netty.buffer.AbstractChannelBuffer.getUnsignedByte(int)",12,0.013761467889908258
"public long org.jboss.netty.buffer.DynamicChannelBuffer.getLong(int)",16,0.01834862385321101
"public int org.jboss.netty.buffer.AbstractChannelBuffer.readableBytes()",95,0.10894495412844037
"public void org.jboss.netty.buffer.AbstractChannelBuffer.setFloat(int,float)",34,0.0389908256880734
"public int org.jboss.netty.buffer.AbstractChannelBuffer.getMedium(int)",9,0.010321100917431193
"public boolean org.jboss.netty.buffer.AbstractChannelBuffer.readable()",66,0.07568807339449542
"public int org.jboss.netty.buffer.AbstractChannelBuffer.compareTo(org.jboss.netty.buffer.ChannelBuffer)",59,0.0676605504587156
"org.jboss.netty.buffer.DynamicChannelBuffer(java.nio.ByteOrder, int)",128,0.14678899082568808
"org.jboss.netty.buffer.DynamicChannelBuffer(int)",1444,1.6559633027522935
"org.jboss.netty.buffer.DynamicChannelBuffer(java.nio.ByteOrder, int, org.jboss.netty.buffer.ChannelBufferFactory)",36,0.04128440366972477
"public void org.jboss.netty.buffer.DynamicChannelBuffer.setbuffer(org.jboss.netty.buffer.ChannelBuffer)",69,0.07912844036697247
"public int org.jboss.netty.buffer.DynamicChannelBuffer.setBytes(int,java.nio.channels.ScatteringByteChannel,int) throws java.io.IOException",8,0.009174311926605505
"public int org.jboss.netty.buffer.DynamicChannelBuffer.setBytes(int,java.io.InputStream,int) throws java.io.IOException",6,0.006880733944954129
"public void org.jboss.netty.buffer.DynamicChannelBuffer.setBytes(int,java.nio.ByteBuffer)",9,0.010321100917431193
