Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class java.lang.String,191,7,0.2190366972477064,0.008027522935779817
class java.lang.Short,17,4,0.0194954128440367,0.0045871559633027525
class org.jboss.netty.buffer.HeapChannelBufferFactory,368,1,0.42201834862385323,0.0011467889908256881
class java.lang.Long,65,8,0.07454128440366972,0.009174311926605505
class java.lang.Integer,773,22,0.8864678899082569,0.02522935779816514
class org.jboss.netty.buffer.TruncatedChannelBuffer,18,5,0.020642201834862386,0.005733944954128441
class [B,998,12,1.1444954128440368,0.013761467889908258
class org.jboss.netty.buffer.SlicedChannelBuffer,4,4,0.0045871559633027525,0.0045871559633027525
class java.lang.Character,115,4,0.13188073394495411,0.0045871559633027525
class java.lang.Float,68,2,0.0779816513761468,0.0022935779816513763
class org.jboss.netty.buffer.BigEndianHeapChannelBuffer,262,8,0.30045871559633025,0.009174311926605505
class java.lang.Byte,325,3,0.37270642201834864,0.0034403669724770644
class org.jboss.netty.buffer.DynamicChannelBuffer,1587,158,1.819954128440367,0.1811926605504587
class java.lang.Double,9,3,0.010321100917431193,0.0034403669724770644
class java.nio.HeapByteBuffer,43,10,0.04931192660550459,0.011467889908256881
class java.nio.ByteOrder,195,1,0.22362385321100917,0.0011467889908256881
class org.jboss.netty.buffer.DuplicatedChannelBuffer,16,9,0.01834862385321101,0.010321100917431193
class java.lang.Boolean,249,2,0.2855504587155963,0.0022935779816513763
class java.lang.Class,39,3,0.04472477064220184,0.0034403669724770644
class [Ljava.nio.ByteBuffer;,9,6,0.010321100917431193,0.006880733944954129
class org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder,1,1,0.0011467889908256881,0.0011467889908256881
