Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class java.util.ArrayList,38,1,0.04903225806451613,0.0012903225806451613
class java.lang.String,871,9,1.1238709677419354,0.011612903225806452
class [Lretrofit.client.Header;,38,1,0.04903225806451613,0.0012903225806451613
class retrofit.RestAdapter,477,477,0.6154838709677419,0.6154838709677419
class retrofit.client.Request,3048,17,3.932903225806452,0.02193548387096774
class retrofit.Platform$Base$1,551,1,0.7109677419354838,0.0012903225806451613
class java.util.Collections$UnmodifiableRandomAccessList,34,2,0.04387096774193548,0.0025806451612903226
class java.lang.Boolean,59,2,0.07612903225806451,0.0025806451612903226
class retrofit.RequestInterceptor$1,119,1,0.15354838709677418,0.0012903225806451613
class retrofit.ErrorHandler$1,177,1,0.22838709677419355,0.0012903225806451613
class retrofit.RestAdapter$Builder,3971,1781,5.123870967741936,2.298064516129032
class retrofit.RestAdapter$RestHandler,211,5,0.27225806451612905,0.0064516129032258064
class [Ljava.lang.Object;,5,5,0.0064516129032258064,0.0064516129032258064
class retrofit.converter.GsonConverter,3929,3831,5.069677419354838,4.943225806451613
class retrofit.RestAdapter$Log$1,502,1,0.6477419354838709,0.0012903225806451613
class java.lang.Class,9,7,0.011612903225806452,0.00903225806451613
class retrofit.RestAdapter$LogLevel,645,4,0.832258064516129,0.005161290322580645
class retrofit.Utils$SynchronousExecutor,20,1,0.025806451612903226,0.0012903225806451613
class retrofit.SerializedObjectSupporter,3005,1,3.8774193548387097,0.0012903225806451613
class retrofit.mime.TypedString,168,1,0.2167741935483871,0.0012903225806451613
class retrofit.Server,1068,32,1.3780645161290324,0.04129032258064516
