Methods called,Number of times,Number of times (Normalized)
"public retrofit.RestAdapter retrofit.SerializedObjectSupporter.deserializeObjectLogLevel3() throws java.io.IOException",21,0.01718494271685761
"public retrofit.RestAdapter retrofit.SerializedObjectSupporter.deserializeObjectLogLevel2() throws java.io.IOException",20,0.016366612111292964
"FULL",634,0.5188216039279869
"public retrofit.RestAdapter retrofit.SerializedObjectSupporter.deserializeObjectLogLevel1() throws java.io.IOException",21,0.01718494271685761
"public static final java.lang.String retrofit.RestAdapter.IDLE_THREAD_NAME",1,8.183306055646482E-4
"public final java.util.concurrent.Executor retrofit.RestAdapter.callbackExecutor",123,0.10065466448445172
"public retrofit.client.Client$Provider retrofit.RestAdapter$Builder.clientProvider",320,0.2618657937806874
"public retrofit.client.Client$Provider retrofit.RestAdapter$Builder.clientProvider",253,0.20703764320785598
"public java.util.concurrent.Executor retrofit.RestAdapter$Builder.getcallbackExecutor()",130,0.10638297872340426
"public retrofit.Server retrofit.RestAdapter.getserver()",38,0.031096563011456628
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString5() throws java.io.IOException",85,0.06955810147299508
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString2() throws java.io.IOException",55,0.045008183306055646
"public final retrofit.converter.Converter retrofit.RestAdapter.converter",86,0.07037643207855974
"public final java.util.List retrofit.client.Request.headers",44,0.03600654664484452
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString3() throws java.io.IOException",1116,0.9132569558101473
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString1() throws java.io.IOException",606,0.4959083469721768
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString4() throws java.io.IOException",934,0.7643207855973814
"public retrofit.RequestInterceptor retrofit.SerializedObjectSupporter.deserializeObjectRequestInterceptor1() throws java.io.IOException",663,0.5425531914893617
"public retrofit.Server retrofit.RestAdapter$Builder.server",26,0.02127659574468085
"public retrofit.Server retrofit.RestAdapter$Builder.server",47,0.038461538461538464
"public retrofit.RestAdapter$Log retrofit.RestAdapter$Builder.log",857,0.7013093289689034
"public retrofit.RestAdapter$Log retrofit.RestAdapter$Builder.log",150,0.12274959083469722
"public retrofit.RestAdapter$Builder retrofit.RestAdapter$Builder.setLogLevel(retrofit.RestAdapter$LogLevel)",266,0.2176759410801964
"public retrofit.RequestInterceptor retrofit.RestAdapter$Builder.requestInterceptor",218,0.1783960720130933
"public retrofit.RequestInterceptor retrofit.RestAdapter$Builder.requestInterceptor",36,0.029459901800327332
"public java.util.Collections retrofit.SerializedObjectSupporter.deserializeObjectList1() throws java.io.IOException",14,0.011456628477905073
"public static final java.lang.String retrofit.RestAdapter.THREAD_PREFIX",1,8.183306055646482E-4
"public retrofit.client.Client$Provider retrofit.RestAdapter$Builder.getclientProvider()",83,0.06792144026186579
"public retrofit.ErrorHandler retrofit.RestAdapter.geterrorHandler()",28,0.022913256955810146
"public final retrofit.Profiler retrofit.RestAdapter.profiler",53,0.04337152209492635
"public retrofit.RestAdapter$LogLevel retrofit.RestAdapter$Builder.logLevel",227,0.18576104746317512
"public retrofit.RestAdapter$LogLevel retrofit.RestAdapter$Builder.logLevel",246,0.20130932896890344
"public final java.util.concurrent.Executor retrofit.RestAdapter.httpExecutor",153,0.12520458265139117
