Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class java.lang.String,651,6,0.7833935018050542,0.007220216606498195
class retrofit.RestAdapter$Log$1,1,1,0.0012033694344163659,0.0012033694344163659
class retrofit.RestAdapter,477,49,0.5740072202166066,0.05896510228640193
class retrofit.client.Response,442,5,0.5318892900120337,0.006016847172081829
class retrofit.Server,381,2,0.4584837545126354,0.0024067388688327317
class java.lang.Long,1,1,0.0012033694344163659,0.0012033694344163659
class retrofit.SerializedObjectSupporter,567,1,0.6823104693140795,0.0012033694344163659
class java.util.Collections$UnmodifiableRandomAccessList,40,2,0.048134777376654635,0.0024067388688327317
class retrofit.RequestInterceptor$1,7,1,0.00842358604091456,0.0012033694344163659
class java.lang.Boolean,21,2,0.02527075812274368,0.0024067388688327317
class java.lang.Integer,31,2,0.03730445246690734,0.0024067388688327317
class retrofit.RestAdapter$Builder,330,132,0.3971119133574007,0.1588447653429603
class retrofit.mime.TypedString,316,1,0.3802647412755716,0.0012033694344163659
class retrofit.ErrorHandler$1,34,1,0.04091456077015644,0.0012033694344163659
class retrofit.RestAdapter$RestHandler,722,114,0.8688327316486161,0.1371841155234657
class [Ljava.lang.Object;,4,3,0.0048134777376654635,0.0036101083032490976
class retrofit.converter.GsonConverter,330,329,0.3971119133574007,0.39590854392298436
class java.lang.Class,44,7,0.052948255114320095,0.00842358604091456
class retrofit.RestAdapter$LogLevel,109,4,0.13116726835138387,0.0048134777376654635
