Methods called,Number of times,Number of times (Normalized)
"public retrofit.RestAdapter retrofit.SerializedObjectSupporter.deserializeObjectLogLevel3() throws java.io.IOException",10,0.016129032258064516
"public retrofit.RestAdapter retrofit.SerializedObjectSupporter.deserializeObjectLogLevel2() throws java.io.IOException",8,0.012903225806451613
"public retrofit.RestAdapter retrofit.SerializedObjectSupporter.deserializeObjectLogLevel1() throws java.io.IOException",10,0.016129032258064516
"public static final java.lang.String retrofit.RestAdapter.IDLE_THREAD_NAME",1,0.0016129032258064516
"public final java.util.concurrent.Executor retrofit.RestAdapter.callbackExecutor",42,0.06774193548387097
"public retrofit.client.Client$Provider retrofit.RestAdapter$Builder.clientProvider",128,0.2064516129032258
"public retrofit.client.Client$Provider retrofit.RestAdapter$Builder.clientProvider",7,0.01129032258064516
"public java.util.concurrent.Executor retrofit.RestAdapter$Builder.getcallbackExecutor()",42,0.06774193548387097
"HEADERS",2,0.0032258064516129032
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString7() throws java.io.IOException",8,0.012903225806451613
"public retrofit.Server retrofit.RestAdapter.getserver()",175,0.28225806451612906
"public retrofit.client.Response retrofit.SerializedObjectSupporter.deserializeObjectResponse2() throws java.io.IOException",16,0.025806451612903226
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString8() throws java.io.IOException",7,0.01129032258064516
"public retrofit.client.Response retrofit.SerializedObjectSupporter.deserializeObjectResponse3() throws java.io.IOException",34,0.054838709677419356
"public retrofit.client.Response retrofit.SerializedObjectSupporter.deserializeObjectResponse1() throws java.io.IOException",18,0.02903225806451613
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString9() throws java.io.IOException",4,0.0064516129032258064
"public retrofit.client.Response retrofit.SerializedObjectSupporter.deserializeObjectResponse4() throws java.io.IOException",47,0.07580645161290323
"public retrofit.client.Response retrofit.SerializedObjectSupporter.deserializeObjectResponse7() throws java.io.IOException",24,0.03870967741935484
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString2() throws java.io.IOException",3,0.004838709677419355
"public final retrofit.converter.Converter retrofit.RestAdapter.converter",56,0.09032258064516129
"public java.lang.String retrofit.client.Response.getReason()",7,0.01129032258064516
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString3() throws java.io.IOException",39,0.06290322580645161
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString6() throws java.io.IOException",23,0.037096774193548385
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString1() throws java.io.IOException",1,0.0016129032258064516
"public java.lang.String retrofit.SerializedObjectSupporter.deserializeObjectString4() throws java.io.IOException",3,0.004838709677419355
"public retrofit.Server retrofit.RestAdapter$Builder.server",239,0.38548387096774195
"public retrofit.Server retrofit.RestAdapter$Builder.server",8,0.012903225806451613
"public retrofit.RequestInterceptor retrofit.SerializedObjectSupporter.deserializeObjectRequestInterceptor1() throws java.io.IOException",7,0.01129032258064516
"public retrofit.RestAdapter$Log retrofit.RestAdapter$Builder.log",60,0.0967741935483871
"public retrofit.RestAdapter$Log retrofit.RestAdapter$Builder.log",14,0.02258064516129032
"public retrofit.RestAdapter$Builder retrofit.RestAdapter$Builder.setLogLevel(retrofit.RestAdapter$LogLevel)",21,0.03387096774193549
"public retrofit.RequestInterceptor retrofit.RestAdapter$Builder.requestInterceptor",38,0.06129032258064516
"public retrofit.RequestInterceptor retrofit.RestAdapter$Builder.requestInterceptor",26,0.041935483870967745
"java.lang.Object[0]",1,0.0016129032258064516
"java.lang.Object[1]",1,0.0016129032258064516
"public java.lang.Class retrofit.SerializedObjectSupporter.deserializeObjectClass1() throws java.io.IOException",5,0.008064516129032258
"public static final java.lang.String retrofit.RestAdapter.THREAD_PREFIX",1,0.0016129032258064516
"public retrofit.client.Client$Provider retrofit.RestAdapter$Builder.getclientProvider()",7,0.01129032258064516
"public retrofit.ErrorHandler retrofit.RestAdapter.geterrorHandler()",20,0.03225806451612903
"public final retrofit.Profiler retrofit.RestAdapter.profiler",31,0.05
"public retrofit.RestAdapter$LogLevel retrofit.RestAdapter$Builder.logLevel",164,0.2645161290322581
"public retrofit.RestAdapter$LogLevel retrofit.RestAdapter$Builder.logLevel",86,0.13870967741935483
"public final java.util.concurrent.Executor retrofit.RestAdapter.httpExecutor",107,0.17258064516129032
"public retrofit.ErrorHandler retrofit.SerializedObjectSupporter.deserializeObjectErrorHandler1() throws java.io.IOException",11,0.017741935483870968
"public retrofit.client.Request retrofit.RestAdapter.logAndReplaceRequest(retrofit.client.Request) throws java.io.IOException",16,0.025806451612903226
"FULL",25,0.04032258064516129
"public retrofit.RestAdapter$Builder retrofit.RestAdapter$Builder.setServer(java.lang.String)",124,0.2
"public retrofit.RestAdapter$Builder retrofit.RestAdapter$Builder.setServer(retrofit.Server)",2,0.0032258064516129032
"retrofit.client.Header[0]",4,0.0064516129032258064
"java.util.ArrayList()",4,0.0064516129032258064
"public retrofit.client.Client$Provider retrofit.RestAdapter.getclientProvider()",70,0.11290322580645161
"public retrofit.SerializedObjectSupporter retrofit.RestAdapter.serializedObjectSupporter",40,0.06451612903225806
"public retrofit.SerializedObjectSupporter retrofit.RestAdapter.serializedObjectSupporter",31,0.05
"retrofit.RestAdapter$RestHandler(retrofit.RestAdapter)",458,0.7387096774193549
"public java.util.List retrofit.client.Response.getHeaders()",10,0.016129032258064516
"public retrofit.ErrorHandler retrofit.RestAdapter$Builder.errorHandler",62,0.1
"public retrofit.ErrorHandler retrofit.RestAdapter$Builder.errorHandler",1,0.0016129032258064516
"public final native java.lang.Class java.lang.Object.getClass()",5,0.008064516129032258
"public java.util.concurrent.Executor retrofit.RestAdapter$Builder.gethttpExecutor()",40,0.06451612903225806
"public void retrofit.RestAdapter.setLogLevel(retrofit.RestAdapter$LogLevel)",10,0.016129032258064516
"public final java.lang.String retrofit.client.Response.reason",13,0.020967741935483872
"retrofit.client.Response(int, java.lang.String, java.util.List, retrofit.mime.TypedInput)",7,0.01129032258064516
"public final int retrofit.client.Response.status",10,0.016129032258064516
"retrofit.RestAdapter$Builder()",467,0.7532258064516129
"public retrofit.RequestInterceptor retrofit.RestAdapter.getrequestInterceptor()",23,0.037096774193548385
"public retrofit.RestAdapter$LogLevel retrofit.RestAdapter.getLogLevel()",56,0.09032258064516129
"public void retrofit.RestAdapter$Builder.setcallbackExecutor(java.util.concurrent.Executor)",226,0.36451612903225805
"public int retrofit.client.Response.getStatus()",6,0.00967741935483871
"public retrofit.RestAdapter$Builder retrofit.RestAdapter$Builder.setErrorHandler(retrofit.ErrorHandler)",1,0.0016129032258064516
"public retrofit.Server retrofit.SerializedObjectSupporter.deserializeObjectServer1() throws java.io.IOException",263,0.4241935483870968
"public void retrofit.RestAdapter.logException(java.lang.Throwable,java.lang.String)",21,0.03387096774193549
"public retrofit.Profiler retrofit.RestAdapter.getprofiler()",140,0.22580645161290322
"public java.lang.String retrofit.RestAdapter.getIDLE_THREAD_NAME()",85,0.13709677419354838
"public abstract void retrofit.RestAdapter$Log.log(java.lang.String)",9,0.014516129032258065
"public retrofit.RestAdapter$Builder retrofit.RestAdapter$Builder.setExecutors(java.util.concurrent.Executor,java.util.concurrent.Executor)",7,0.01129032258064516
"public void retrofit.RestAdapter$Builder.sethttpExecutor(java.util.concurrent.Executor)",10,0.016129032258064516
"public retrofit.converter.Converter retrofit.RestAdapter.getconverter()",51,0.08225806451612903
"public retrofit.SerializedObjectSupporter retrofit.RestAdapter$RestHandler.serializedObjectSupporter",20,0.03225806451612903
"public retrofit.SerializedObjectSupporter retrofit.RestAdapter$RestHandler.serializedObjectSupporter",4,0.0064516129032258064
