Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class java.lang.String,1060,6,0.9464285714285714,0.005357142857142857
class retrofit.RequestInterceptor$1,1822,1,1.6267857142857143,8.928571428571428E-4
class retrofit.Server,169,3,0.15089285714285713,0.0026785714285714286
class retrofit.RestAdapter,719,719,0.6419642857142858,0.6419642857142858
class java.lang.Integer,42,2,0.0375,0.0017857142857142857
class retrofit.Utils$SynchronousExecutor,1812,1,1.6178571428571429,8.928571428571428E-4
class retrofit.converter.GsonConverter,1507,1415,1.3455357142857143,1.2633928571428572
class java.util.Collections$UnmodifiableRandomAccessList,54,2,0.048214285714285716,0.0017857142857142857
class retrofit.RestAdapter$LogLevel,1521,4,1.3580357142857142,0.0035714285714285713
class retrofit.ErrorHandler$1,1434,1,1.2803571428571427,8.928571428571428E-4
class retrofit.RestAdapter$Log$1,940,1,0.8392857142857143,8.928571428571428E-4
class retrofit.Platform$Base$1,24,1,0.02142857142857143,8.928571428571428E-4
class retrofit.client.Response,613,5,0.5473214285714286,0.004464285714285714
class retrofit.mime.TypedString,126,1,0.1125,8.928571428571428E-4
class java.util.ArrayList,3,1,0.0026785714285714286,8.928571428571428E-4
class retrofit.RestAdapter$Builder,4614,3329,4.119642857142857,2.9723214285714286
class java.util.concurrent.ThreadPoolExecutor,7,7,0.00625,0.00625
class retrofit.RestAdapter$RestHandler,131,26,0.11696428571428572,0.023214285714285715
class [Ljava.lang.Object;,3,3,0.0026785714285714286,0.0026785714285714286
class java.lang.Boolean,663,2,0.5919642857142857,0.0017857142857142857
class java.lang.Class,41,10,0.03660714285714286,0.008928571428571428
class [Lretrofit.client.Header;,3,1,0.0026785714285714286,8.928571428571428E-4
class retrofit.SerializedObjectSupporter,2863,1,2.55625,8.928571428571428E-4
class retrofit.Platform$Base$3,7,1,0.00625,8.928571428571428E-4
